,amenity,longitude,latitude
0,community_centre,-118.2188064,34.2120141
1,school,-118.1836838,34.1800059
2,school,-118.2057866,34.2085749
3,school,-118.1805473,34.1944586
4,school,-118.2179802,34.2218987
5,school,-118.1886842,34.2086158
6,school,-118.1839617,34.1975052
7,school,-118.1825728,34.195283
8,post_office,-118.191675,34.2011505
9,place_of_worship,-118.205,34.2063889
10,place_of_worship,-118.1930556,34.2008333
11,place_of_worship,-118.179444,34.1888889
12,place_of_worship,-118.2133333,34.21
13,place_of_worship,-118.1830556,34.1969444
14,place_of_worship,-118.1966667,34.2022222
15,fire_station,-118.21439,34.211278
16,fire_station,-118.186388,34.1975
17,library,-118.1940523,34.2028277
18,cafe,-118.217591,34.206021
19,place_of_worship,-118.2168196,34.2115402
20,parking,-118.2192778,34.2055473
21,drinking_water,-118.2157182,34.2108114
22,drinking_water,-118.19964,34.2186
23,restaurant,-118.199876,34.2048453
24,restaurant,-118.2241409,34.2161887
25,restaurant,-118.23061,34.218966
26,restaurant,-118.230454,34.2188517
27,atm,-118.1739391,34.1999401
28,fast_food,-118.174164,34.2001933
29,fast_food,-118.224738,34.2163749
30,restaurant,-118.2282228,34.2177826
31,restaurant,-118.217356,34.206118
32,restaurant,-118.2258479,34.2158953
33,post_box,-118.2259692,34.2159495
34,dentist,-118.225563,34.2158227
35,fast_food,-118.2257142,34.2166491
36,fast_food,-118.219937,34.2053873
37,clinic,-118.2199722,34.2051877
38,restaurant,-118.2096747,34.2010498
39,bicycle_parking,-118.2101809,34.2015351
40,waste_basket,-118.2091515,34.2028572
41,waste_basket,-118.2105477,34.2033763
42,bench,-118.2041667,34.1935353
43,bench,-118.2055065,34.1936041
44,bench,-118.2057023,34.1936839
45,water_point,-118.2068798,34.1909539
46,hitching_post,-118.2068154,34.1909867
47,drinking_water,-118.2068329,34.191249
48,school,-118.2031824,34.205016
49,drinking_water,-118.2111529,34.2012872
50,exhibition_centre,-118.209847,34.2009777
51,doctors,-118.2078891,34.2075388
52,clinic,-118.214936,34.2116346
53,school,-118.2146943,34.2116891
54,fast_food,-118.199868,34.2047583
55,fast_food,-118.199812,34.204958
56,restaurant,-118.1885536,34.1987432
57,restaurant,-118.1926064,34.2012711
58,parking_entrance,-118.1830905,34.1964335
59,music_school,-118.2252572,34.2166352
60,dentist,-118.225225,34.2166942
61,atm,-118.1883424,34.1997543
62,toilets,-118.21102,34.2013823
63,theatre,-118.2102113,34.2000799
64,toilets,-118.2091146,34.1985428
65,fountain,-118.2128608,34.2014873
66,restaurant,-118.198107,34.2037479
67,fast_food,-118.197863,34.203597
68,ice_cream,-118.1994139,34.2042625
69,restaurant,-118.1993777,34.2043601
70,restaurant,-118.1997572,34.2045165
71,bench,-118.2110285,34.1944749
72,restaurant,-118.2274429,34.217823
73,restaurant,-118.1941713,34.2023502
74,ice_cream,-118.1937976,34.2023516
75,pharmacy,-118.190289,34.2006482
76,bank,-118.190479,34.2006407
77,atm,-118.1905578,34.1996711
78,fast_food,-118.1942479,34.2015362
79,post_box,-118.191534,34.2008363
80,restaurant,-118.2272946,34.2178224
81,fuel,-118.2113209,34.2092846
82,fast_food,-118.2109078,34.2097576
83,fountain,-118.2159538,34.210406
84,toilets,-118.2157177,34.2107939
85,parking,-118.2094393,34.2091699
86,ice_cream,-118.194293,34.2024037
87,drinking_water,-118.2099127,34.2014501
88,drinking_water,-118.2098803,34.2011738
89,bench,-118.2138149,34.2011116
90,bench,-118.2144871,34.1998064
91,drinking_water,-118.2130596,34.1999516
92,waste_basket,-118.2130629,34.19999
93,waste_basket,-118.2124222,34.1996944
94,waste_basket,-118.2111755,34.19918
95,bench,-118.2112043,34.1990405
96,waste_basket,-118.2102016,34.1988995
97,bench,-118.2101772,34.1988841
98,bench,-118.2101664,34.1988743
99,bench,-118.2099149,34.1985179
100,toilets,-118.20946,34.1982079
101,bench,-118.209244,34.1983011
102,bench,-118.2095347,34.1979706
