,amenity,longitude,latitude
0,school,-117.9408953,33.9277913
1,place_of_worship,-117.9575,33.9202778
2,place_of_worship,-117.9416667,33.9311111
3,place_of_worship,-117.9458333,33.9336111
4,place_of_worship,-117.9238889,33.9327778
5,place_of_worship,-117.945,33.93
6,place_of_worship,-117.9458333,33.9366667
7,place_of_worship,-117.9633497,33.9313873
8,place_of_worship,-117.9463889,33.9366667
9,place_of_worship,-117.9422222,33.9305556
10,place_of_worship,-117.9602778,33.9408333
11,place_of_worship,-117.9475,33.9308333
12,fire_station,-117.955747,33.9316506
13,fire_station,-117.932621,33.9269991
14,fuel,-117.932677,33.9388101
15,recycling,-117.9334959,33.9397616
16,post_box,-117.9245001,33.9248909
17,vending_machine,-117.9321904,33.9257119
18,vending_machine,-117.9314608,33.9257297
19,post_box,-117.9460273,33.9329764
20,atm,-117.944382,33.9316235
21,drinking_water,-117.9468573,33.9378677
22,fire_station,-117.957385,33.9073971
23,restaurant,-117.931793,33.9136806
24,toilets,-117.9614405,33.9372329
25,toilets,-117.9436776,33.9330589
26,place_of_worship,-117.9451998,33.9143956
27,vending_machine,-117.9705511,33.935712
28,vending_machine,-117.9696264,33.9352528
29,fast_food,-117.967269,33.9193289
30,restaurant,-117.9673293,33.919732
31,restaurant,-117.922983,33.924821
32,fountain,-117.9233077,33.9274493
33,fountain,-117.96597,33.9124954
34,fountain,-117.9654282,33.9118075
35,post_office,-117.945159,33.9315132
36,drinking_water,-117.9468153,33.9224586
37,bench,-117.9467717,33.9224563
38,bench,-117.9467044,33.9224384
39,bench,-117.943893,33.9143639
40,bench,-117.9439005,33.9142277
41,drinking_water,-117.9559413,33.90901
42,bench,-117.9558745,33.9089084
43,bench,-117.9559028,33.9089283
44,pharmacy,-117.9465669,33.9177638
45,fuel,-117.945795,33.9176777
46,clinic,-117.93705,33.9316667
47,pharmacy,-117.968992,33.9392022
48,pharmacy,-117.965257,33.9388951
49,fuel,-117.967333,33.9394553
50,vending_machine,-117.9665592,33.9150082
51,payment_terminal,-117.9665884,33.9149686
52,pharmacy,-117.9660614,33.9151562
53,fast_food,-117.9709624,33.9134444
54,fuel,-117.9713996,33.9131183
55,restaurant,-117.9742797,33.9402986
56,kindergarten,-117.9583857,33.9242556
57,bicycle_parking,-117.9599802,33.9185698
58,fast_food,-117.9612162,33.9176134
59,fast_food,-117.9613979,33.9177077
60,fast_food,-117.9618536,33.9177897
61,fuel,-117.9674216,33.9314937
62,restaurant,-117.9674742,33.9386049
63,fast_food,-117.9327074,33.935685
64,fast_food,-117.9322687,33.9323372
65,fast_food,-117.9469699,33.9314887
66,fast_food,-117.960035,33.93944
67,fast_food,-117.96747,33.938756
