,amenity,longitude,latitude
0,theatre,-115.3022754,36.1915284
1,library,-115.3047067,36.145271
2,pub,-115.2359547,36.2425178
3,post_office,-115.3062742,36.1887097
4,library,-115.259304,36.2173101
5,school,-115.1940576,36.1566589
6,school,-115.1133333,36.1486111
7,school,-115.1369444,36.18
8,school,-115.1455568,36.1833034
9,school,-115.1730565,36.1585813
10,school,-115.1378764,36.1745615
11,school,-115.2255576,36.1588582
12,school,-115.1394443,36.1480267
13,school,-115.192714,36.1591807
14,school,-115.1105556,36.1696933
15,school,-115.1238897,36.1813595
16,school,-115.1247229,36.1777485
17,school,-115.2136124,36.144692
18,school,-115.1620552,36.1576359
19,school,-115.2480173,36.1915619
20,school,-115.2326196,36.2552484
21,school,-115.2219772,36.183644
22,school,-115.1225006,36.1760818
23,school,-115.1563904,36.1827477
24,school,-115.2191699,36.1969128
25,school,-115.1328466,36.1621151
26,school,-115.1861927,36.1842664
27,school,-115.1938904,36.159692
28,school,-115.1925022,36.181636
29,school,-115.2244481,36.2035792
30,school,-115.2478772,36.1928738
31,school,-115.2269473,36.1802465
32,school,-115.261117,36.2424665
33,post_office,-115.155001,36.1766368
34,post_office,-115.143611,36.1663595
35,post_office,-115.2072238,36.1560808
36,hospital,-115.1913903,36.1580255
37,nursing_home,-115.162637,36.1631967
38,nursing_home,-115.2201578,36.2276111
39,nursing_home,-115.1693522,36.157818
40,nursing_home,-115.2597854,36.223269
41,nursing_home,-115.2352941,36.1577133
42,nursing_home,-115.2276939,36.2164657
43,nursing_home,-115.2336736,36.1510438
44,school,-115.2322222,36.2111111
45,school,-115.3016667,36.2302778
46,school,-115.2330556,36.1580556
47,school,-115.3219444,36.2777778
48,school,-115.2258333,36.1469444
49,school,-115.16,36.1797222
50,college,-115.3340193,36.1719865
51,school,-115.2052067,36.1760257
52,school,-115.1288889,36.1519444
53,school,-115.1394444,36.1441667
54,school,-115.0858333,36.1883333
55,school,-115.2334012,36.2122434
56,school,-115.1769858,36.1391752
57,school,-115.2823486,36.1418107
58,school,-115.2502778,36.2127778
59,school,-115.1997222,36.1577778
60,school,-115.1369444,36.1630556
61,school,-115.1283333,36.1522222
62,school,-115.194,36.1465
63,school,-115.1563,36.1943
64,school,-115.1625148,36.1659478
65,school,-115.2694174,36.1741531
66,kindergarten,-115.279178,36.1987282
67,school,-115.2249,36.1513
68,school,-115.2365344,36.1952913
69,school,-115.2438774,36.1502173
70,school,-115.308587,36.1702144
71,school,-115.3022553,36.2191763
72,school,-115.2390956,36.1589557
73,school,-115.2650985,36.1881745
74,school,-115.2593,36.2313
75,school,-115.2304881,36.2174993
76,school,-115.2256,36.1581
77,school,-115.147,36.1818
78,school,-115.22546,36.144664
79,school,-115.1136249,36.1488693
80,school,-115.1007327,36.1763564
81,place_of_worship,-115.1713259,36.1590702
82,place_of_worship,-115.1567244,36.1916046
83,place_of_worship,-115.1983574,36.1807784
