,amenity,longitude,latitude
0,school,-80.1869911,26.1284195
1,school,-80.1914357,26.1395302
2,school,-80.2142141,26.1439745
3,school,-80.2525486,26.186473
4,school,-80.2264368,26.1503632
5,school,-80.2031026,26.1592517
6,place_of_worship,-80.2011582,26.1503631
7,school,-80.1872689,26.1309194
8,school,-80.1977778,26.1444444
9,school,-80.2302778,26.1597222
10,school,-80.2136111,26.1433333
11,post_office,-80.230701,26.163991
12,doctors,-80.2233333,26.16
13,fire_station,-80.2551761,26.188007
14,fire_station,-80.2048093,26.140253
15,fire_station,-80.2243793,26.1507829
16,fire_station,-80.1866911,26.1322626
17,library,-80.2225,26.1527778
18,library,-80.2050549,26.1405178
19,police,-80.203815,26.15657
20,police,-80.2510963,26.1798606
21,drinking_water,-80.2344133,26.170792
22,drinking_water,-80.2337439,26.1721913
23,drinking_water,-80.2327145,26.1718932
24,bench,-80.2328167,26.1723142
25,bench,-80.2327794,26.1723158
26,drinking_water,-80.2309463,26.1722377
27,bench,-80.2329785,26.1721892
28,bench,-80.2342584,26.1701247
29,bench,-80.2338283,26.1703225
30,waste_basket,-80.2338198,26.1703339
31,post_box,-80.2353992,26.1713533
32,drinking_water,-80.2356795,26.1714934
33,drinking_water,-80.2356258,26.1715672
34,toilets,-80.2356946,26.171507
35,drinking_water,-80.2348143,26.1720975
36,toilets,-80.2348147,26.1721095
37,toilets,-80.2349398,26.1721129
38,drinking_water,-80.2349394,26.1721009
39,bench,-80.2373703,26.1697836
40,bench,-80.237247,26.1699065
41,waste_basket,-80.237109,26.169847
42,waste_basket,-80.2369907,26.1700172
43,bench,-80.2369992,26.1700557
44,drinking_water,-80.2371621,26.1699867
45,bicycle_parking,-80.2369302,26.1698689
46,bench,-80.2368928,26.1699796
47,drinking_water,-80.2367101,26.170439
48,bench,-80.2368346,26.1704071
49,bench,-80.2366403,26.1706611
50,bench,-80.2365551,26.1702761
51,bench,-80.2363506,26.1705651
52,waste_basket,-80.2366503,26.1708246
53,drinking_water,-80.235551,26.1691
54,bench,-80.2301345,26.172166
55,waste_basket,-80.2301251,26.1721744
56,drinking_water,-80.2306067,26.1741409
57,bench,-80.2328955,26.1693789
58,waste_basket,-80.2329029,26.1693843
59,fountain,-80.2337615,26.1699778
60,drinking_water,-80.2293019,26.1665156
61,bicycle_parking,-80.2260164,26.1656037
62,bench,-80.2264076,26.1666623
63,bench,-80.2272932,26.1670822
64,bench,-80.2271201,26.1670598
65,bench,-80.2269453,26.1669597
66,bench,-80.2266423,26.1668655
67,bench,-80.2261195,26.1667086
68,telephone,-80.2297274,26.1644792
69,school,-80.2286148,26.1641218
70,marketplace,-80.1921279,26.1368697
71,fast_food,-80.2512627,26.1923781
72,restaurant,-80.2528221,26.1875993
73,restaurant,-80.2525385,26.1878396
74,fountain,-80.2501347,26.1745524
75,fast_food,-80.2485113,26.1933339
76,fast_food,-80.2525681,26.1883735
77,clock,-80.252371,26.1851037
78,restaurant,-80.2023276,26.1381753
79,pharmacy,-80.2232253,26.1656693
80,cinema,-80.1898952,26.1373808
81,pharmacy,-80.2529317,26.1925164
82,bicycle_parking,-80.2500884,26.1662594
83,bicycle_parking,-80.247722,26.1658616
84,bicycle_parking,-80.2478488,26.1662973
85,bicycle_parking,-80.2399852,26.1649956
86,bicycle_parking,-80.2433883,26.1655276
87,fuel,-80.2523991,26.1829122
88,fire_station,-80.2244223,26.1511642
89,waste_basket,-80.2245914,26.1505477
90,bicycle_parking,-80.2245915,26.1505551
91,fuel,-80.1900318,26.1214793
92,place_of_worship,-80.1937316,26.1215644
93,parking_entrance,-80.2391591,26.1788351
94,parking_entrance,-80.2391584,26.1790128
