,amenity,longitude,latitude
0,school,-97.8552915,30.5774168
1,grave_yard,-97.8264018,30.6140821
2,restaurant,-97.8532097,30.5499982
3,fast_food,-97.8488952,30.5405654
4,restaurant,-97.8495851,30.5696005
5,fast_food,-97.8488259,30.5403948
6,post_box,-97.8853986,30.5352725
7,post_box,-97.8738699,30.5498064
8,animal_shelter,-97.8081439,30.5658039
9,restaurant,-97.8552672,30.5537752
10,car_wash,-97.8478542,30.5565677
11,pharmacy,-97.8580856,30.5835907
12,fast_food,-97.8424049,30.5502656
13,monastery,-97.9050792,30.5219271
14,school,-97.8541483,30.5520868
15,place_of_worship,-97.8536266,30.5543845
16,restaurant,-97.8424459,30.5532236
17,restaurant,-97.8702271,30.5777275
18,restaurant,-97.8695359,30.5779443
19,bank,-97.8265881,30.5640295
20,place_of_worship,-97.8221394,30.5837653
21,place_of_worship,-97.8408126,30.5836677
22,waste_disposal,-97.8262526,30.5690343
23,waste_disposal,-97.8230397,30.5683003
24,toilets,-97.8078055,30.5616249
25,bench,-97.8073418,30.5615451
26,bench,-97.8069965,30.5617445
27,bench,-97.8072808,30.5619797
28,waste_basket,-97.8078866,30.5615676
29,waste_basket,-97.8074229,30.5618213
30,waste_basket,-97.8073699,30.5618365
31,waste_basket,-97.8072652,30.5619439
32,waste_basket,-97.8073431,30.561565
33,waste_disposal,-97.8046525,30.5675301
34,waste_basket,-97.8783739,30.5881135
35,waste_basket,-97.8786163,30.5879745
36,waste_basket,-97.8781089,30.5880107
37,fast_food,-97.8016911,30.5642866
38,fast_food,-97.8019845,30.5642655
39,prep_school,-97.8010755,30.5642973
40,restaurant,-97.8013431,30.564216
41,restaurant,-97.800738,30.5631474
42,restaurant,-97.8018173,30.5642847
43,restaurant,-97.8014256,30.5630273
44,restaurant,-97.8015131,30.5634049
45,cafe,-97.801567,30.5634711
46,dentist,-97.8009925,30.5630866
47,dentist,-97.8016303,30.5637016
48,bench,-97.8011621,30.5598591
49,bench,-97.8011469,30.5598473
50,waste_basket,-97.8010878,30.5597991
51,fountain,-97.7820848,30.5644521
52,bench,-97.7813169,30.5642396
53,bench,-97.7813428,30.5643269
54,bench,-97.7814802,30.5641611
55,bench,-97.7814652,30.564345
56,pharmacy,-97.8717942,30.5777252
57,fast_food,-97.8568988,30.5852257
58,doctors,-97.8572661,30.5858398
59,dentist,-97.8570656,30.5855235
60,ice_cream,-97.8570464,30.5845714
61,fast_food,-97.8569109,30.5847353
62,fast_food,-97.8569479,30.5846814
63,restaurant,-97.8584521,30.5830777
64,post_office,-97.8586825,30.5829978
65,bicycle_parking,-97.85589,30.5525211
66,bench,-97.8670837,30.5666411
67,bench,-97.866591,30.5663387
68,bench,-97.8665538,30.566329
69,bench,-97.8668968,30.5667853
70,bicycle_parking,-97.8576797,30.5835825
71,atm,-97.8579459,30.582524
72,table,-97.867146,30.5666831
73,waste_basket,-97.8671735,30.5666375
74,waste_basket,-97.8670894,30.5666595
75,bicycle_parking,-97.8660359,30.5656387
76,toilets,-97.8667497,30.5658913
77,toilets,-97.866804,30.5659761
78,bench,-97.8665097,30.5654816
79,bench,-97.8665834,30.5655936
80,drinking_water,-97.8667548,30.5658431
81,waste_basket,-97.866619,30.566613
82,drinking_water,-97.8665663,30.5666546
83,bbq,-97.8666912,30.5666902
84,waste_basket,-97.8667155,30.5666895
85,waste_basket,-97.8667651,30.566645
86,waste_basket,-97.8666778,30.5665636
87,bicycle_parking,-97.8624438,30.5599955
88,bicycle_parking,-97.8624072,30.5599689
89,waste_basket,-97.8624377,30.5599571
90,bicycle_parking,-97.8671603,30.5778273
91,childcare,-97.8672657,30.5772475
92,waste_basket,-97.8576168,30.5836509
93,waste_basket,-97.8568249,30.5846885
94,waste_basket,-97.8565865,30.585019
95,waste_basket,-97.8569312,30.5854799
96,waste_basket,-97.8571768,30.5858547
97,waste_basket,-97.8583859,30.583012
98,waste_basket,-97.8590558,30.5827529
99,bicycle_parking,-97.869904,30.5546627
100,bicycle_parking,-97.870196,30.5546846
101,vending_machine,-97.8678816,30.554881
102,fountain,-97.8683272,30.5545068
103,waste_basket,-97.8666743,30.5668878
104,bbq,-97.8605592,30.5536651
105,waste_basket,-97.8604174,30.5534272
