,amenity,longitude,latitude
0,grave_yard,-81.50427,33.8962551
1,grave_yard,-81.5020199,33.9657481
2,place_of_worship,-81.2027808,33.8341428
3,grave_yard,-81.5267704,33.9481974
4,place_of_worship,-81.1467633,33.8893183
5,school,-81.0292598,33.7404321
6,school,-81.421769,33.8882014
7,school,-81.4906588,33.9587536
8,school,-81.0581261,33.9761947
9,school,-81.4589918,33.9865313
10,school,-81.3548237,33.9893116
11,school,-81.3967687,33.9576446
12,school,-81.2400629,33.7498589
13,grave_yard,-81.5048255,33.8420899
14,place_of_worship,-81.0650937,33.9012649
15,school,-81.0564833,33.7126538
16,school,-81.4831585,33.8279242
17,place_of_worship,-81.180202,33.659868
18,grave_yard,-81.0854212,34.0080931
19,place_of_worship,-81.0635258,33.9110614
20,place_of_worship,-81.2337121,33.6859842
21,grave_yard,-81.5159368,33.8515338
22,grave_yard,-81.5256591,33.8520889
23,school,-81.5120479,33.90931
24,grave_yard,-81.5351038,33.8548663
25,place_of_worship,-81.0908638,33.8145358
26,place_of_worship,-81.40288,33.9998656
27,school,-81.4020466,33.9851438
28,school,-81.3464904,33.9432016
29,school,-81.3226012,33.8923697
30,grave_yard,-81.1453016,34.0672869
31,place_of_worship,-81.2684335,34.0068135
32,place_of_worship,-81.3464069,34.16727
33,place_of_worship,-81.401243,33.9852755
34,place_of_worship,-81.1911407,34.0824724
35,place_of_worship,-81.1337074,33.872652
36,place_of_worship,-81.3572382,34.1628207
37,place_of_worship,-81.2248949,33.7784268
38,place_of_worship,-81.3870462,34.0126439
39,school,-81.1917662,33.6804293
40,school,-81.427002,33.9850645
41,school,-81.4534361,33.9473658
42,place_of_worship,-81.1360074,34.0641256
43,place_of_worship,-81.4012131,34.023477
44,grave_yard,-81.0795386,33.9259866
45,place_of_worship,-81.2084304,34.0643157
46,school,-81.3767685,33.8707025
47,grave_yard,-81.5312148,33.851811
48,place_of_worship,-81.1296592,34.0461177
49,school,-81.4856588,33.9962526
50,grave_yard,-81.5034367,33.9340318
51,school,-81.3062522,33.9313447
52,grave_yard,-81.5262149,33.9331978
53,place_of_worship,-81.1531532,33.7226523
54,grave_yard,-81.0311528,33.885487
55,place_of_worship,-81.4068785,34.1422269
56,school,-81.0921039,33.8143842
57,grave_yard,-81.5589931,33.8770871
58,grave_yard,-81.5381593,33.8687547
59,place_of_worship,-81.3748438,33.9773807
60,place_of_worship,-81.3428614,33.9736214
61,place_of_worship,-81.3380272,34.1639902
62,school,-81.0928731,33.7637644
63,place_of_worship,-81.545104,33.9123644
64,place_of_worship,-81.1848648,34.0903297
65,grave_yard,-81.1720399,34.0815387
66,place_of_worship,-81.2445451,33.7418176
67,school,-81.3142678,33.8557039
68,place_of_worship,-81.2823231,33.818205
69,school,-81.2862121,33.7812611
70,school,-81.3037123,33.7812609
71,school,-81.0753716,33.9837645
72,grave_yard,-81.163431,33.7626521
73,place_of_worship,-81.0998176,33.7848753
74,grave_yard,-81.1575975,33.7534856
75,school,-81.5351,33.923702
76,grave_yard,-81.0673161,33.888487
77,grave_yard,-81.4087133,33.8632022
78,grave_yard,-81.4706584,33.8629234
79,place_of_worship,-81.0289821,33.7382099
80,place_of_worship,-81.4597364,33.9858932
81,place_of_worship,-81.5414928,33.9031982
82,place_of_worship,-81.5101034,33.869589
83,place_of_worship,-81.0989842,33.806542
84,school,-81.2628791,33.7201506
85,place_of_worship,-81.514548,33.9226429
86,school,-81.392378,33.9213587
87,school,-81.3925566,33.9159013
88,post_office,-81.4001126,33.9218893
89,grave_yard,-81.3951018,34.0315328
90,place_of_worship,-81.3444865,33.9766169
91,place_of_worship,-81.1003729,33.8768196
92,grave_yard,-81.2045446,33.6729291
93,grave_yard,-81.1778764,33.7218186
94,grave_yard,-81.3392681,33.7890381
95,grave_yard,-81.315379,33.8695924
96,grave_yard,-81.1720429,33.7143187
97,grave_yard,-81.4420471,33.9870872
98,place_of_worship,-81.5434373,33.9095868
99,school,-81.09704,33.7390421
100,place_of_worship,-81.4206578,33.800148
101,place_of_worship,-81.548993,33.9120865
102,grave_yard,-81.3690681,33.8140289
103,grave_yard,-81.455779,34.0514895
104,place_of_worship,-81.3687129,33.7615383
105,grave_yard,-81.3881575,33.7623714
106,place_of_worship,-81.3783447,33.8694807
107,place_of_worship,-81.2635197,34.0196292
108,grave_yard,-81.0575934,33.9218207
109,grave_yard,-81.1284297,33.784597
110,place_of_worship,-81.5484373,33.9126421
111,grave_yard,-81.340657,33.7898714
112,grave_yard,-81.0286013,33.8921636
113,place_of_worship,-81.5464929,33.9079201
114,grave_yard,-81.0587047,33.8807095
115,place_of_worship,-81.0314815,33.8854325
116,place_of_worship,-81.1056829,33.820083
117,grave_yard,-81.2659342,33.7587616
118,grave_yard,-81.0703717,33.9043203
119,place_of_worship,-81.438158,33.7834815
120,school,-81.108092,33.7449979
121,school,-81.0940575,33.7365179
122,post_office,-81.0702211,33.9916629
123,grave_yard,-81.1534294,34.0209838
124,place_of_worship,-81.5073255,33.8607005
125,place_of_worship,-81.2028775,33.7079292
126,place_of_worship,-81.0982701,33.7732956
127,place_of_worship,-81.4089911,33.8626466
128,place_of_worship,-81.3156567,33.8690369
129,place_of_worship,-81.5108847,33.9055785
130,place_of_worship,-81.5320482,33.9384752
131,place_of_worship,-81.3313606,34.0887992
132,place_of_worship,-81.4617694,33.880423
133,place_of_worship,-81.4714582,33.8891039
134,place_of_worship,-81.2667683,33.6934838
135,place_of_worship,-81.4818627,33.8192881
136,place_of_worship,-81.065927,33.9223759
137,place_of_worship,-81.4422712,33.8303991
138,place_of_worship,-81.3686358,33.8146272
139,place_of_worship,-81.4560278,34.0512427
140,place_of_worship,-81.3873242,33.7623714
141,place_of_worship,-81.4576028,33.881812
142,school,-81.5344821,33.9230969
143,place_of_worship,-81.3132784,34.1783563
144,place_of_worship,-81.3401015,33.7895936
145,place_of_worship,-81.0288279,33.8921816
146,place_of_worship,-81.5309733,33.9558547
147,place_of_worship,-81.4400338,34.0100481
148,place_of_worship,-81.5112146,33.91181
149,place_of_worship,-81.0581491,33.8801539
150,place_of_worship,-81.5234369,33.8823659
151,place_of_worship,-81.4920475,33.845979
152,place_of_worship,-81.0425936,33.7437652
153,place_of_worship,-81.0795389,33.850709
154,place_of_worship,-81.531215,33.9565304
155,place_of_worship,-81.5164925,33.9195873
156,place_of_worship,-81.1539851,34.0209838
157,townhall,-81.0668833,33.969333
158,fast_food,-81.0763162,33.9307908
159,fast_food,-81.0778185,33.9301497
160,toilets,-81.0499005,33.9807333
161,fast_food,-81.1967646,34.0067382
162,restaurant,-81.1966607,34.006781
163,shelter,-81.0672857,33.9699151
164,shelter,-81.3284874,34.0956895
165,toilets,-81.3292169,34.0949742
166,shelter,-81.3287851,34.0949765
167,toilets,-81.3428031,34.1431451
168,bench,-81.3426046,34.14271
169,bench,-81.3421943,34.1420685
170,shelter,-81.3407968,34.1421284
171,bench,-81.3418617,34.1426146
172,shelter,-81.3454554,34.1433462
173,shelter,-81.3428751,34.1434749
174,shelter,-81.345965,34.1432241
175,shelter,-81.3430951,34.1433684
176,shelter,-81.342344,34.1433329
177,shelter,-81.3432533,34.1429444
178,fuel,-81.317103,34.1127673
179,fuel,-81.2580616,34.0090464
180,atm,-81.2584867,34.00931
181,parking,-81.1391384,34.0306763
182,bicycle_parking,-81.0601517,33.9968645
183,bar,-81.1503188,33.8978142
184,drinking_water,-81.3427785,34.1431406
185,vending_machine,-81.3428107,34.1431317
186,drinking_water,-81.3424889,34.1425856
187,vending_machine,-81.3422367,34.1421638
188,bbq,-81.3408474,34.1421416
189,recycling,-81.342049,34.1425545
190,toilets,-81.3469811,34.1431134
191,drinking_water,-81.3469463,34.1431312
192,shelter,-81.3444627,34.1434205
193,shelter,-81.0531991,33.985496
194,shelter,-81.3444503,34.1407156
195,shelter,-81.3445415,34.1406846
196,shelter,-81.3440694,34.1404048
197,bench,-81.3421275,34.1427802
198,bench,-81.3418163,34.1423184
199,shelter,-81.3440962,34.1404848
200,shelter,-81.3447721,34.1403782
201,shelter,-81.3443161,34.1401296
202,post_office,-81.352692,34.1660444
203,fire_station,-81.0652625,33.9688356
204,police,-81.0652974,33.9689913
205,fast_food,-81.3248193,34.1766777
206,fuel,-81.324908,34.1759424
207,fuel,-81.3242471,34.1767933
208,police,-81.2371666,33.9800007
209,place_of_worship,-81.347711,34.1572183
