,amenity,longitude,latitude
0,cinema,-92.2335418,34.720403
1,grave_yard,-92.4240446,34.633704
2,school,-92.2745943,34.7220367
3,school,-92.2943693,34.7361673
4,grave_yard,-92.4451566,34.8020354
5,grave_yard,-92.4307115,34.6520372
6,school,-92.3376524,34.7614807
7,grave_yard,-92.2623717,34.7262033
8,place_of_worship,-92.2779279,34.6984258
9,school,-92.2534825,34.7125924
10,school,-92.2512602,34.7039813
11,grave_yard,-92.3645978,34.6867592
12,place_of_worship,-92.3393192,34.6798148
13,school,-92.3187628,34.6781482
14,grave_yard,-92.2576493,34.7248144
15,place_of_worship,-92.3323744,34.6762038
16,school,-92.2495933,34.7425921
17,grave_yard,-92.4012659,34.7723137
18,place_of_worship,-92.4457168,34.758705
19,grave_yard,-92.4137665,34.7987021
20,school,-92.3333255,34.7758516
21,school,-92.3482387,34.6684281
22,place_of_worship,-92.4076614,34.7434264
23,grave_yard,-92.3426527,34.6478707
24,university,-92.342097,34.7759248
25,school,-92.2923728,34.7381477
26,place_of_worship,-92.4101777,34.7610486
27,school,-92.3034843,34.7525919
28,school,-92.2993175,34.7514808
29,place_of_worship,-92.4451589,34.758148
30,school,-92.3826541,34.6509228
31,place_of_worship,-92.4318227,34.6581483
32,place_of_worship,-92.4137664,34.6756482
33,school,-92.4148776,34.7717582
34,school,-92.4251558,34.8020354
35,school,-92.3157071,34.7548141
36,place_of_worship,-92.3907101,34.6306486
37,place_of_worship,-92.3159848,34.7356477
38,place_of_worship,-92.2840433,34.7320412
39,place_of_worship,-92.259589,34.7362063
40,school,-92.3176517,34.6692594
41,place_of_worship,-92.315985,34.6673149
42,school,-92.3193218,34.6673127
43,place_of_worship,-92.3176517,34.6692594
44,place_of_worship,-92.3637646,34.6356486
45,place_of_worship,-92.3634867,34.6512039
46,place_of_worship,-92.387662,34.7378764
47,place_of_worship,-92.3295965,34.6798148
48,fuel,-92.3329301,34.6689816
49,place_of_worship,-92.3570976,34.6884258
50,school,-92.3909877,34.7217589
51,place_of_worship,-92.3618165,34.7701073
52,place_of_worship,-92.2823767,34.7331536
53,school,-92.3431042,34.7020295
54,school,-92.3948191,34.7718381
55,school,-92.3373115,34.7416733
56,place_of_worship,-92.3354302,34.6681483
57,place_of_worship,-92.2795958,34.7300922
58,place_of_worship,-92.2518157,34.7292589
59,place_of_worship,-92.2795945,34.7298144
60,place_of_worship,-92.3634867,34.6531484
61,place_of_worship,-92.4175657,34.7530656
62,place_of_worship,-92.2793212,34.7348182
63,place_of_worship,-92.3554309,34.6900925
64,place_of_worship,-92.3648757,34.6545372
65,place_of_worship,-92.36182,34.6837037
66,place_of_worship,-92.3454305,34.6742594
67,place_of_worship,-92.3457083,34.6742594
68,school,-92.3495928,34.6737026
69,school,-92.3470972,34.6739816
70,place_of_worship,-92.2512548,34.7442539
71,place_of_worship,-92.2479268,34.7045368
72,place_of_worship,-92.370987,34.7050924
73,place_of_worship,-92.2854752,34.7382671
74,place_of_worship,-92.2846002,34.7478647
75,place_of_worship,-92.3634867,34.6617595
76,place_of_worship,-92.2704312,34.7228767
77,place_of_worship,-92.3582088,34.6581484
78,place_of_worship,-92.3170959,34.742592
79,place_of_worship,-92.2895949,34.7273144
80,place_of_worship,-92.3333407,34.716997
81,school,-92.333507,34.7169529
82,place_of_worship,-92.3221424,34.7254532
83,place_of_worship,-92.3238256,34.7287096
84,place_of_worship,-92.2965368,34.741536
85,place_of_worship,-92.2784886,34.7267627
86,place_of_worship,-92.2432282,34.7384904
87,place_of_worship,-92.3159848,34.7353699
88,place_of_worship,-92.4237669,34.8006466
89,place_of_worship,-92.3348746,34.668426
90,place_of_worship,-92.3470972,34.6756482
91,place_of_worship,-92.3204255,34.7270378
92,place_of_worship,-92.3529308,34.6848148
93,place_of_worship,-92.2682121,34.7409214
94,place_of_worship,-92.3929323,34.6559261
95,place_of_worship,-92.2709844,34.7406464
96,place_of_worship,-92.2737567,34.7417537
97,place_of_worship,-92.2904284,34.716759
98,place_of_worship,-92.2847959,34.7380684
99,place_of_worship,-92.2801537,34.7339859
100,place_of_worship,-92.344875,34.6492596
101,place_of_worship,-92.3432082,34.7020368
102,place_of_worship,-92.3418276,34.6984282
103,place_of_worship,-92.2898727,34.7181479
104,school,-92.3304298,34.7403699
105,place_of_worship,-92.365709,34.7120367
106,place_of_worship,-92.3393192,34.6798148
107,place_of_worship,-92.3307077,34.7620361
108,place_of_worship,-92.3804336,34.7600951
109,place_of_worship,-92.4259891,34.800091
110,place_of_worship,-92.2926352,34.7275178
111,place_of_worship,-92.2834836,34.7170367
112,place_of_worship,-92.2840392,34.716759
113,place_of_worship,-92.279039,34.7298144
114,place_of_worship,-92.2537603,34.7084257
115,place_of_worship,-92.3398747,34.668426
116,place_of_worship,-92.3209857,34.728565
117,place_of_worship,-92.2895865,34.7209286
118,place_of_worship,-92.3007031,34.7328735
119,place_of_worship,-92.3804318,34.7103701
120,place_of_worship,-92.3832136,34.7061985
121,school,-92.3843209,34.7059256
122,place_of_worship,-92.3279297,34.7412031
123,place_of_worship,-92.2509824,34.7062035
124,place_of_worship,-92.2873721,34.7375902
125,place_of_worship,-92.2682121,34.731484
126,place_of_worship,-92.4242769,34.7528243
127,place_of_worship,-92.3720982,34.6564817
128,place_of_worship,-92.3401525,34.703148
129,place_of_worship,-92.3337634,34.6867593
130,place_of_worship,-92.2773062,34.7215293
131,place_of_worship,-92.3387636,34.6806482
132,place_of_worship,-92.3631686,34.6690942
133,school,-92.363209,34.6692594
134,place_of_worship,-92.3253647,34.740417
135,school,-92.3354302,34.6681483
136,place_of_worship,-92.3562678,34.6914828
137,place_of_worship,-92.2754278,34.7295366
138,place_of_worship,-92.3182073,34.6862037
