,amenity,longitude,latitude
0,place_of_worship,-84.4558867,39.2268946
1,school,-84.4523792,39.2273893
2,place_of_worship,-84.4624424,39.2283915
3,place_of_worship,-84.4518865,39.2214472
4,fuel,-84.4542201,39.2262506
5,school,-84.451393,39.2277781
6,school,-84.4519133,39.2278114
7,school,-84.4521589,39.2276411
8,fire_station,-84.4539859,39.2267425
9,waste_disposal,-84.4539564,39.227018
10,police,-84.4537767,39.226722
11,parking,-84.4526411,39.2249265
12,parking,-84.4538856,39.2259457
13,waste_disposal,-84.4531424,39.2247224
