,amenity,longitude,latitude
0,fast_food,-118.216019,34.0762169
1,fast_food,-118.216012,34.0766932
2,parking_entrance,-118.447979,33.9546598
3,parking,-118.4062065,33.9443513
4,fuel,-118.237237,34.1032728
5,parking,-118.358,33.9992225
6,library,-118.417116,33.9594189
7,parking,-118.4137598,34.1156691
8,bank,-118.398903,34.0212776
9,fire_station,-118.2417558,33.758721
10,parking,-118.4740971,34.1800421
11,parking,-118.4020116,33.9448469
12,parking,-118.4060321,33.9431907
13,parking,-118.4022857,33.943375
14,parking,-118.3991751,33.9450799
15,toilets,-118.429409,34.0728552
16,library,-118.3013483,34.2582533
17,pub,-118.3028134,34.2594656
18,townhall,-118.3009365,34.2578222
19,restaurant,-118.3289013,34.0996138
20,restaurant,-118.3293304,34.0998981
21,fast_food,-118.327536,34.0981853
22,parking_entrance,-118.3778241,34.0758961
23,parking_entrance,-118.3767185,34.0744374
24,fast_food,-118.3767739,34.0744214
25,cafe,-118.3152399,34.2599805
26,restaurant,-118.3147464,34.2602353
27,drinking_water,-118.3860632,34.2605075
28,fast_food,-118.3149028,34.2602359
29,drinking_water,-118.5134703,34.1279369
30,school,-118.592719,34.2422185
31,school,-118.206461,34.1102869
32,school,-118.1720161,34.0858432
33,school,-118.3400559,34.0430891
34,school,-118.3072971,34.2551709
35,school,-118.3247982,34.0408448
36,school,-118.3825803,34.2152821
37,school,-118.3361878,34.0694546
38,school,-118.2828355,33.9332724
39,school,-118.19785,34.047234
40,school,-118.462462,34.0821132
41,school,-118.2625745,34.0627892
42,school,-118.2942418,34.0497338
43,school,-118.3394992,34.0986383
44,school,-118.287296,33.9514036
45,school,-118.4320254,34.1525063
46,school,-118.3995246,34.1708391
47,school,-118.4928609,34.1586169
48,school,-118.3556324,34.046122
49,school,-118.4415114,34.2196221
50,school,-118.1886834,34.1027871
51,school,-118.3973034,34.2358368
52,school,-118.3053535,34.0705661
53,college,-118.211739,34.0633445
54,school,-118.4675825,34.1650057
55,school,-118.437027,34.2305593
56,school,-118.3828579,34.2061157
57,school,-118.2399896,34.064243
58,school,-118.3480679,34.0607833
59,school,-118.4390964,34.1657811
60,school,-118.4397316,34.2265497
61,school,-118.5856432,34.2541698
62,school,-118.4239697,34.1566729
63,school,-118.3890748,34.1607643
64,school,-118.2859085,34.0694552
65,monastery,-118.3168157,34.0439695
66,school,-118.5245259,34.0444532
67,school,-118.3948018,34.1416736
68,school,-118.2897975,34.0691775
69,school,-118.2270831,34.1280376
70,school,-118.222573,34.0883435
71,school,-118.2203507,34.0447343
72,school,-118.4634176,34.0874621
73,school,-118.5114729,34.1705609
74,school,-118.2495187,34.0888992
75,school,-118.4038398,33.9567542
76,school,-118.3953588,34.2311148
77,school,-118.4070262,34.2827795
78,school,-118.3998,34.0241778
79,school,-118.2403519,34.1177867
80,school,-118.3070196,34.0189016
81,school,-118.2659045,33.7886289
82,school,-118.5292518,34.2052822
83,school,-118.2867395,33.8822381
84,school,-118.2678529,34.1225086
85,school,-118.165904,34.069455
86,school,-118.4292492,34.3025009
87,school,-118.4148091,34.2683162
88,school,-118.2727028,33.7856716
89,school,-118.4215402,34.2538912
90,school,-118.3011836,33.8327943
91,school,-118.3609107,34.0694543
92,school,-118.2900717,33.7922396
93,school,-118.3035423,33.7930637
94,school,-118.4734159,34.1616725
95,school,-118.212573,34.085288
96,school,-118.3400772,34.0988979
97,school,-118.2742377,33.9998461
98,school,-118.3139644,34.0258456
99,school,-118.3550769,34.0475109
100,school,-118.3034047,33.7444625
101,school,-118.2611861,34.1205644
102,school,-118.3272974,33.9800135
103,school,-118.2712286,34.050923
104,school,-118.2978535,34.0902876
105,social_facility,-118.2197951,34.0422344
106,school,-118.2409075,34.1163979
107,school,-118.5704245,34.2031088
108,school,-118.4584598,34.1678294
109,school,-118.4303594,34.1908383
110,school,-118.3109049,33.7247408
111,school,-118.3628554,34.087787
112,school,-118.4384162,34.3063896
113,school,-118.3956319,33.9477908
114,school,-118.4131368,34.2066712
115,school,-118.2711857,34.0491786
116,school,-118.4172544,34.1963235
117,school,-118.3261138,33.9768638
118,school,-118.1944023,34.0444832
119,school,-118.2778515,33.9616814
