,amenity,longitude,latitude
0,parking,-85.732311,38.236278
1,restaurant,-85.5670697,38.1007733
2,post_office,-85.7559278,38.2518402
3,school,-85.6894893,38.2219106
4,place_of_worship,-85.4244003,38.1478446
5,place_of_worship,-85.6988485,38.0872896
6,place_of_worship,-85.8052403,38.1359029
7,grave_yard,-85.6600307,38.0963144
8,school,-85.6689624,38.2421152
9,place_of_worship,-85.8585754,38.2084032
10,school,-85.8249641,38.2561812
11,school,-85.7109673,38.2015323
12,place_of_worship,-85.5102355,38.186457
13,school,-85.6374603,38.2089588
14,place_of_worship,-85.4338477,38.2695148
15,school,-85.7704226,38.147176
16,place_of_worship,-85.6849615,38.2370941
17,school,-85.6141244,38.1036773
18,school,-85.7760741,38.2572928
19,school,-85.6291961,38.1490872
20,school,-85.779963,38.2525708
21,school,-85.7521845,38.2403488
22,school,-85.7866301,38.2670146
23,place_of_worship,-85.593568,38.0922876
24,place_of_worship,-85.4977375,38.2586819
25,place_of_worship,-85.4960697,38.2170139
26,school,-85.6974609,38.1828474
27,school,-85.6513791,38.1396998
28,school,-85.6218566,38.1475001
29,school,-85.7434665,38.2513178
30,school,-85.7405176,38.2225707
31,school,-85.7061973,38.2530059
32,place_of_worship,-85.6238503,38.3203466
33,place_of_worship,-85.4246805,38.2347926
34,school,-85.641806,38.2033768
35,place_of_worship,-85.5474603,38.3178467
36,grave_yard,-85.6951577,38.0990272
37,place_of_worship,-85.6232907,38.0797878
38,school,-85.7496844,38.2306265
39,school,-85.813989,38.2390656
40,school,-85.7282955,38.2561821
41,place_of_worship,-85.6219042,38.1947915
42,school,-85.78663,38.260626
43,school,-85.574125,38.1664568
44,school,-85.6382693,38.102492
45,place_of_worship,-85.8100382,38.1814992
46,place_of_worship,-85.662916,38.1288187
47,place_of_worship,-85.7104183,38.2548947
48,place_of_worship,-85.6580777,38.0882913
49,place_of_worship,-85.8182978,38.2516604
50,place_of_worship,-85.717442,38.2574452
51,place_of_worship,-85.4472341,38.2347882
52,place_of_worship,-85.8161891,38.2506095
53,place_of_worship,-85.4914433,38.2399834
54,place_of_worship,-85.5247338,38.2681035
55,place_of_worship,-85.4537662,38.2322382
56,place_of_worship,-85.7467324,38.2454987
57,place_of_worship,-85.7123886,38.2556087
58,place_of_worship,-85.7346332,38.2560552
59,place_of_worship,-85.8166574,38.2503526
60,place_of_worship,-85.7971692,38.2677191
61,place_of_worship,-85.720556,38.259167
62,place_of_worship,-85.7833109,38.2553257
63,place_of_worship,-85.7961235,38.2554765
64,place_of_worship,-85.5370788,38.3174635
65,place_of_worship,-85.8474553,38.1294285
66,place_of_worship,-85.8186755,38.2515107
67,place_of_worship,-85.6357057,38.1866242
68,place_of_worship,-85.7538206,38.2517095
69,place_of_worship,-85.7175649,38.2572355
70,place_of_worship,-85.654953,38.196535
71,place_of_worship,-85.5225,38.27111
72,place_of_worship,-85.7435602,38.22509
73,place_of_worship,-85.8055876,38.2401727
74,place_of_worship,-85.7426196,38.2351394
75,place_of_worship,-85.8112187,38.2319919
76,place_of_worship,-85.8146586,38.2390593
77,place_of_worship,-85.6604701,38.1451097
78,place_of_worship,-85.8163856,38.2503437
79,place_of_worship,-85.7848832,38.2600411
80,place_of_worship,-85.6899426,38.2215003
81,place_of_worship,-85.6740702,38.1800754
82,place_of_worship,-85.8254997,38.2509887
83,place_of_worship,-85.7521962,38.2574583
84,place_of_worship,-85.7824415,38.2650237
85,place_of_worship,-85.7848537,38.2535581
86,place_of_worship,-85.7875819,38.2547585
87,doctors,-85.7501667,38.1768696
88,hospital,-85.7512718,38.2489629
89,post_office,-85.6827625,38.2232091
90,post_office,-85.7973337,38.2500005
91,post_office,-85.7467585,38.1000216
92,post_office,-85.4612261,38.189601
93,post_office,-85.7429906,38.2141708
94,school,-85.890066,38.1691868
95,place_of_worship,-85.6297077,38.1153135
96,place_of_worship,-85.8046307,38.1070114
97,place_of_worship,-85.7793114,38.2548598
98,place_of_worship,-85.7833093,38.2603592
99,place_of_worship,-85.8918184,38.0706368
100,place_of_worship,-85.4517196,38.2321221
101,place_of_worship,-85.6863241,38.0897288
102,place_of_worship,-85.753808,38.2517795
103,place_of_worship,-85.7862102,38.254323
104,place_of_worship,-85.7399138,38.2521696
105,place_of_worship,-85.625038,38.117994
106,place_of_worship,-85.4949527,38.2412201
107,place_of_worship,-85.8552897,38.1844847
108,place_of_worship,-85.7526029,38.2408713
109,place_of_worship,-85.80722,38.172222
110,school,-85.750852,38.2406063
111,school,-85.8161413,38.2276536
112,school,-85.7489142,38.1122037
113,school,-85.7300575,38.2519229
114,school,-85.7305052,38.251832
115,school,-85.5548,38.281
116,school,-85.7947744,38.1948257
117,school,-85.7522222,38.240556
118,school,-85.8873396,38.1149103
119,school,-85.6974317,38.2540149
120,school,-85.768129,38.1950638
121,school,-85.609148,38.223342
122,school,-85.7854268,38.2670052
123,school,-85.6823212,38.126571
124,school,-85.773614,38.18779
125,school,-85.5752132,38.1675018
126,fire_station,-85.7242373,38.2377852
127,fire_station,-85.7241376,38.237686
128,kindergarten,-85.7418581,38.2536346
129,kindergarten,-85.8022263,38.2358333
130,library,-85.7601984,38.2532708
131,library,-85.718071,38.2346683
132,library,-85.7181193,38.2346514
133,recycling,-85.642474,38.20965
134,post_box,-85.6585071,38.2012327
135,pub,-85.5654346,38.3248572
136,restaurant,-85.7576522,38.252141
137,restaurant,-85.6261455,38.2191727
138,place_of_worship,-85.5454129,38.1444765
139,fire_station,-85.5668184,38.1041836
140,restaurant,-85.5893339,38.152039
141,restaurant,-85.5618037,38.2921054
142,restaurant,-85.5775202,38.3079583
143,restaurant,-85.5771501,38.308253
144,post_box,-85.5750008,38.1289289
145,restaurant,-85.57507,38.1291737
146,restaurant,-85.5751402,38.1292918
147,fast_food,-85.5752046,38.1294353
148,fast_food,-85.6194107,38.13843
