,amenity,longitude,latitude
0,school,-122.3234647,47.8167634
1,fast_food,-122.2982668,47.8395478
2,fuel,-122.293126,47.8216647
3,bicycle_parking,-122.2973184,47.8163571
4,bicycle_parking,-122.2973694,47.8158493
5,bicycle_parking,-122.2957019,47.8163497
6,parking_entrance,-122.2753296,47.8303995
7,parking_entrance,-122.276325,47.8303307
8,parking_entrance,-122.2760361,47.8303285
9,parking_entrance,-122.2756364,47.8303278
10,fast_food,-122.3363529,47.8210841
11,cafe,-122.271899,47.8239877
12,cafe,-122.317442,47.8208833
13,fast_food,-122.317037,47.8208661
14,fast_food,-122.3159556,47.8209386
15,fast_food,-122.3159563,47.8208048
16,dentist,-122.316088,47.820725
17,restaurant,-122.3161754,47.8206215
18,cafe,-122.2940714,47.8460644
19,fast_food,-122.2890104,47.8206856
20,fast_food,-122.2887056,47.8206812
21,bank,-122.2782315,47.8299227
22,library,-122.3279796,47.8155564
23,cafe,-122.3280438,47.8163323
24,cafe,-122.3275985,47.8148694
25,cafe,-122.3164559,47.8223945
26,restaurant,-122.3254351,47.821841
27,restaurant,-122.325577,47.8218439
28,post_office,-122.316529,47.8227643
29,bank,-122.315728,47.8215442
30,fast_food,-122.3168536,47.8196647
31,college,-122.3267662,47.817045
32,theatre,-122.3277636,47.8147423
33,dentist,-122.324427,47.821638
34,recycling,-122.3275766,47.8194909
35,restaurant,-122.3189621,47.8209611
36,cafe,-122.3229414,47.8101391
37,atm,-122.3230058,47.8100923
38,restaurant,-122.3229347,47.8099072
39,restaurant,-122.2740452,47.8283603
40,food_court,-122.3267424,47.8163416
41,childcare,-122.3262056,47.8218446
42,restaurant,-122.3259601,47.8218432
43,restaurant,-122.3258278,47.8209891
44,restaurant,-122.3351926,47.8211819
45,driving_school,-122.3355682,47.8210202
46,fast_food,-122.3371212,47.821112
47,fast_food,-122.3251543,47.8101874
48,fast_food,-122.2767567,47.8313907
49,theatre,-122.3329287,47.827507
50,bank,-122.287622,47.8179099
51,restaurant,-122.3241446,47.8095456
52,restaurant,-122.2942731,47.8458583
53,fast_food,-122.297465,47.8404421
54,fuel,-122.2703084,47.82044
55,restaurant,-122.3164371,47.8201474
56,fuel,-122.2982662,47.8206265
57,toilets,-122.2729439,47.8302939
58,restaurant,-122.270673,47.8344405
59,cafe,-122.2691725,47.8322154
60,place_of_worship,-122.3056418,47.8462876
61,veterinary,-122.291743,47.8158825
62,restaurant,-122.3372349,47.8311042
63,restaurant,-122.3260175,47.8218767
64,waste_basket,-122.2766847,47.8240679
65,waste_basket,-122.2766879,47.8242213
66,waste_basket,-122.2757815,47.8246353
67,waste_basket,-122.2766676,47.823689
68,waste_basket,-122.2752021,47.8246265
69,waste_basket,-122.2766445,47.8244538
70,waste_basket,-122.274899,47.8246343
71,waste_basket,-122.2761495,47.8246351
72,waste_basket,-122.276477,47.8245931
73,pharmacy,-122.2664622,47.8325498
74,waste_basket,-122.266664,47.8329427
75,smoking_station,-122.2665545,47.8330631
76,waste_basket,-122.2666517,47.8327254
77,waste_basket,-122.2680913,47.8332599
78,waste_basket,-122.2676675,47.8332618
79,waste_basket,-122.2671564,47.833263
80,waste_basket,-122.2668148,47.8332688
81,compressed_air,-122.2920918,47.8179877
82,fast_food,-122.2929716,47.8463395
83,restaurant,-122.293076,47.8463413
