,amenity,longitude,latitude
0,school,-83.6296249,32.8204172
1,school,-83.7060166,32.788752
2,school,-83.5676792,32.8140279
3,place_of_worship,-83.7935181,32.790974
4,place_of_worship,-83.7146277,32.7965296
5,school,-83.6515706,32.7987512
6,school,-83.6376805,32.8273615
7,school,-83.6343496,32.6890316
8,place_of_worship,-83.7637944,32.8523614
9,place_of_worship,-83.8485617,32.8029354
10,place_of_worship,-83.7616553,32.8504463
11,school,-83.5762887,32.8612493
12,place_of_worship,-83.717029,32.8259529
13,place_of_worship,-83.6590712,32.7845849
14,place_of_worship,-83.5293444,32.8240275
15,place_of_worship,-83.7945183,32.8575755
16,school,-83.6685141,32.8479168
17,place_of_worship,-83.6654597,32.8045845
18,place_of_worship,-83.6390689,32.8465278
19,school,-83.6374025,32.8351391
20,school,-83.5829555,32.8665271
21,place_of_worship,-83.6260124,32.8637495
22,place_of_worship,-83.6829592,32.8423614
23,place_of_worship,-83.8293853,32.8637992
24,place_of_worship,-83.6621268,32.7834738
25,place_of_worship,-83.775287,32.8881661
26,school,-83.6385136,32.8356947
27,place_of_worship,-83.7929834,32.832872
28,school,-83.6567889,32.8370545
29,place_of_worship,-83.711889,32.9095173
30,school,-83.6739453,32.7449156
31,school,-83.6940693,32.8915269
32,university,-83.6499029,32.831806
33,place_of_worship,-83.851036,32.844803
34,place_of_worship,-83.6535153,32.7920847
35,place_of_worship,-83.7432147,32.7542368
36,school,-83.6587927,32.8104177
37,place_of_worship,-83.5621249,32.7759729
38,place_of_worship,-83.6935162,32.7926406
39,place_of_worship,-83.7849607,32.7823904
40,school,-83.6902526,32.8331873
41,school,-83.6779581,32.8762494
42,school,-83.635458,32.837639
43,place_of_worship,-83.663793,32.8026401
44,place_of_worship,-83.7104843,32.7170454
45,school,-83.7199032,32.9048599
46,school,-83.6840703,32.8412504
47,school,-83.720959,32.8916139
48,place_of_worship,-83.7476833,32.8362509
49,school,-83.6612411,32.8674294
50,place_of_worship,-83.5635137,32.7790285
51,school,-83.6660147,32.8243063
52,place_of_worship,-83.7957857,32.8876601
53,school,-83.6582376,32.7909736
54,place_of_worship,-83.685182,32.8215287
55,school,-83.6468468,32.8454167
56,school,-83.6993869,32.7317294
57,school,-83.6618476,32.8348615
58,place_of_worship,-83.7179597,32.8629167
59,place_of_worship,-83.6762911,32.8854159
60,school,-83.6860142,32.8629165
61,place_of_worship,-83.6371243,32.8465278
62,school,-83.6025246,32.8604661
63,place_of_worship,-83.746461,32.8898748
64,place_of_worship,-83.631291,32.8429167
65,place_of_worship,-83.6466941,32.8284354
66,school,-83.7068502,32.7768079
67,place_of_worship,-83.6465695,32.8315282
68,place_of_worship,-83.6390692,32.8362502
69,place_of_worship,-83.638041,32.8376737
70,school,-83.6801829,32.7815297
71,place_of_worship,-83.6410139,32.8281949
72,place_of_worship,-83.6343471,32.8259726
73,place_of_worship,-83.6332356,32.8348614
74,place_of_worship,-83.6401806,32.8290282
75,school,-83.6535166,32.719031
76,school,-83.5999918,32.8584894
77,place_of_worship,-83.7233725,32.7429658
78,place_of_worship,-83.7949232,32.7900685
79,place_of_worship,-83.634069,32.837639
80,place_of_worship,-83.641569,32.8418057
81,place_of_worship,-83.6359676,32.8317042
82,place_of_worship,-83.6387911,32.8445833
83,place_of_worship,-83.7441803,32.826889
84,place_of_worship,-83.6368468,32.8384723
85,school,-83.6915717,32.7951405
86,place_of_worship,-83.8198762,32.8051174
87,place_of_worship,-83.6304583,32.8231949
88,school,-83.6908706,32.811982
89,post_office,-83.6254577,32.8370834
90,school,-83.6736066,32.8075451
91,school,-83.6937926,32.8501391
92,school,-83.6399026,32.8343059
93,place_of_worship,-83.640736,32.8315281
94,place_of_worship,-83.720181,32.903471
95,place_of_worship,-83.7035131,32.9326369
96,school,-83.6510137,32.8431946
97,place_of_worship,-83.6387917,32.8251394
98,school,-83.6754599,32.8076401
99,place_of_worship,-83.6361726,32.8358017
100,school,-83.7549984,32.8610642
101,place_of_worship,-83.6346248,32.8295836
102,place_of_worship,-83.6490696,32.8323615
103,place_of_worship,-83.6443471,32.8337503
104,place_of_worship,-83.6335134,32.8387502
105,school,-83.5959119,32.8664334
106,place_of_worship,-83.6354579,32.8381946
107,place_of_worship,-83.6487918,32.8320837
108,grave_yard,-83.7111418,32.7419858
109,doctors,-83.6310133,32.8379168
110,bicycle_parking,-83.6310525,32.8366541
111,fast_food,-83.6303999,32.8368349
112,bench,-83.6312699,32.8363375
113,school,-83.7726689,32.9046288
