,amenity,longitude,latitude
0,grave_yard,-75.5453361,40.5113488
1,school,-75.5479632,40.511764
2,social_facility,-75.5591856,40.5261809
3,waste_basket,-75.5611209,40.5205594
4,letter_box,-75.5552849,40.5111361
5,bench,-75.5492895,40.5159136
6,bench,-75.5489544,40.5160496
7,bench,-75.5494868,40.5158398
8,bench,-75.5495063,40.515864
9,waste_basket,-75.5510711,40.5152674
10,bench,-75.5478391,40.5117295
11,bench,-75.547925,40.5117803
12,letter_box,-75.5583872,40.5117029
13,bench,-75.5575836,40.5187815
14,letter_box,-75.5576307,40.5187853
15,letter_box,-75.557628,40.5188007
16,letter_box,-75.5568124,40.5194906
17,bench,-75.5569229,40.5197119
18,bench,-75.5569377,40.519803
19,letter_box,-75.5569109,40.5202994
