,amenity,longitude,latitude
0,grave_yard,-90.4109271,32.4881971
1,grave_yard,-90.2431085,32.5576004
2,grave_yard,-90.2678673,32.5604175
3,place_of_worship,-90.2609224,32.626527
4,place_of_worship,-89.8856379,32.8137443
5,grave_yard,-90.3167574,32.5737505
6,place_of_worship,-90.0920299,32.469586
7,place_of_worship,-89.9503614,32.8362441
8,school,-89.9564726,32.8356886
9,place_of_worship,-90.047172,32.5762735
10,school,-89.846748,32.777078
11,place_of_worship,-90.1595314,32.6331934
12,place_of_worship,-90.278002,32.4884131
13,place_of_worship,-89.7781356,32.7806889
14,grave_yard,-89.9628601,32.5351398
15,place_of_worship,-90.1798097,32.49653
16,place_of_worship,-90.0864742,32.4343093
17,grave_yard,-90.2975904,32.5190296
18,place_of_worship,-89.8228584,32.7490229
19,grave_yard,-90.3834262,32.5054188
20,place_of_worship,-89.9684171,32.7845783
21,place_of_worship,-89.820637,32.8556879
22,grave_yard,-89.9186939,32.7787449
23,place_of_worship,-89.9098053,32.8745766
24,grave_yard,-89.760634,32.67708
25,place_of_worship,-90.4078714,32.5101409
26,place_of_worship,-89.9192499,32.8576325
27,place_of_worship,-90.4148158,32.5320848
28,place_of_worship,-90.3462029,32.5093076
29,place_of_worship,-89.8020256,32.8629099
30,grave_yard,-89.7648024,32.822077
31,grave_yard,-90.0428621,32.4662528
32,grave_yard,-90.2817567,32.5209739
33,grave_yard,-89.7906345,32.6548585
34,grave_yard,-90.4189824,32.5612508
35,place_of_worship,-90.0720298,32.6951361
36,place_of_worship,-89.8161914,32.7329121
37,grave_yard,-90.250089,32.5493067
38,grave_yard,-90.1236974,32.3995879
39,place_of_worship,-89.8684141,32.6615253
40,grave_yard,-90.0686964,32.6790254
41,place_of_worship,-89.8256362,32.7376343
42,place_of_worship,-89.9053588,32.5781942
43,grave_yard,-89.8295242,32.659303
44,place_of_worship,-89.8314689,32.6698582
45,place_of_worship,-90.3800929,32.4879193
46,place_of_worship,-89.9081381,32.7776338
47,grave_yard,-90.1200862,32.446809
48,place_of_worship,-90.0364736,32.6998582
49,grave_yard,-90.1264752,32.4768082
50,place_of_worship,-89.9770283,32.770412
51,place_of_worship,-90.007306,32.6045826
52,place_of_worship,-90.2438299,32.4948695
53,place_of_worship,-90.1011968,32.414032
54,grave_yard,-90.2092546,32.6440265
55,place_of_worship,-90.2092546,32.6481931
56,place_of_worship,-89.869249,32.8615212
57,place_of_worship,-90.2261997,32.4945856
58,place_of_worship,-90.022029,32.7495791
59,place_of_worship,-89.8634146,32.7345789
60,grave_yard,-90.0630696,32.6666564
61,place_of_worship,-90.0556406,32.6626369
62,grave_yard,-90.1328642,32.5198626
63,place_of_worship,-89.9698053,32.6418039
64,place_of_worship,-89.9856394,32.7068024
65,place_of_worship,-89.7670248,32.8409656
66,place_of_worship,-89.8459146,32.7784669
67,place_of_worship,-90.1881435,32.422643
68,place_of_worship,-89.785079,32.6801356
69,place_of_worship,-90.0884188,32.6193047
70,place_of_worship,-90.0428621,32.4831968
71,grave_yard,-89.945638,32.6195821
72,place_of_worship,-90.1845321,32.4581977
73,place_of_worship,-89.9092494,32.8076333
74,place_of_worship,-90.2206443,32.4356983
75,place_of_worship,-89.9203603,32.7301348
76,place_of_worship,-90.0375848,32.7140245
77,place_of_worship,-89.8656373,32.7754115
78,place_of_worship,-89.9767507,32.807078
79,place_of_worship,-89.9478607,32.7059688
