,amenity,longitude,latitude
0,parking_entrance,-89.5282647,43.0627098
1,parking,-89.403039,43.1526742
2,parking,-89.3170015,43.0517638
3,parking_entrance,-89.3468902,43.1353435
4,parking_entrance,-89.3481822,43.1354191
5,parking_entrance,-89.3473154,43.1353573
6,parking_entrance,-89.3478316,43.1353718
7,school,-89.3945629,43.1383277
8,school,-89.3690058,43.146013
9,school,-89.3076171,43.0986068
10,school,-89.2649071,43.0597076
11,school,-89.3575865,43.086149
12,school,-89.4746197,43.0333441
13,school,-89.3621885,43.1177357
14,school,-89.3159506,43.0897181
15,school,-89.4223697,43.0666982
16,post_office,-89.38159,43.0732668
17,parking_entrance,-89.3896842,43.0735918
18,parking_entrance,-89.3889523,43.073086
19,parking_entrance,-89.3879131,43.0757035
20,parking_entrance,-89.3877319,43.0755643
21,prison,-89.3835213,43.0717914
22,recycling,-89.4400097,43.0849947
23,bench,-89.4337975,43.0916391
24,bench,-89.4325101,43.091806
25,toilets,-89.4200098,43.087229
26,bench,-89.4156248,43.0897101
27,toilets,-89.433357,43.0865528
28,post_box,-89.4116552,43.0732643
29,bench,-89.4150327,43.0752945
30,letter_box,-89.4355221,43.0838253
31,letter_box,-89.4341993,43.0842533
32,letter_box,-89.4400122,43.0854537
33,letter_box,-89.4402914,43.0848506
34,letter_box,-89.4402565,43.085148
35,bicycle_parking,-89.4145571,43.0757315
36,recycling,-89.4365041,43.0859669
37,letter_box,-89.4395706,43.0857685
38,recycling,-89.4396053,43.0855188
39,letter_box,-89.4396734,43.0847987
40,letter_box,-89.4368899,43.0855934
41,atm,-89.4143656,43.0776963
42,loading_dock,-89.4055646,43.0764263
43,letter_box,-89.4375827,43.0872326
44,recycling,-89.4374181,43.0873528
45,letter_box,-89.4377804,43.0867134
46,letter_box,-89.4380872,43.0865284
47,recycling,-89.4399591,43.0859953
48,letter_box,-89.4402437,43.085706
49,letter_box,-89.4409328,43.0844029
50,recycling,-89.4409077,43.084562
51,recycling,-89.4412439,43.0830526
52,recycling,-89.4390263,43.0855102
53,letter_box,-89.4377546,43.0859144
54,recycling,-89.4377545,43.0859819
55,bench,-89.4035211,43.077326
56,parking_entrance,-89.5236934,43.0720191
57,recycling,-89.4406914,43.0859872
58,restaurant,-89.4667398,43.0754979
59,bench,-89.4107908,43.0759325
60,police,-89.4096648,43.0759249
61,post_box,-89.4084283,43.0735274
62,post_box,-89.3177762,43.0987662
63,fuel,-89.4619083,43.0309998
64,fast_food,-89.4984216,43.0148736
65,bar,-89.3548488,43.0321826
66,fast_food,-89.5039573,43.0497886
67,fast_food,-89.5025843,43.0483301
68,fast_food,-89.4984131,43.0147175
69,fuel,-89.4558705,43.0352318
70,bank,-89.4570327,43.0345727
71,fuel,-89.5025042,43.0570401
72,restaurant,-89.5048026,43.0614284
73,place_of_worship,-89.3878767,43.0769759
74,fast_food,-89.5049127,43.05826
75,fast_food,-89.5048819,43.0585134
76,fast_food,-89.5052428,43.0583478
77,fast_food,-89.5050426,43.0582586
78,bar,-89.36254,43.0846749
79,cafe,-89.3658896,43.0819904
80,fast_food,-89.5050524,43.058526
81,restaurant,-89.5049543,43.0574728
82,fast_food,-89.398824,43.0572764
83,restaurant,-89.3648813,43.0830613
84,school,-89.3569856,43.0865486
85,post_box,-89.3625858,43.0844052
86,restaurant,-89.302764,43.0440261
87,post_box,-89.370641,43.0777086
88,fuel,-89.2999507,43.1331021
89,fast_food,-89.267313,43.0444168
90,pub,-89.2873448,43.1072203
91,school,-89.4758642,43.0333206
92,cafe,-89.3839609,43.077353
93,atm,-89.3630053,43.0837446
94,fast_food,-89.5191011,43.0745821
95,library,-89.5175827,43.0760994
96,cafe,-89.5134753,43.0597013
97,restaurant,-89.4236441,43.0682616
98,school,-89.3631068,43.1178073
99,fast_food,-89.3630161,43.1277867
100,bar,-89.3219992,43.0834244
101,library,-89.4609203,43.0742859
102,restaurant,-89.3608596,43.0855479
103,restaurant,-89.3413101,43.0940243
104,restaurant,-89.3250669,43.1159191
105,bank,-89.3310034,43.1133456
106,social_facility,-89.3612534,43.1132335
107,ice_cream,-89.3930527,43.0749417
108,post_box,-89.300576,43.0848911
109,cafe,-89.3241281,43.0786263
110,fast_food,-89.5190733,43.0611135
111,restaurant,-89.5135864,43.057809
112,restaurant,-89.3555633,43.0922734
113,library,-89.4009983,43.0766467
114,parking,-89.4009771,43.076776
115,parking_entrance,-89.4538513,43.0332617
116,parking_entrance,-89.4548485,43.0319007
117,parking_entrance,-89.4538252,43.0329194
118,parking_entrance,-89.4544464,43.0319635
119,parking_entrance,-89.3988452,43.0683927
120,parking_entrance,-89.3971992,43.067958
121,parking_entrance,-89.3992444,43.0668375
122,parking_entrance,-89.3992504,43.0669832
123,bar,-89.3970499,43.0733833
124,restaurant,-89.3906454,43.0749111
125,fast_food,-89.3929665,43.0737598
126,restaurant,-89.3962468,43.0733695
127,place_of_worship,-89.3976086,43.0747587
128,bar,-89.3971627,43.0756637
129,cafe,-89.3872117,43.074836
130,parking_entrance,-89.3833439,43.0772914
131,parking_entrance,-89.3828386,43.0778094
132,restaurant,-89.393526,43.0724359
133,restaurant,-89.4075699,43.0674704
134,parking_entrance,-89.3790795,43.0726907
135,fuel,-89.3594483,43.0979923
136,bank,-89.3837773,43.0731849
137,restaurant,-89.3844786,43.073022
138,bar,-89.3844171,43.0727008
139,cafe,-89.3858729,43.0732274
140,bank,-89.3831617,43.0735511
141,cafe,-89.3827265,43.0739037
142,pharmacy,-89.3821932,43.0742673
143,bar,-89.3770758,43.0757386
144,bar,-89.3763609,43.0762245
145,pharmacy,-89.4775084,43.0324431
146,bank,-89.4793644,43.0323881
147,fast_food,-89.3013636,43.1270253
148,parking_entrance,-89.2855471,43.1392685
149,parking_entrance,-89.2850914,43.1385397
150,bar,-89.2850385,43.1416379
151,bank,-89.2868597,43.1401075
152,bank,-89.2906336,43.134768
153,fuel,-89.2879434,43.1477476
154,fast_food,-89.3230038,43.1174167
155,fuel,-89.3244758,43.120817
156,restaurant,-89.3142034,43.1232264
157,restaurant,-89.3148444,43.122831
158,bank,-89.3091462,43.1247123
159,bank,-89.3135101,43.12362
160,cafe,-89.3088511,43.123017
161,fast_food,-89.3056115,43.0472058
162,restaurant,-89.477997,43.0324324
163,fuel,-89.3018911,43.1336328
164,fuel,-89.3640378,43.110719
165,parking_entrance,-89.4307741,43.075973
166,parking_entrance,-89.4307725,43.0760809
167,drinking_water,-89.4100793,43.0592687
168,toilets,-89.4100205,43.0592354
169,fuel,-89.3209073,43.0978472
170,pharmacy,-89.3923871,43.0685549
171,toilets,-89.4417797,43.0682423
172,school,-89.3700629,43.1464827
173,restaurant,-89.4288529,43.0567739
174,parking_entrance,-89.4519363,43.0738166
175,fast_food,-89.5249397,43.0731586
176,restaurant,-89.5250481,43.0732838
177,restaurant,-89.5264619,43.0731731
178,parking,-89.4221225,43.0666772
179,pub,-89.3762962,43.0797191
180,pub,-89.3763834,43.0798047
181,cafe,-89.4474686,43.0749786
182,library,-89.4505289,43.0537698
183,post_box,-89.4364244,43.0680885
184,public_bookcase,-89.4237211,43.0682921
185,fuel,-89.3475535,43.1111214
186,atm,-89.3493237,43.1129776
187,bank,-89.3496349,43.1130011
188,bank,-89.3492272,43.1111449
189,atm,-89.349431,43.1111762
190,car_wash,-89.3483154,43.1110855
191,bank,-89.3562868,43.1287025
192,atm,-89.3565443,43.1287495
193,toilets,-89.368714,43.1016545
194,drinking_water,-89.4237204,43.0681173
195,drinking_water,-89.4099519,43.0720734
196,restaurant,-89.4958514,43.0554234
197,cafe,-89.3889896,43.056188
198,restaurant,-89.3931402,43.0753805
199,fast_food,-89.496713,43.0604102
200,food_court,-89.5050074,43.0583874
201,bench,-89.4379825,43.0550507
202,fountain,-89.42257,43.0583622
203,post_box,-89.4358978,43.0526069
204,post_box,-89.4173906,43.064636
205,post_box,-89.423399,43.0678381
206,post_box,-89.4283577,43.0720149
207,post_box,-89.4450383,43.0608225
208,post_box,-89.4509915,43.0458781
209,post_box,-89.4513317,43.0496496
210,post_box,-89.458743,43.0537037
211,post_box,-89.4514705,43.0684918
212,drinking_water,-89.4379195,43.0551108
213,vending_machine,-89.3750914,43.0757315
214,restaurant,-89.3962317,43.0749885
