,amenity,longitude,latitude
0,school,-74.3473315,40.3047568
1,school,-74.2937368,40.300133
2,school,-74.3493449,40.3067537
3,school,-74.3265447,40.3154777
4,school,-74.3000197,40.2853795
5,school,-74.3447827,40.2919153
6,school,-74.3267151,40.3073894
7,school,-74.3464522,40.3047822
8,school,-74.3675389,40.2501699
9,school,-74.3478883,40.3033669
10,fire_station,-74.3412322,40.2524542
11,fire_station,-74.3408801,40.2909976
12,place_of_worship,-74.3267921,40.3075339
13,fire_station,-74.3299042,40.3271447
14,dentist,-74.3188648,40.3358034
15,doctors,-74.3050414,40.3019544
16,fuel,-74.3032606,40.3031397
17,bus_station,-74.3038632,40.3025821
18,fuel,-74.304082,40.3018862
19,bank,-74.3033862,40.2989147
20,dentist,-74.3038746,40.2997381
21,dentist,-74.3039153,40.3000035
22,library,-74.3037181,40.293434
23,fast_food,-74.3590872,40.3133645
24,fast_food,-74.3571345,40.3142706
25,fast_food,-74.3591355,40.314015
26,fast_food,-74.357683,40.3145406
27,telephone,-74.3587948,40.3133676
28,bench,-74.3593366,40.3134371
29,bench,-74.3592025,40.3132603
30,bench,-74.3593581,40.313294
31,bench,-74.3590107,40.3132756
32,bench,-74.3585802,40.3133727
33,bench,-74.3593674,40.3134003
34,bench,-74.35935,40.3132654
35,bench,-74.3585816,40.3134034
36,bench,-74.3592562,40.3132071
37,bench,-74.3593621,40.3133185
38,bench,-74.3593742,40.3135752
39,bench,-74.3593997,40.3135138
40,bench,-74.3593286,40.3131734
41,bench,-74.3591194,40.3132255
42,atm,-74.3587143,40.3133574
43,bench,-74.3589839,40.3132347
44,bench,-74.3593648,40.313337
45,bench,-74.3592857,40.3132521
46,bench,-74.3588675,40.3132558
47,toilets,-74.3588068,40.3134259
48,bench,-74.3593648,40.3133717
49,bench,-74.3587023,40.3132623
50,bench,-74.359063,40.3132286
51,bench,-74.3594077,40.3135589
52,bench,-74.3593326,40.313248
53,bench,-74.3585735,40.3133461
54,bench,-74.3593836,40.313432
55,bench,-74.3585655,40.3132664
56,bench,-74.3591945,40.3132143
57,telephone,-74.3571103,40.3141151
58,telephone,-74.3610799,40.3132571
59,toilets,-74.3571157,40.3141836
60,toilets,-74.3609029,40.3133123
61,biergarten,-74.3611657,40.3133982
62,restaurant,-74.3053147,40.3078561
63,fountain,-74.3404484,40.2710915
64,fountain,-74.3409607,40.2711181
65,fountain,-74.3411323,40.2717331
66,fountain,-74.355687,40.263358
67,fountain,-74.3615066,40.2558299
68,fountain,-74.3614698,40.2554947
69,fountain,-74.355669,40.2545562
70,fountain,-74.3556701,40.2540106
71,fountain,-74.3535571,40.2560604
72,fountain,-74.3533509,40.2558575
73,fountain,-74.3533848,40.2596947
74,fountain,-74.3533527,40.2600718
75,fountain,-74.3495184,40.2672656
76,fountain,-74.3478554,40.2674617
77,fountain,-74.3520553,40.2676684
78,fountain,-74.3539093,40.2660699
79,fountain,-74.3534041,40.2662495
80,pharmacy,-74.3676506,40.2529323
81,bank,-74.2961114,40.2879056
82,fast_food,-74.2965417,40.287208
83,restaurant,-74.2964123,40.2873149
84,dentist,-74.3051007,40.3206574
85,fountain,-74.3470154,40.2652023
86,fountain,-74.3465015,40.2648756
87,fountain,-74.3535468,40.2617088
88,fountain,-74.3590809,40.2608876
89,polling_station,-74.3409389,40.2908619
90,loading_dock,-74.3418012,40.2919245
91,fountain,-74.3420345,40.2903821
92,post_box,-74.3424014,40.2913067
93,post_box,-74.342408,40.2913039
94,post_box,-74.3424148,40.2913009
95,waste_disposal,-74.3409557,40.29156
96,waste_disposal,-74.3409179,40.2915595
97,police,-74.3405805,40.2905161
