,amenity,longitude,latitude
0,courthouse,-86.084547,35.4782859
1,school,-86.0766547,35.4884097
2,social_facility,-86.0988292,35.4737632
3,place_of_worship,-86.076099,35.4831321
4,place_of_worship,-86.0913768,35.4567438
5,place_of_worship,-86.0865074,35.4829762
6,place_of_worship,-86.0927661,35.4786876
7,nursing_home,-86.0838307,35.4685395
8,school,-86.0955434,35.4472995
9,doctors,-86.0836813,35.4692843
10,place_of_worship,-86.0752654,35.4667436
11,place_of_worship,-86.0780434,35.4725767
12,place_of_worship,-86.0941547,35.4584103
13,place_of_worship,-86.0833212,35.4731323
14,place_of_worship,-86.088877,35.4742433
15,place_of_worship,-86.087488,35.4722989
16,place_of_worship,-86.0910994,35.4834097
17,place_of_worship,-86.0884323,35.4795002
18,place_of_worship,-86.0863774,35.5045203
19,place_of_worship,-86.0891547,35.4689657
20,place_of_worship,-86.0810991,35.4797987
21,place_of_worship,-86.099481,35.4936976
22,place_of_worship,-86.0958215,35.4704361
23,school,-86.0949882,35.4717434
24,school,-86.096655,35.4725766
25,place_of_worship,-86.0874879,35.463688
26,post_office,-86.0703683,35.467544
27,courthouse,-86.0887298,35.4833034
28,townhall,-86.0894327,35.4839653
29,place_of_worship,-86.0949704,35.4686662
30,fast_food,-86.0546664,35.4577705
31,fuel,-86.0858364,35.5015505
32,fuel,-86.0866935,35.5023631
33,restaurant,-86.0851594,35.5012702
34,fuel,-86.0874872,35.4971407
35,restaurant,-86.0773301,35.4831864
36,restaurant,-86.0778693,35.4740193
37,fast_food,-86.0782149,35.4744914
38,fast_food,-86.0807845,35.4753445
39,nursing_home,-86.0772326,35.4963819
40,theatre,-86.0873892,35.4824959
41,bank,-86.0613132,35.4604532
42,fast_food,-86.0541115,35.4594253
43,fast_food,-86.0541768,35.4598418
44,fast_food,-86.0571249,35.4598152
45,fast_food,-86.0765323,35.4717854
46,bank,-86.0884555,35.4847016
47,fuel,-86.0552704,35.4582097
48,fast_food,-86.0581991,35.4593054
49,fuel,-86.0858597,35.5025315
50,restaurant,-86.0864927,35.5033851
51,fuel,-86.0710909,35.4925796
52,fuel,-86.0713175,35.4927074
53,restaurant,-86.0547795,35.4595759
54,fuel,-86.0551047,35.4590629
55,fast_food,-86.0597603,35.4609732
56,fuel,-86.0870554,35.4664035
57,fuel,-86.0858789,35.4664894
58,restaurant,-86.0495376,35.454217
59,fuel,-86.0478866,35.4556858
60,fuel,-86.0455667,35.4548718
61,restaurant,-86.0489232,35.4538979
62,restaurant,-86.047653,35.4565573
63,fuel,-86.0454177,35.4556496
64,cafe,-86.0492571,35.4573647
65,fast_food,-86.0559725,35.4585163
66,fast_food,-86.0570296,35.4589382
67,fast_food,-86.0576123,35.4591174
68,fast_food,-86.0589547,35.4596329
69,fast_food,-86.0595703,35.4598256
70,fast_food,-86.0565824,35.4597425
71,ice_cream,-86.0567635,35.459808
72,car_wash,-86.0578162,35.4601376
73,charging_station,-86.0421595,35.4547011
74,fuel,-86.0485777,35.4559268
75,charging_station,-86.0797926,35.4741872
76,charging_station,-86.07977,35.4741993
77,charging_station,-86.0797386,35.474133
78,charging_station,-86.0797165,35.4741545
79,post_box,-86.0706325,35.4681415
80,post_box,-86.0706413,35.4681355
81,post_box,-86.0706511,35.4681284
82,restaurant,-86.0874994,35.4975663
