,amenity,longitude,latitude
0,parking,-111.0910089,32.4756153
1,bank,-111.079776,32.4275732
2,pharmacy,-111.0776031,32.4256497
3,cafe,-111.0467287,32.3249968
4,fast_food,-111.0465517,32.3249833
5,parking,-111.0988472,32.4389236
6,marketplace,-111.0807524,32.4434253
7,fire_station,-111.0808403,32.4430017
8,restaurant,-111.0705112,32.4485768
9,fast_food,-111.043989,32.4251243
10,fast_food,-111.0430058,32.4245653
11,fuel,-111.0443544,32.4246564
12,pharmacy,-111.044583,32.4259858
13,fast_food,-111.046105,32.4257288
14,marketplace,-111.045989,32.4260496
15,cafe,-111.04537,32.4260414
16,bank,-111.047235,32.4246174
17,fuel,-111.0486337,32.4244881
18,restaurant,-111.0423266,32.4255477
19,restaurant,-111.2197045,32.4030655
20,fuel,-111.0797051,32.425638
21,restaurant,-111.0790654,32.4273501
22,fast_food,-111.2167512,32.4593196
23,place_of_worship,-111.2163516,32.453674
24,place_of_worship,-111.2167111,32.4527234
25,clinic,-111.2129613,32.4493872
26,fire_station,-111.212998,32.4513382
27,school,-111.2165877,32.4543394
28,marketplace,-111.2164053,32.454955
29,townhall,-111.2109658,32.4477575
30,fast_food,-111.13615,32.3729429
31,car_wash,-111.079607,32.4252555
32,restaurant,-111.1362223,32.372918
33,restaurant,-111.1172319,32.3615814
34,vending_machine,-111.136777,32.3726268
35,place_of_worship,-111.1319203,32.3669563
36,cafe,-111.136675,32.3725956
37,bank,-111.136916,32.3725783
38,pharmacy,-111.136509,32.3723194
39,fire_station,-111.1137809,32.3555828
40,veterinary,-111.1256517,32.3742702
41,marketplace,-111.1264052,32.3743673
42,marketplace,-111.1261088,32.374322
43,fast_food,-111.1262,32.3743458
44,restaurant,-111.1270208,32.3736877
45,place_of_worship,-111.0775366,32.3601098
46,place_of_worship,-111.0710725,32.3637167
47,post_box,-111.088463,32.3539289
48,fast_food,-111.0907921,32.3542007
49,fast_food,-111.0917334,32.3548696
50,fast_food,-111.0915753,32.3537453
51,restaurant,-111.0951855,32.3569242
52,restaurant,-111.095209,32.3561788
53,fast_food,-111.0925999,32.3573751
54,restaurant,-111.0951587,32.3566886
55,fuel,-111.0918789,32.3578548
56,restaurant,-111.0919295,32.3563305
57,fuel,-111.100893,32.3495761
58,fuel,-111.099436,32.349021
59,fast_food,-111.099533,32.3470564
60,fuel,-111.099576,32.3488374
61,pharmacy,-111.100308,32.3505051
62,cafe,-111.0432798,32.3243355
63,restaurant,-111.1187704,32.3620623
64,place_of_worship,-111.1221846,32.3630326
65,toilets,-111.0943654,32.3461488
66,fast_food,-111.0926939,32.3573098
67,restaurant,-111.0941521,32.3608741
68,post_box,-111.0779626,32.3804926
69,post_box,-111.0779785,32.3804948
70,drinking_water,-111.0781382,32.3800215
71,shelter,-111.0781674,32.3800368
72,post_box,-111.0788821,32.379541
73,post_box,-111.0788868,32.379529
74,fast_food,-111.09163,32.3549829
75,fast_food,-111.0892949,32.3556584
76,bank,-111.0896586,32.3559737
77,post_office,-111.098652,32.3499073
78,fast_food,-111.0991022,32.3496843
79,restaurant,-111.0992435,32.3497587
80,restaurant,-111.099401,32.3498411
81,clinic,-111.0989047,32.3496453
82,prep_school,-111.099476,32.3498789
83,ice_cream,-111.0909628,32.3545204
84,pharmacy,-111.0488648,32.3360004
85,cafe,-111.0483633,32.3360178
86,restaurant,-111.0541402,32.3386893
87,restaurant,-111.0567196,32.3380909
88,fast_food,-111.0557583,32.3371941
89,fast_food,-111.0441773,32.3371695
