,amenity,longitude,latitude
0,place_of_worship,-80.2111583,26.2495261
1,place_of_worship,-80.2185366,26.251844
2,place_of_worship,-80.2139362,26.2361932
3,place_of_worship,-80.2025469,26.2545259
4,place_of_worship,-80.2140039,26.2418912
5,place_of_worship,-80.212684,26.2505079
6,place_of_worship,-80.1983801,26.2461928
7,school,-80.2181647,26.2518665
8,school,-80.2072694,26.2220271
9,school,-80.2069915,26.2348043
10,school,-80.2069915,26.241193
11,school,-80.2144917,26.2470262
12,school,-80.1997222,26.2636111
13,nursing_home,-80.2047268,26.2636867
14,fire_station,-80.2058499,26.2412874
15,fire_station,-80.1972381,26.2575574
16,library,-80.2069444,26.2416667
17,police,-80.2048701,26.2420291
18,parking,-80.229682,26.2400793
19,parking,-80.2273617,26.2451144
20,parking,-80.2236208,26.2646583
21,shelter,-80.2208687,26.2305344
22,fast_food,-80.192141,26.2333144
23,fast_food,-80.194753,26.2342236
24,fountain,-80.1957885,26.2259203
25,fountain,-80.1958088,26.2278621
26,fountain,-80.1958183,26.2299139
27,fountain,-80.195806,26.2272521
28,fountain,-80.2056615,26.2309066
29,fountain,-80.2061067,26.2334554
30,fountain,-80.2053935,26.2619411
31,nightclub,-80.200989,26.2711243
32,fast_food,-80.1999684,26.2734428
33,bank,-80.1995071,26.2734453
34,restaurant,-80.197914,26.2732878
35,restaurant,-80.2318766,26.2717159
36,restaurant,-80.2322816,26.271853
37,fuel,-80.2309589,26.2718184
38,fast_food,-80.2020559,26.2369048
39,restaurant,-80.1979834,26.2718988
40,fountain,-80.2036812,26.2552927
41,fountain,-80.1999473,26.2616743
42,dentist,-80.1998718,26.234909
43,parking_entrance,-80.1950459,26.2725773
44,pharmacy,-80.2056347,26.2275822
45,bicycle_parking,-80.2012903,26.2553243
46,bicycle_parking,-80.201231,26.2449144
47,bicycle_parking,-80.2061787,26.2695489
48,bicycle_parking,-80.2014573,26.2622718
49,bicycle_parking,-80.2018254,26.2609951
50,bicycle_parking,-80.2013366,26.2590576
51,dentist,-80.2021627,26.2478622
52,bicycle_parking,-80.2118427,26.2356751
53,social_facility,-80.2065477,26.243131
54,fountain,-80.222288,26.2643667
55,bench,-80.2213676,26.231396
56,bench,-80.2119929,26.2534508
57,restaurant,-80.200838,26.2479958
58,veterinary,-80.2231276,26.234031
