,amenity,longitude,latitude
0,parking,-90.0039019,35.041486
1,school,-89.9456446,35.1000906
2,school,-90.037869,35.096202
3,school,-89.9350891,35.0584247
4,school,-89.9770333,35.2170327
5,place_of_worship,-90.0929112,35.0336958
6,school,-90.0364794,35.2184217
7,place_of_worship,-90.0842592,35.0270371
8,place_of_worship,-89.8375858,35.1659226
9,place_of_worship,-89.8668185,35.0343309
10,place_of_worship,-90.0739812,35.0206483
11,place_of_worship,-90.0548141,35.0387033
12,school,-89.9017543,35.1395342
13,place_of_worship,-89.9992566,35.1639782
14,place_of_worship,-89.9756443,35.2414767
15,school,-90.023625,35.1061383
16,nursing_home,-89.8929938,35.1176822
17,grave_yard,-89.9726556,34.9952062
18,school,-90.0964815,35.051759
19,school,-90.021757,35.1787002
20,school,-90.0156464,35.0839798
21,place_of_worship,-90.1173153,35.0212042
22,parking,-89.9735582,35.2457155
23,school,-90.0056454,35.199533
24,place_of_worship,-89.8509559,35.050144
25,grave_yard,-89.8334188,35.1914777
26,place_of_worship,-89.8836989,35.0625914
27,school,-90.0510307,35.0121054
28,school,-90.0121484,35.213962
29,school,-89.9959226,35.232588
30,place_of_worship,-89.8836987,35.0912019
31,school,-90.0242572,35.1609228
32,school,-89.9367549,35.1806446
33,school,-89.9136993,35.1014795
34,school,-89.9139771,35.1031461
35,school,-90.0342574,35.1617562
36,school,-89.8553646,35.0928686
37,place_of_worship,-90.1214821,35.0206488
38,school,-90.0409242,35.1617563
39,place_of_worship,-90.0550919,35.03537
40,grave_yard,-90.1223154,35.0425927
41,place_of_worship,-90.0087014,35.1373121
42,place_of_worship,-90.1079536,35.0060319
43,place_of_worship,-90.0309244,35.094813
44,school,-90.0589806,35.0917578
45,school,-89.9667889,35.1055272
46,school,-89.9289769,35.1778668
47,school,-89.8867541,35.1206458
48,school,-89.8978654,35.1323122
49,school,-89.9550891,35.1128681
50,place_of_worship,-89.7728622,35.1420342
51,place_of_worship,-89.7481389,35.1964776
52,grave_yard,-89.9789794,35.0045368
53,place_of_worship,-89.819949,35.2028923
54,school,-89.9591677,35.0461872
55,school,-90.0214789,35.2248104
56,place_of_worship,-89.8970325,35.0625914
57,school,-90.0273132,35.0939797
58,place_of_worship,-90.0112009,35.2211994
59,place_of_worship,-89.8406426,35.0345364
60,school,-90.0245354,35.0837021
61,grave_yard,-89.9189765,35.2025886
62,place_of_worship,-90.0720365,35.0564809
63,school,-89.900921,35.1320344
64,school,-90.0200904,35.1667561
65,school,-90.0567586,35.0434254
66,school,-90.0473133,35.1514787
67,school,-89.9320327,35.1475896
68,place_of_worship,-90.0062925,35.1208834
69,grave_yard,-89.6439691,35.2086991
70,place_of_worship,-89.9898115,35.2067552
71,place_of_worship,-89.9375879,35.2259214
72,place_of_worship,-90.0795368,35.0278704
73,place_of_worship,-89.9445034,35.0331154
74,place_of_worship,-90.0803701,35.0656474
75,school,-89.9046495,35.0828804
76,place_of_worship,-90.0359238,35.2086997
77,school,-90.0261393,35.016054
78,place_of_worship,-90.1209264,35.0500925
79,place_of_worship,-89.9025883,35.0509249
80,place_of_worship,-89.9723442,35.0800296
81,place_of_worship,-89.9920337,35.2189771
82,place_of_worship,-90.0603697,35.0509253
83,place_of_worship,-90.0603699,35.0212037
84,place_of_worship,-89.8992933,35.2298852
85,place_of_worship,-90.01148,35.021481
86,place_of_worship,-89.9195334,35.0137034
87,place_of_worship,-90.0178686,35.0970351
88,place_of_worship,-89.9172861,35.093667
89,school,-89.8648149,35.1320385
90,place_of_worship,-90.0245356,35.0431474
91,place_of_worship,-89.8970746,35.0476235
92,school,-90.0212012,35.2095329
93,place_of_worship,-89.9698119,35.0903685
94,place_of_worship,-90.0228679,35.2231439
95,place_of_worship,-90.01259,35.1981443
96,place_of_worship,-90.0295347,35.2178662
97,place_of_worship,-90.0039784,35.2281437
98,place_of_worship,-89.9317554,35.0912019
99,school,-89.9362002,35.0523137
100,place_of_worship,-90.0462024,35.1178683
101,place_of_worship,-90.0070352,35.0528693
102,place_of_worship,-90.0067578,35.0100923
103,place_of_worship,-90.0081464,35.055647
104,place_of_worship,-90.0256469,35.0306477
105,school,-89.9439775,35.1517563
106,place_of_worship,-90.0968064,35.0136217
107,school,-89.9628669,35.1414786
108,place_of_worship,-89.9819023,35.1344569
109,school,-90.0023122,35.1612005
110,place_of_worship,-89.9892575,35.0050923
111,school,-90.0409246,35.0939798
112,place_of_worship,-89.9356439,35.1620338
113,place_of_worship,-90.1009262,35.0123153
114,place_of_worship,-89.902587,35.2281436
115,place_of_worship,-89.7406387,35.1989775
116,place_of_worship,-90.090425,35.0666016
117,place_of_worship,-89.8501836,35.1572289
118,place_of_worship,-89.7695288,35.1273124
119,place_of_worship,-89.991062,35.2429673
120,place_of_worship,-90.0628697,35.0600918
121,place_of_worship,-90.0406472,35.0428698
122,place_of_worship,-89.9548119,35.0367585
123,place_of_worship,-90.0245359,35.0014815
124,place_of_worship,-89.9503669,35.1087015
125,place_of_worship,-89.9128651,35.2181438
126,place_of_worship,-89.9042537,35.226477
127,place_of_worship,-89.9717555,35.2206438
128,place_of_worship,-89.9239764,35.2286991
129,place_of_worship,-90.0948149,35.0200929
130,school,-89.9453667,35.1137014
131,school,-89.9020321,35.13259
132,place_of_worship,-89.9206434,35.1753669
133,place_of_worship,-89.9098106,35.0617581
134,place_of_worship,-89.9534223,35.1228679
135,place_of_worship,-90.0209239,35.1328678
136,school,-89.9717564,35.0978684
137,place_of_worship,-89.9750891,35.1856445
138,school,-89.9070322,35.13009
139,place_of_worship,-89.9484224,35.0945351
140,place_of_worship,-90.0092563,35.2317547
141,place_of_worship,-90.0231464,35.1162015
142,school,-90.0160295,35.0201067
143,school,-89.8881432,35.0953685
