,amenity,longitude,latitude
0,place_of_worship,-111.4668471,40.508391
1,school,-111.4696318,40.5080107
2,restaurant,-111.4886254,40.525394
3,restaurant,-111.48909,40.5251676
4,restaurant,-111.4843254,40.5231498
5,restaurant,-111.4746802,40.5119794
6,restaurant,-111.4641244,40.511621
7,toilets,-111.4540418,40.5117875
8,atm,-111.4741597,40.5125573
9,bench,-111.4735828,40.5135269
10,bench,-111.4729859,40.5133317
11,bank,-111.4741292,40.5124077
12,dentist,-111.4674632,40.5118833
13,pub,-111.4890821,40.5253806
