,amenity,longitude,latitude
0,school,-87.9678647,43.0844563
1,school,-87.9438916,42.9799787
2,school,-87.9611984,43.1308436
3,school,-87.9406416,43.070568
4,school,-87.9609202,43.1036224
5,school,-87.9253636,43.0861231
6,school,-87.92953,43.062235
7,school,-87.9489753,43.0875118
8,school,-87.9792537,43.0714011
9,school,-87.9873093,43.0569571
10,place_of_worship,-87.9759199,43.0411244
11,school,-87.8864554,43.0631638
12,school,-88.007668,43.1367345
13,school,-87.9348086,43.115011
14,school,-87.9436969,43.0497353
15,school,-87.9966081,43.0747609
16,school,-87.9453103,43.0622313
17,school,-87.9545298,42.992237
18,school,-87.9441746,43.0947856
19,school,-87.919807,43.0183475
20,school,-87.9137154,43.0662835
21,school,-88.013422,43.1441763
22,school,-87.9267512,42.9883483
23,school,-87.9495295,42.9864039
24,school,-87.9548084,43.0566795
25,school,-87.9634188,42.9852927
26,school,-87.9249227,43.0728644
27,school,-88.0098107,43.1394542
28,school,-88.0097858,43.1381454
29,school,-87.9233774,43.0183273
30,school,-87.9978653,43.0741788
31,school,-87.8954059,42.9962538
32,school,-87.9248067,42.9922372
33,school,-87.9164736,43.0194586
34,grave_yard,-87.9669444,43.1405556
35,school,-87.9439137,43.0400576
36,clinic,-87.9580242,43.077395
37,doctors,-87.9318575,43.0371275
38,post_office,-87.9288459,43.0671647
39,post_office,-87.9825871,43.0677901
40,post_office,-87.9275236,43.0473331
41,post_office,-87.8887065,42.9873532
42,post_office,-87.9136196,43.0669425
43,post_office,-87.9930556,43.1027778
44,post_office,-87.9522222,43.1261111
45,post_office,-87.9955985,43.1769875
46,parking_entrance,-87.9039497,42.9497062
47,fire_station,-87.9513954,43.071768
48,fire_station,-87.9625871,43.1111221
49,fire_station,-87.9515833,42.9990901
50,police,-87.9474948,42.9904027
51,nursing_home,-87.9408282,43.0076288
52,nursing_home,-87.9567528,43.0408466
53,restaurant,-87.9871212,43.0498274
54,restaurant,-87.9872951,43.0501592
55,police,-87.9214061,43.0426946
56,cafe,-87.9044252,43.003382
57,ice_cream,-87.9044714,43.0034217
58,parking,-87.9692753,43.1288984
59,clock,-87.9042146,43.0390294
60,clock,-87.9054638,43.0389653
61,community_centre,-87.9046033,43.0314926
62,theatre,-87.9294205,43.0391001
63,parking_entrance,-87.9330683,43.039888
64,parking_entrance,-87.9059366,42.9486974
65,parking_entrance,-87.9055515,42.9493677
66,parking_entrance,-87.9045456,42.9472581
67,parking_entrance,-87.9035351,42.9470996
68,parking_entrance,-87.904133,42.9471934
69,parking_entrance,-87.9037259,42.9471295
70,parking_entrance,-87.9031072,42.948942
71,car_rental,-87.9031149,42.9477886
72,check_in,-87.9019378,42.9483799
73,check_in,-87.901968,42.9482622
74,check_in,-87.9019992,42.9481403
75,check_in,-87.9020314,42.9480143
76,check_in,-87.9020669,42.9478756
77,check_in,-87.9020994,42.9477488
78,check_in,-87.9021407,42.9475873
79,check_in,-87.9021952,42.9473747
80,parking_entrance,-87.9064592,42.946342
81,parking_entrance,-87.9065808,42.9458139
82,parking_entrance,-87.9067523,42.9452706
83,parking_entrance,-87.9069122,42.9447572
84,toilets,-87.9027497,42.9474816
85,toilets,-87.9025673,42.9481295
86,toilets,-87.9019558,42.9472381
87,toilets,-87.9016554,42.9485025
88,toilets,-87.9027175,42.9470654
89,toilets,-87.9022562,42.9485575
90,toilets,-87.9012048,42.9498454
91,toilets,-87.8997456,42.9476308
92,toilets,-87.9669442,43.028111
93,restaurant,-87.877841,43.0665045
94,fuel,-87.9191178,43.0066542
95,restaurant,-88.0382907,43.0310456
96,toilets,-88.0384302,43.0311319
97,toilets,-88.0378949,43.032197
98,restaurant,-88.0379605,43.0323047
99,toilets,-88.0378948,43.0326735
100,toilets,-88.0395096,43.0329872
101,toilets,-88.0431751,43.0318109
102,toilets,-88.0422253,43.0306491
103,toilets,-88.0408574,43.0310961
104,toilets,-88.0428422,43.0329293
105,toilets,-88.0406938,43.0329979
106,toilets,-88.040396,43.0299413
107,clock,-87.909081,43.0397642
108,restaurant,-87.9177398,43.0382043
109,cafe,-87.9180547,43.0387065
110,cafe,-87.9087023,43.0344089
111,cafe,-87.9053439,43.0484641
112,restaurant,-87.8996907,43.0389026
113,cinema,-87.9206204,43.0405054
114,parking_entrance,-87.9206149,43.041414
115,parking_entrance,-87.9206081,43.0418864
116,post_box,-87.9039842,43.0458333
117,post_box,-87.8921596,43.0530281
118,post_box,-87.8877756,43.0721047
119,restaurant,-87.8881377,43.070889
120,post_box,-87.8814334,43.0748593
121,restaurant,-87.8881586,43.0750865
122,fast_food,-87.8881908,43.0748004
123,fast_food,-87.9044816,43.048315
124,fast_food,-87.9042087,43.0482962
125,bar,-87.8982237,43.0552663
126,restaurant,-87.8982333,43.0545318
127,pharmacy,-87.8934752,43.0531424
128,cafe,-87.8986179,43.0531828
129,restaurant,-87.9016811,43.0528892
130,restaurant,-87.9113138,43.0468729
131,bank,-87.9094142,43.0381671
132,fast_food,-87.9113553,43.0386744
133,pub,-87.9115365,43.0389254
134,atm,-87.9091215,43.0369979
135,restaurant,-87.9113705,43.0391547
136,bank,-87.9081866,43.0403204
137,bank,-87.9078236,43.0413894
138,fast_food,-87.9095698,43.0402741
139,restaurant,-87.909649,43.0405028
140,bank,-87.9105416,43.0438268
141,fast_food,-87.9333514,43.0401583
142,pharmacy,-87.9331626,43.0388934
143,police,-87.939542,43.0403949
144,place_of_worship,-87.879499,43.069613
