,amenity,longitude,latitude
0,bus_station,-93.3082001,45.0038886
1,car_rental,-93.2709855,44.9721866
2,car_rental,-93.2693633,44.9732978
3,post_box,-93.2768016,44.9860061
4,post_box,-93.2775655,44.9865525
5,post_box,-93.2757802,44.9867224
6,cafe,-93.2762636,44.9857583
7,post_box,-93.2815768,44.989437
8,post_box,-93.2692515,44.9781027
9,post_office,-93.2752263,44.9801199
10,parking_entrance,-93.2461554,44.970966
11,parking_entrance,-93.2459818,44.970966
12,parking_entrance,-93.2339418,44.9763518
13,parking_entrance,-93.2304744,44.9740368
14,parking_entrance,-93.2310466,44.9745829
15,parking_entrance,-93.2311669,44.9745823
16,parking_entrance,-93.2317415,44.974086
17,loading_dock,-93.2291093,44.974417
18,cafe,-93.2375532,44.9801419
19,courthouse,-93.2665308,44.9760028
20,events_venue,-93.273552,44.9686182
21,events_venue,-93.2725048,44.9686122
22,events_venue,-93.2725134,44.9684786
23,events_venue,-93.2756377,44.9686182
24,events_venue,-93.2745819,44.9686182
25,fuel,-93.2285667,44.988034
26,fuel,-93.2339648,44.9426724
27,arts_centre,-93.3108965,44.9916731
28,fast_food,-93.2108845,44.91608
29,restaurant,-93.220995,44.9734722
30,restaurant,-93.2364779,44.9800108
31,fast_food,-93.2278895,45.0037043
32,post_box,-93.2366033,44.9809047
33,fast_food,-93.2269099,44.9734817
34,fast_food,-93.2361825,44.980791
35,parking_entrance,-93.2469451,44.9738497
36,parking_entrance,-93.2470396,44.9738492
37,pub,-93.228451,44.9735342
38,restaurant,-93.3152638,44.9496328
39,restaurant,-93.2060589,44.9486814
40,cafe,-93.2167458,44.9485384
41,place_of_worship,-93.2720644,44.921222
42,pub,-93.222756,44.9198037
43,bar,-93.2759799,44.9785506
44,bar,-93.2758168,44.9784413
45,theatre,-93.2759288,44.9768155
46,fast_food,-93.2980632,44.9491224
47,cinema,-93.296668,44.9494325
48,cinema,-93.2984984,44.9490481
49,restaurant,-93.3204983,44.9493525
50,restaurant,-93.297233,44.947542
51,restaurant,-93.2973017,44.9471471
52,restaurant,-93.2987951,44.9467583
53,restaurant,-93.2862364,44.9712654
54,restaurant,-93.3199569,44.9487305
55,restaurant,-93.2901359,44.9485005
56,restaurant,-93.2872745,44.9485728
57,restaurant,-93.2717152,44.978136
58,pub,-93.2761026,44.9726619
59,theatre,-93.2753451,44.9779327
60,restaurant,-93.2743152,44.9780177
61,pub,-93.2764953,44.9786613
62,cafe,-93.2526453,44.9398848
63,pharmacy,-93.32135,44.9491461
64,school,-93.270666,44.9200859
65,restaurant,-93.2766383,44.973252
66,restaurant,-93.2275298,44.9268873
67,cafe,-93.314676,44.923833
68,cafe,-93.3153451,44.9247785
69,cafe,-93.2921454,44.9625738
70,restaurant,-93.2883241,44.9592619
71,cafe,-93.287828,44.959018
72,cafe,-93.2966434,44.9554113
73,place_of_worship,-93.2938013,45.0301796
74,parking_entrance,-93.2750159,44.9832641
75,place_of_worship,-93.2656211,44.9463953
76,place_of_worship,-93.2624039,44.9467522
77,fast_food,-93.2269256,44.9741748
78,restaurant,-93.2910049,44.9248874
79,restaurant,-93.2785396,44.9188481
80,restaurant,-93.2776907,44.9252019
81,restaurant,-93.2842042,44.9194432
82,restaurant,-93.2842366,44.919775
83,restaurant,-93.3138393,44.9246949
84,post_box,-93.2758766,44.9851338
85,restaurant,-93.2480631,44.9839462
86,post_box,-93.2775446,44.9839725
87,parking,-93.2115141,45.005332
88,give_box,-93.2631285,44.9342242
89,restaurant,-93.2633464,45.0112784
90,restaurant,-93.2575094,44.9624939
91,post_box,-93.252403,44.9469769
92,atm,-93.2630007,44.9174515
93,bank,-93.2995026,44.9485199
94,restaurant,-93.259661,44.9779222
95,pub,-93.2548857,44.9886957
96,restaurant,-93.2263179,44.9737665
97,fast_food,-93.2247891,44.9737855
98,restaurant,-93.2461656,44.9695864
