,amenity,longitude,latitude
0,school,-121.0249341,37.6193752
1,school,-120.9563218,37.6446527
2,school,-121.0216003,37.5952092
3,school,-120.9407659,37.6521526
4,school,-120.9713219,37.6285419
5,school,-120.9674332,37.6443749
6,school,-120.9910449,37.6440971
7,school,-120.9765623,37.6532004
8,school,-120.9699329,37.6268753
9,school,-120.9835453,37.6827074
10,school,-121.0038235,37.6752075
11,school,-121.0177386,37.6768238
12,school,-121.0118794,37.6854851
13,school,-121.028295,37.6773524
14,school,-121.0132675,37.6399304
15,place_of_worship,-121.0276586,37.6376168
16,school,-120.9804896,37.6785408
17,school,-120.975211,37.6810407
18,school,-120.9774334,37.6407638
19,school,-121.004657,37.6849295
20,school,-120.9189818,37.648139
21,school,-121.04589,37.6555848
22,school,-121.0252131,37.6860405
23,school,-120.9896105,37.6683769
24,school,-120.9293766,37.6427084
25,place_of_worship,-120.9918781,37.6390972
26,place_of_worship,-120.9924337,37.6410416
27,school,-120.9418769,37.6435417
28,school,-120.9315993,37.662708
29,place_of_worship,-120.9877115,37.6440971
30,place_of_worship,-121.0007671,37.6324306
31,place_of_worship,-120.988267,37.6449304
32,place_of_worship;hospital,-120.9902115,37.6446526
33,place_of_worship,-120.9988229,37.6449304
34,place_of_worship,-120.9941005,37.6410416
35,place_of_worship,-120.9924338,37.6435415
36,place_of_worship,-120.9910448,37.6421526
37,place_of_worship,-121.0024341,37.6449303
38,place_of_worship,-121.0052117,37.6327084
39,place_of_worship,-121.006045,37.6310417
40,place_of_worship,-120.9952116,37.6427082
41,school,-120.9409826,37.6575126
42,place_of_worship,-120.9968781,37.6313196
43,veterinary,-121.0064216,37.6443762
44,place_of_worship,-120.9960447,37.6293751
45,place_of_worship,-121.004934,37.6385416
46,place_of_worship,-120.9952117,37.6460414
47,place_of_worship,-120.9877115,37.6452082
48,place_of_worship,-121.0035451,37.6377083
49,hospital,-120.982332,37.6461586
50,place_of_worship,-120.9910448,37.642986
51,school,-121.0002126,37.6893738
52,school,-120.978545,37.6682632
53,school,-120.9718782,37.6735409
54,school,-121.0227118,37.6138199
55,school,-120.9596553,37.6543747
56,courthouse,-120.9973358,37.639791
57,fire_station,-121.002712,37.652708
58,library,-121.0099423,37.6517688
59,prep_school,-120.985643,37.6894257
60,parking,-121.048772,37.680278
61,restaurant,-120.9943276,37.6602311
62,restaurant,-120.9946816,37.6896072
63,restaurant,-120.9930449,37.6619723
64,bank,-120.99438,37.68755
65,fast_food,-120.9937669,37.6747573
66,cafe,-121.0324034,37.6712323
67,dentist,-121.0316259,37.6693821
68,restaurant,-121.0322622,37.6692699
69,fuel,-121.0125949,37.6745358
70,bank,-121.050409,37.6899474
71,fast_food,-121.049409,37.6871337
72,sub_station,-121.0514992,37.6849326
73,fuel,-121.0183311,37.6464261
74,fast_food,-120.95945,37.6894281
75,fast_food,-120.958404,37.6899246
76,fuel,-120.9584599,37.6894181
77,fast_food,-120.95717,37.6773414
78,restaurant,-121.0680669,37.7004738
79,bank,-121.0495597,37.7007284
80,fast_food,-121.0493773,37.6999517
81,pharmacy,-121.050707,37.7008494
82,dojo,-121.014036,37.6904732
83,fast_food,-121.01292,37.6890596
84,fire_station,-121.0230916,37.7000705
85,pharmacy,-120.95948,37.6788325
86,fast_food,-120.958241,37.6777456
87,fast_food,-120.9572541,37.6778645
88,fast_food,-120.956766,37.677355
89,fuel,-120.958306,37.6772369
90,fast_food,-120.957056,37.6674975
91,pharmacy,-120.9389819,37.6786379
92,fast_food,-120.957868,37.6534439
93,fast_food,-120.957856,37.6532538
94,fast_food,-120.957856,37.6533525
95,fast_food,-120.9582402,37.6775909
96,fountain,-120.9244813,37.6840805
97,fire_station,-120.9535842,37.628062
98,fast_food,-121.0135893,37.6888758
99,bank,-121.0128158,37.6895433
100,restaurant,-121.0159683,37.689051
101,restaurant,-121.014498,37.6890124
102,restaurant,-121.0140526,37.689682
103,dentist,-121.0140169,37.6902398
104,restaurant,-121.0140342,37.6901039
105,fuel,-120.9932434,37.605597
106,fast_food,-120.992545,37.6404748
107,fuel,-120.9940541,37.5972026
108,fast_food,-120.994073,37.5963749
109,bank,-120.9965924,37.6409427
110,bank,-120.9943901,37.6786421
111,pub,-120.9982335,37.6404643
112,bank,-120.9945388,37.6777812
113,fast_food,-121.049296,37.6865851
114,cafe,-121.049444,37.6874702
115,bank,-121.049839,37.6846344
116,fast_food,-121.0669772,37.6998616
117,fast_food,-121.0669748,37.6997891
118,fast_food,-121.067762,37.6986289
119,post_office,-121.067622,37.6985445
120,veterinary,-121.067281,37.6983991
121,dojo,-121.0671808,37.6984832
122,fast_food,-121.0670414,37.6985954
123,restaurant,-121.0663022,37.6991935
124,restaurant,-121.0662706,37.6993284
125,dentist,-121.0664778,37.6994796
126,restaurant,-121.0663307,37.6993735
127,restaurant,-121.0660688,37.6997045
128,ice_cream,-120.9582142,37.6683841
129,restaurant,-120.958066,37.6684584
130,post_box,-120.955968,37.6886983
131,restaurant,-120.955785,37.6647945
132,restaurant,-121.003572,37.6611058
133,fuel,-120.9219919,37.688776
134,cafe,-121.000902,37.6408229
135,restaurant,-121.0007686,37.6410985
136,cinema,-121.0011528,37.6409508
137,fast_food,-121.0013268,37.6411511
138,place_of_worship,-121.0053228,37.6824395
139,restaurant,-120.9987335,37.6408837
140,school,-120.9462127,37.6821713
141,school,-120.9671951,37.6903179
142,bus_station,-121.001951,37.6395816
143,library,-120.965978,37.6582889
144,atm,-120.9626361,37.6722966
145,loading_dock,-120.9912542,37.6943944
146,loading_dock,-121.0377405,37.6737251
147,fast_food,-121.0519705,37.7065069
148,bench,-121.0126715,37.689083
149,bench,-121.0097316,37.689438
150,fast_food,-120.958126,37.6784253
151,school,-121.0030945,37.6184097
152,school,-121.0042584,37.6180423
153,restaurant,-120.9870747,37.6058696
154,social_centre,-120.9747838,37.690593
155,charging_station,-121.064469,37.6944573
156,post_box,-120.9588863,37.6976333
157,fast_food,-120.9247369,37.6386287
158,charging_station,-121.0642144,37.6946585
159,bench,-120.9519326,37.6626031
160,bench,-120.9519514,37.6626275
161,fuel,-120.9944435,37.6748965
162,fuel,-121.0300381,37.6672354
163,fuel,-121.0331111,37.6679218
164,fuel,-121.032342,37.6679437
165,fast_food,-121.0314719,37.669943
166,fast_food,-121.0316772,37.6701609
167,fast_food,-121.0357538,37.6719929
168,fast_food,-121.0351628,37.6719683
169,fast_food,-121.0302476,37.6680675
170,fuel,-121.0316257,37.6583322
171,car_wash,-121.0318556,37.6579869
172,fast_food,-121.0314898,37.6575333
173,fast_food,-121.031505,37.6590186
174,fuel,-121.0308004,37.660283
175,pharmacy,-120.9928752,37.6699751
176,payment_terminal,-121.0370528,37.6730076
177,vending_machine,-121.0369317,37.6730173
178,car_wash,-120.9943485,37.5974406
179,payment_terminal,-120.9922544,37.6945203
180,vending_machine,-120.9922525,37.6944702
181,restaurant,-120.9774714,37.6639009
182,restaurant,-120.9775218,37.6639206
183,restaurant,-120.976221,37.6659928
184,restaurant,-120.9744488,37.6772849
185,bus_station,-121.0031556,37.6370419
186,place_of_worship,-121.023151,37.6839363
187,place_of_worship,-121.0218728,37.6862598
188,hospital,-120.9222319,37.665824
189,hospital,-120.9757853,37.6970277
190,bar,-120.9538639,37.6639113
191,restaurant,-120.9542702,37.6639248
192,restaurant,-120.954524,37.6638918
193,fast_food,-120.9582786,37.6683467
194,fast_food,-120.9568766,37.6692795
195,fast_food,-120.9567804,37.6691889
196,restaurant,-120.9570262,37.6646844
197,cafe,-120.957053,37.6648809
198,fast_food,-120.9567475,37.6646815
199,restaurant,-120.9555316,37.6647281
200,restaurant,-120.9534232,37.6639987
201,parking,-120.9583183,37.6540073
202,ice_cream,-120.9546341,37.6639009
203,atm,-120.9550789,37.6639554
204,post_office,-120.955009,37.6638975
205,restaurant,-120.957034,37.6647787
206,ice_cream,-121.0151291,37.6896806
207,dancing_school,-121.0144752,37.6903165
208,restaurant,-120.9581263,37.6745323
209,restaurant,-120.9581347,37.6750999
210,restaurant,-120.958323,37.6754062
211,fast_food,-120.9581762,37.6788358
212,restaurant,-120.9582061,37.6789423
213,fast_food,-120.9592603,37.6791592
214,post_office,-120.9592511,37.6792722
215,bank,-120.9581716,37.6798662
216,vending_machine,-120.9594425,37.6858276
217,restaurant,-120.9596618,37.6875516
218,restaurant,-120.9596775,37.687676
219,restaurant,-120.959669,37.6878953
220,restaurant,-120.9597249,37.688097
221,restaurant,-120.9597354,37.6883372
222,bar,-120.9575714,37.6883734
