,amenity,longitude,latitude
0,restaurant,-74.9585336,39.9449615
1,grave_yard,-74.9737798,39.9581682
2,place_of_worship,-74.9445165,39.9686041
3,school,-74.9284396,40.0003923
4,school,-74.9509106,39.9524623
5,school,-74.9479819,39.9590737
6,fire_station,-74.952962,39.9615141
7,fire_station,-74.9807765,39.9606655
8,fire_station,-74.9436862,39.9674912
9,fire_station,-74.9528875,39.9615387
10,public_building,-74.9889653,39.9692621
11,townhall,-74.9498985,39.9643978
12,library,-74.9502447,39.9647455
13,cinema,-74.9630098,39.9428131
14,restaurant,-74.9622717,39.942998
15,restaurant,-74.9651082,39.9433638
16,ice_cream,-74.9483651,39.9635455
17,bench,-74.9175295,39.9714414
18,bench,-74.9175141,39.971427
19,bench,-74.9174182,39.9714373
20,bench,-74.9174357,39.971426
21,bench,-74.9175249,39.9714948
22,bench,-74.9175034,39.9715092
23,bench,-74.9174303,39.9715066
24,bench,-74.9174122,39.9714928
25,dentist,-74.9482904,39.9634343
26,restaurant,-74.9497078,39.9627354
27,fast_food,-74.9496321,39.9627681
28,prep_school,-74.9487784,39.9631378
29,restaurant,-74.9460663,39.9642992
30,restaurant,-74.9455815,39.9644735
31,cafe,-74.9453059,39.9646887
32,arts_centre,-74.945138,39.9646817
33,restaurant,-74.944306,39.9650138
34,cafe,-74.9438708,39.9651785
35,restaurant,-74.9436649,39.9652634
36,fountain,-74.9304043,39.9996896
37,fountain,-74.9302847,39.9997939
38,fountain,-74.9388071,39.9987432
39,fast_food,-74.9637866,39.9435537
40,atm,-74.9641357,39.9431324
41,ice_cream,-74.9628963,39.9432541
42,doctors,-74.950395,39.9617674
43,fast_food,-74.98391,39.956449
44,fast_food,-74.959305,39.946262
45,fast_food,-74.9586054,39.9461121
46,fast_food,-74.957711,39.944193
47,fast_food,-74.9587333,39.946095
