,amenity,longitude,latitude
0,parking,-78.8438093,33.7321851
1,place_of_worship,-78.8636372,33.7218386
2,place_of_worship,-78.8698831,33.7290073
3,place_of_worship,-78.8894722,33.690727
4,school,-78.8364132,33.74545
5,place_of_worship,-78.8226127,33.753877
6,place_of_worship,-78.8888528,33.6886895
7,place_of_worship,-78.8275748,33.7389723
8,place_of_worship,-78.8775271,33.6968383
9,place_of_worship,-78.8820908,33.6944683
10,place_of_worship,-78.834386,33.746332
11,place_of_worship,-78.8614149,33.7107274
12,place_of_worship,-78.9136405,33.6682266
13,place_of_worship,-78.9078067,33.6901713
14,school,-78.8703575,33.7152458
15,school,-78.8681213,33.7143396
16,place_of_worship,-78.839326,33.742072
17,place_of_worship,-78.8205788,33.7448945
18,place_of_worship,-78.8311351,33.7362833
19,place_of_worship,-78.9097512,33.6901713
20,place_of_worship,-78.8579318,33.7148905
21,school,-78.8581142,33.714712
22,place_of_worship,-78.8283571,33.73795
23,place_of_worship,-78.8623747,33.7098572
24,school,-78.9417211,33.6589921
25,school,-78.8671577,33.7107437
26,school,-78.8312619,33.7360816
27,school,-78.8648129,33.7191482
28,place_of_worship,-78.90395,33.689495
29,fire_station,-78.8420957,33.7268652
30,fire_station,-78.9398572,33.6727491
31,fire_station,-78.8645667,33.7229563
32,police,-78.934969,33.6695658
33,townhall,-78.8817437,33.6954656
34,restaurant,-78.8815107,33.7173702
35,restaurant,-78.8818327,33.7169777
36,restaurant,-78.8917606,33.7158869
37,restaurant,-78.8833492,33.7179002
38,fast_food,-78.870775,33.7267381
39,fast_food,-78.8703973,33.7270522
40,pharmacy,-78.8699253,33.7274805
41,fountain,-78.9397261,33.6680752
42,fountain,-78.9393224,33.6683061
43,fountain,-78.9401767,33.6680037
44,parking,-78.8383175,33.7258505
45,toilets,-78.838119,33.7256096
46,parking,-78.9285303,33.6614336
47,parking,-78.9285384,33.6611278
48,fountain,-78.9413245,33.6658226
49,fuel,-78.9160775,33.6674746
50,school,-78.9410891,33.6594985
51,community_centre,-78.8743572,33.7064526
52,bank,-78.8700228,33.7092193
53,restaurant,-78.8189497,33.7473856
54,restaurant,-78.8183155,33.7478976
55,bank,-78.8169783,33.7489878
56,restaurant,-78.8178939,33.7643393
57,pharmacy,-78.8160029,33.7611573
58,restaurant,-78.8197151,33.7468492
59,restaurant,-78.8210026,33.7456983
60,restaurant,-78.8239744,33.743245
61,restaurant,-78.8233307,33.7425313
62,restaurant,-78.8266781,33.7410637
63,pharmacy,-78.8279601,33.7398251
64,restaurant,-78.828502,33.7394087
65,fast_food,-78.8320962,33.7353581
66,restaurant,-78.8317153,33.7356615
67,bar,-78.8440535,33.7262302
68,restaurant,-78.8456467,33.7250389
69,restaurant,-78.8485381,33.7224824
70,restaurant,-78.8497344,33.7214785
71,fuel,-78.926042,33.6593165
72,fuel,-78.9004096,33.7140027
73,bank,-78.8869568,33.7133529
74,restaurant,-78.8898406,33.7153016
75,car_wash,-78.8987101,33.7118488
76,restaurant,-78.8998994,33.7121521
77,restaurant,-78.9016494,33.7138887
78,restaurant,-78.8792919,33.6918699
79,cafe,-78.8793797,33.6919377
80,restaurant,-78.8794295,33.6919847
81,bar,-78.8794835,33.6920259
82,restaurant,-78.8792721,33.6924492
83,restaurant,-78.8790914,33.6926273
84,restaurant,-78.8788014,33.6928832
85,restaurant,-78.8785675,33.6931037
86,fast_food,-78.8779833,33.6938814
87,bar,-78.8780313,33.6938569
88,restaurant,-78.8789579,33.6930865
89,cinema,-78.8786098,33.6934341
90,restaurant,-78.8766877,33.6951651
91,restaurant,-78.8728717,33.6986732
92,restaurant,-78.8724915,33.6984847
93,restaurant,-78.8710463,33.7000365
94,restaurant,-78.8707942,33.7006357
95,cafe,-78.8706984,33.7007197
96,ice_cream,-78.8706214,33.7007955
97,fast_food,-78.8427101,33.7273488
98,fuel,-78.9041936,33.6899876
99,fountain,-78.9103052,33.685436
100,fountain,-78.9105631,33.6866771
101,fountain,-78.9101556,33.6862138
102,fountain,-78.9091457,33.686645
103,fuel,-78.8913956,33.6843654
104,restaurant,-78.8931522,33.6805848
105,fuel,-78.8918263,33.6849788
106,restaurant,-78.8932618,33.6839405
107,restaurant,-78.8933234,33.6831113
108,bar,-78.8937474,33.6827838
109,restaurant,-78.8940388,33.6825506
110,fast_food,-78.8945431,33.6820997
111,restaurant,-78.8954944,33.6814901
112,restaurant,-78.8962106,33.6821106
113,restaurant,-78.8965351,33.6818785
114,bingo,-78.8969107,33.6815392
115,restaurant,-78.8965331,33.6806576
116,restaurant,-78.8971983,33.680296
117,fast_food,-78.9005448,33.678517
118,restaurant,-78.9007594,33.6783618
119,fast_food,-78.901125,33.6781075
120,restaurant,-78.9020171,33.6773444
121,restaurant,-78.9041629,33.6773642
122,fast_food,-78.9024249,33.6765729
123,fast_food,-78.9026475,33.6764714
124,fuel,-78.9028205,33.6762549
125,restaurant,-78.9032671,33.6757817
126,fast_food,-78.9042139,33.6759803
127,fast_food,-78.9040845,33.675198
128,fuel,-78.9047024,33.6749432
129,restaurant,-78.9050702,33.6753475
130,fast_food,-78.9058485,33.6746859
131,restaurant,-78.9086332,33.6718443
132,restaurant,-78.9091236,33.6716899
133,fast_food,-78.909731,33.6710828
134,fountain,-78.8118164,33.7595846
135,fountain,-78.8121148,33.7587738
136,fountain,-78.8110378,33.7579389
137,fountain,-78.8085667,33.7570201
138,fountain,-78.814075,33.7697257
139,fuel,-78.9039727,33.7011745
140,fuel,-78.8814284,33.7113226
141,fuel,-78.8679544,33.7053569
142,parking,-78.8190494,33.7678553
143,fast_food,-78.8936427,33.6836928
144,restaurant,-78.9243516,33.7039831
145,restaurant,-78.8531831,33.7187138
146,restaurant,-78.8809404,33.7166883
147,restaurant,-78.8811005,33.7156047
148,cafe,-78.8828321,33.715765
149,restaurant,-78.8815699,33.7169183
150,charging_station,-78.8930302,33.6800014
151,charging_station,-78.9378357,33.6606779
152,bar,-78.8764936,33.7151312
153,fuel,-78.8318639,33.7364644
154,parking_entrance,-78.9032143,33.6716515
155,parking_entrance,-78.9030855,33.671763
156,restaurant,-78.9237012,33.7039188
157,cafe,-78.9233032,33.702598
158,fast_food,-78.9228726,33.7019061
159,fast_food,-78.9228446,33.7018433
160,fast_food,-78.9228117,33.7017745
161,fast_food,-78.9227837,33.7017077
162,fast_food,-78.9250517,33.701841
163,dentist,-78.8795553,33.6980996
164,fuel,-78.8852418,33.690856
165,nightclub,-78.8847101,33.693712
166,nightclub,-78.8846074,33.693712
167,nightclub,-78.8843085,33.693611
168,restaurant,-78.8837761,33.6936032
169,nightclub,-78.8840843,33.6944192
