,amenity,longitude,latitude
0,ferry_terminal,-71.5107778,41.3792672
1,place_of_worship,-71.4606161,41.4289863
2,school,-71.4606117,41.4289911
3,school,-71.4650564,41.4331577
4,kindergarten,-71.4598,41.4331
5,library,-71.4226897,41.4939368
6,fuel,-71.4363341,41.4817077
7,restaurant,-71.4337565,41.4732535
8,parking,-71.4371192,41.4879694
9,cafe,-71.4587623,41.4306637
10,restaurant,-71.4894009,41.3751013
11,school,-71.4573081,41.4153469
12,fire_station,-71.459909,41.431738
13,police,-71.4598437,41.431979
14,restaurant,-71.4856839,41.388581
15,fountain,-71.4560142,41.4307224
16,bench,-71.4560392,41.4308086
17,bench,-71.4560802,41.4307862
18,bench,-71.4560955,41.4307446
19,bench,-71.4560987,41.4306976
20,bench,-71.4560798,41.4306002
21,bench,-71.4560486,41.4305657
22,bench,-71.4559602,41.4305999
23,bench,-71.4559007,41.4306347
24,bench,-71.4558975,41.4306165
25,bench,-71.4559174,41.4306229
26,bench,-71.4559255,41.4307196
27,bench,-71.455939,41.430743
28,clock,-71.4571003,41.4308074
29,bench,-71.4572354,41.4307554
30,bench,-71.4572376,41.4307409
31,bench,-71.4572381,41.4307216
32,bench,-71.4569152,41.4308885
33,bench,-71.4854873,41.3621172
34,bench,-71.4853979,41.3621558
35,bench,-71.4853443,41.3621606
36,bench,-71.4852951,41.3621636
37,bench,-71.4852734,41.3621413
38,bench,-71.4851742,41.3621078
39,bench,-71.4851575,41.3620868
40,bench,-71.485176,41.3620634
41,grave_yard,-71.4245762,41.4955088
42,library,-71.4232089,41.4921275
43,toilets,-71.4931686,41.3809242
44,toilets,-71.4895321,41.3788621
45,toilets,-71.4939847,41.3799576
46,sanitary_dump_station,-71.4896148,41.3798753
47,parking,-71.4902542,41.3787517
