,amenity,longitude,latitude
0,school,-86.7713873,36.2000555
1,school,-86.682497,36.1770005
2,school,-86.6330517,36.2264432
3,school,-86.7147194,36.2578313
4,school,-86.845,36.1447797
5,school,-86.7480014,36.0604673
6,school,-86.9238517,36.2101006
7,school,-86.8124993,36.1631124
8,place_of_worship,-86.9305571,36.1353359
9,place_of_worship,-86.651941,36.0900592
10,place_of_worship,-86.7366643,36.2397764
11,grave_yard,-86.9005551,36.3794941
12,school,-86.8100005,36.175717
13,place_of_worship,-86.700831,36.0425606
14,place_of_worship,-86.8138879,36.2325546
15,place_of_worship,-86.6322183,36.1245024
16,place_of_worship,-86.7394427,36.1022807
17,school,-86.8358594,36.1185585
18,place_of_worship,-86.7793081,36.1982225
19,place_of_worship,-86.7224972,36.2836637
20,university,-86.8440125,36.1320979
21,school,-86.7569429,36.1228357
22,place_of_worship,-86.6258293,36.2233876
23,place_of_worship,-86.865,36.2081112
24,place_of_worship,-86.7286087,36.2156105
25,school,-86.8260238,36.1353287
26,place_of_worship,-87.0030587,36.0814488
27,place_of_worship,-86.5196948,36.0903606
28,grave_yard,-86.6538854,36.1428351
29,grave_yard,-86.659441,36.1445016
30,place_of_worship,-86.9552793,36.2336662
31,grave_yard,-86.7383314,36.1525569
32,school,-86.7641652,36.1486682
33,place_of_worship,-86.6338274,36.0018931
34,place_of_worship,-86.9416685,36.119503
35,place_of_worship,-86.931946,36.1272805
36,school,-86.7655542,36.1353353
37,school,-86.882849,36.1512563
38,school,-86.789293,36.1282419
39,school,-86.6386073,36.1625566
40,grave_yard,-86.7555528,36.3786604
41,grave_yard,-86.6069401,36.2122769
42,grave_yard,-86.5811064,36.193111
43,school,-86.8374996,36.1956115
44,place_of_worship,-86.7072192,36.2836636
45,place_of_worship,-86.743331,36.2536648
46,grave_yard,-86.8469436,36.2906084
47,place_of_worship,-86.7341647,36.1439461
48,school,-86.789149,36.1741538
49,school,-86.8037149,36.2377846
50,place_of_worship,-86.8358327,36.2239439
51,school,-86.7784731,36.1420386
52,school,-86.7921637,36.1819565
53,school,-86.815147,36.1644386
54,place_of_worship,-86.7267544,36.2952316
55,place_of_worship,-86.6220405,36.0110621
56,school,-86.7271044,36.1013711
57,school,-86.9225015,36.1147809
58,school,-86.7530841,36.0464662
59,school,-86.7797205,36.2422764
60,grave_yard,-86.7238867,36.1450572
61,place_of_worship,-86.614718,36.0600604
62,school,-86.9582622,36.0454209
63,place_of_worship,-86.6938862,36.1495014
64,grave_yard,-86.8641667,36.2064445
65,place_of_worship,-86.7060557,36.0170327
66,school,-86.768895,36.1540409
67,grave_yard,-86.7302747,36.3769937
68,place_of_worship,-86.99917,36.0292283
69,school,-86.7387322,36.1766043
70,place_of_worship,-86.5555404,36.1083652
71,school,-86.6794411,36.2553312
72,school,-86.8313669,36.1596025
73,place_of_worship,-86.7411088,36.2419985
74,place_of_worship,-86.5983287,36.0667269
75,school,-86.60444,36.0417278
76,school,-86.7333313,36.1436683
77,grave_yard,-86.6533299,36.1020031
78,school,-86.7902768,36.1378353
79,place_of_worship,-86.6695467,36.2298972
80,place_of_worship,-86.9619462,36.193112
81,place_of_worship,-86.8858335,36.2372769
82,place_of_worship,-86.8769443,36.2728313
83,school,-86.7377752,36.2914413
84,school,-86.8424582,36.1335609
85,place_of_worship,-86.7802761,36.2442209
86,school,-86.8005547,36.16589
87,place_of_worship,-86.5549946,36.095337
88,school,-86.8205552,36.1336689
89,school,-86.7480526,36.3817159
90,place_of_worship,-86.9611129,36.1925564
91,school,-86.7455537,36.1800561
92,place_of_worship,-86.8305549,36.2353324
93,place_of_worship,-86.8002768,36.1861672
94,school,-86.7399983,36.1111694
95,school,-86.8866677,36.0900593
96,school,-86.7211085,36.2450539
97,school,-86.8777776,36.2883862
98,school,-86.8230549,36.2097776
99,school,-86.8061103,36.1720009
100,place_of_worship,-87.0261151,36.011451
101,school,-86.6833301,36.2533868
102,place_of_worship,-86.6249182,36.2023164
103,school,-86.8305552,36.1672789
104,place_of_worship,-86.8105551,36.1203359
105,school,-86.7444428,36.1083916
106,place_of_worship,-86.770831,36.3267179
107,place_of_worship,-86.7161087,36.1781117
108,school,-86.855278,36.1428354
109,place_of_worship,-86.7574974,36.3425506
110,school,-86.8257153,36.1325457
111,school,-86.8939456,36.091941
112,place_of_worship,-86.7214621,36.0589704
113,place_of_worship,-86.7388871,36.1206136
114,grave_yard,-86.7272405,36.1171923
