,amenity,longitude,latitude
0,ferry_terminal,-117.9002183,33.6035136
1,ferry_terminal,-117.898385,33.6055299
2,fire_station,-117.8807173,33.6572857
3,fire_station,-117.9059145,33.6041366
4,fire_station,-117.8695939,33.5959762
5,library,-117.9062284,33.6041596
6,library,-117.8694152,33.5961682
7,restaurant,-117.877442,33.6154152
8,restaurant,-117.8770935,33.615185
9,whirlpool,-117.9339846,33.6238694
10,whirlpool,-117.9326552,33.6243055
11,parking_entrance,-117.929246,33.6255125
12,whirlpool,-117.9351297,33.625254
13,whirlpool,-117.9267476,33.6155943
14,whirlpool,-117.9263305,33.6156524
15,whirlpool,-117.9245345,33.6118035
16,parking_entrance,-117.9292294,33.6187618
17,pharmacy,-117.899502,33.6021467
18,restaurant,-117.927776,33.6095651
19,bank,-117.9299945,33.6179753
20,fuel,-117.932412,33.6279324
21,doctors,-117.9340337,33.6259541
22,fuel,-117.930574,33.6173713
23,restaurant,-117.9475503,33.6257084
24,animal_shelter,-117.9530403,33.628918
25,restaurant,-117.9245234,33.6207332
26,cafe,-117.9236088,33.6203019
27,fast_food,-117.9153415,33.6166469
28,cafe,-117.8995362,33.6156654
29,fast_food,-117.9001931,33.6158431
30,restaurant,-117.8694843,33.5954654
31,restaurant,-117.8723076,33.5992546
32,restaurant,-117.8738362,33.6035344
33,bank,-117.8722065,33.5984805
34,fast_food,-117.8726102,33.5983124
35,bank,-117.8769024,33.6059585
36,restaurant,-117.8740679,33.6038654
37,social_facility,-117.8663699,33.5931479
38,fuel,-117.8753187,33.6614957
39,parking_entrance,-117.8766608,33.6174036
40,parking_entrance,-117.8776948,33.616859
41,ferry_terminal,-117.8987648,33.6028478
42,shower,-117.953536,33.6269633
43,restaurant,-117.8748235,33.615465
44,bench,-117.8747559,33.6152939
45,restaurant,-117.8773216,33.6155222
46,parking,-117.8017492,33.6057972
47,restaurant,-117.9307716,33.6152345
48,drinking_water,-117.85445,33.58498
49,drinking_water,-117.8699662,33.5906452
50,drinking_water,-117.8778715,33.5955839
