,amenity,longitude,latitude
0,school,-93.0443094,41.6960194
1,school,-93.040015,41.7051644
2,school,-93.0615872,41.6988795
3,place_of_worship,-93.0297429,41.7035818
4,place_of_worship,-93.0345034,41.6923905
5,place_of_worship,-93.0405649,41.7051594
6,place_of_worship,-93.0363948,41.7029569
7,place_of_worship,-93.0500924,41.7011463
8,place_of_worship,-93.0477188,41.6953151
9,place_of_worship,-93.0630635,41.7045266
10,place_of_worship,-93.05125,41.7016934
11,place_of_worship,-93.0348773,41.7094706
12,place_of_worship,-93.0451332,41.7074186
13,place_of_worship,-93.05197,41.7021516
14,place_of_worship,-93.0302168,41.6925022
15,place_of_worship,-93.0518485,41.7016254
16,place_of_worship,-93.0459558,41.706855
17,place_of_worship,-93.0285168,41.703265
18,doctors,-93.0557537,41.6997128
19,post_office,-93.0515827,41.698225
20,nursing_home,-93.0742322,41.6797953
21,nursing_home,-93.0311639,41.6914797
22,nursing_home,-93.0521341,41.6931425
23,place_of_worship,-93.0514098,41.700844
24,place_of_worship,-93.0395458,41.7012826
25,place_of_worship,-93.0234778,41.6975825
26,nursing_home,-93.0334255,41.6997603
27,doctors,-93.055198,41.7002684
28,place_of_worship,-93.0428104,41.6994484
29,place_of_worship,-93.0518646,41.7002044
30,place_of_worship,-93.0393214,41.6920877
31,place_of_worship,-93.0452729,41.693698
32,place_of_worship,-93.0333853,41.6934162
33,doctors,-93.0508302,41.7033414
34,place_of_worship,-93.0300172,41.7094066
35,place_of_worship,-93.0406004,41.687908
36,fire_station,-93.057895,41.6988972
37,police,-93.0542231,41.6998605
38,police,-93.0579407,41.6991781
39,fuel,-93.0631417,41.6993059
40,restaurant,-93.0784317,41.6864228
41,restaurant,-93.0784093,41.6867168
42,restaurant,-93.0763661,41.6868244
43,fast_food,-93.0762229,41.6873105
44,fast_food,-93.0764824,41.6873565
45,fuel,-93.0763224,41.6885437
46,fast_food,-93.0765178,41.6888046
47,restaurant,-93.076169,41.6863253
48,shelter,-93.0738898,41.6873523
49,fuel,-93.0763756,41.6880282
50,fuel,-92.9975724,41.6804245
51,fuel,-93.0006223,41.6801926
52,fast_food,-92.998042,41.6802286
53,fast_food,-92.9983034,41.6805609
54,car_wash,-93.0355122,41.6981787
55,bank,-93.028372,41.6986709
56,fuel,-93.0346028,41.6987149
57,fuel,-93.0139605,41.699486
58,fuel,-93.0501391,41.6993986
59,fuel,-93.0714268,41.6989953
60,fuel,-93.0494193,41.6993858
61,fast_food,-93.024945,41.6995499
62,fuel,-93.0139042,41.6975093
63,pharmacy,-93.0379824,41.6996161
64,fuel,-93.0403836,41.699475
65,fuel,-92.9986593,41.6802968
66,pharmacy,-93.0120624,41.6968066
67,shelter,-93.0151265,41.7032495
68,theatre,-93.0544847,41.6899144
69,pharmacy,-93.0341656,41.6970252
70,loading_dock,-93.0111364,41.6968284
71,cinema,-93.0533859,41.7001103
72,cafe,-93.0338466,41.6968375
73,pub,-93.0528931,41.6994224
74,restaurant,-93.0261727,41.6994606
75,fast_food,-93.0786317,41.6878037
76,fast_food,-93.0578742,41.6998181
77,fast_food,-93.052102,41.699383
78,fast_food,-93.0330442,41.6994365
79,toilets,-93.0172096,41.7037928
80,toilets,-93.0181567,41.7033998
81,toilets,-93.0185965,41.7048083
82,shelter,-93.0170244,41.7072737
83,toilets,-93.0175898,41.7074714
84,bench,-93.0185763,41.7047319
85,bench,-93.0186995,41.7045872
86,bench,-93.0164795,41.7039481
87,bench,-93.016715,41.704007
88,drinking_water,-93.0167103,41.7040307
89,bench,-93.0150299,41.7039756
90,bench,-93.0159076,41.70339
91,shelter,-93.0554707,41.6867317
92,toilets,-93.0577603,41.6881552
93,shelter,-93.0575613,41.6883345
94,toilets,-93.056632,41.6899675
95,shelter,-93.0533077,41.6878129
96,cafe,-93.0763093,41.6876914
97,restaurant,-93.0762593,41.6887906
98,fast_food,-93.0786124,41.6848614
99,toilets,-93.0251277,41.6978023
100,fuel,-93.0324566,41.6929949
101,cafe,-93.03889,41.699463
102,dentist,-93.0275634,41.6986518
103,fuel,-93.0275687,41.6995681
104,atm,-93.0291876,41.6988918
105,car_wash,-93.0287652,41.6997452
106,restaurant,-93.0269555,41.6994527
107,veterinary,-93.0265078,41.6994515
108,restaurant,-93.0231854,41.6989487
109,restaurant,-93.0214765,41.6995609
110,restaurant,-93.0213167,41.698391
111,bank,-93.0209026,41.6995429
112,atm,-93.0210746,41.6995323
113,clinic,-93.0299412,41.69877
114,dentist,-93.0332389,41.6957805
115,fast_food,-93.0405862,41.6990181
116,restaurant,-93.0391432,41.6997403
117,restaurant,-93.0389389,41.6997369
