,amenity,longitude,latitude
0,fountain,-111.8209632,41.7628572
1,arts_centre,-111.8331288,41.7804104
2,loading_dock,-111.8295858,41.761003
3,loading_dock,-111.8296078,41.7597775
4,restaurant,-111.8319207,41.7615241
5,clinic,-111.822245,41.774155
6,fast_food,-111.833777,41.7646683
7,charging_station,-111.8224023,41.7619866
8,bicycle_parking,-111.8218064,41.7628932
9,fast_food,-111.8317223,41.7615227
10,mortuary,-111.8229493,41.7644335
11,car_wash,-111.8304608,41.7652638
12,restaurant,-111.8308978,41.7615231
13,fast_food,-111.830792,41.7608491
14,cafe,-111.8338025,41.7618111
15,ice_cream,-111.8308067,41.7615251
16,bank,-111.833748,41.7633759
17,bicycle_parking,-111.8221227,41.7629888
18,bicycle_parking,-111.8206149,41.7637637
19,bicycle_parking,-111.8188116,41.761664
20,bicycle_parking,-111.821677,41.7642278
21,school,-111.8213707,41.7644503
22,bank,-111.8336317,41.7720875
23,social_facility,-111.8292106,41.7728311
24,loading_dock,-111.8359653,41.7722142
25,polling_station,-111.8213135,41.778107
26,fast_food,-111.8332715,41.759716
27,fire_station,-111.804977,41.7673473
28,fast_food,-111.8338826,41.7600142
29,loading_dock,-111.815906,41.7602477
30,loading_dock,-111.815506,41.7602422
31,bicycle_parking,-111.8218168,41.7635065
32,bicycle_parking,-111.8180222,41.7616601
33,bicycle_parking,-111.8195389,41.7628676
34,bench,-111.7798448,41.7683432
35,bench,-111.7796141,41.7683583
36,bench,-111.7794411,41.7683653
37,bench,-111.7790038,41.769292
38,bench,-111.7789287,41.769313
39,bench,-111.7790996,41.7678686
40,bench,-111.7783152,41.7684873
41,bench,-111.776856,41.7686873
42,bench,-111.7764483,41.7685473
43,bench,-111.776392,41.7682632
44,bicycle_parking,-111.8184417,41.7595978
45,bicycle_parking,-111.8166791,41.7607611
46,bicycle_parking,-111.8243871,41.7630053
47,bicycle_parking,-111.8311906,41.7614891
48,public_bookcase,-111.8216757,41.7650675
49,clinic,-111.8283149,41.7632982
50,waste_disposal,-111.8068304,41.7691749
51,bicycle_parking,-111.8141613,41.7602722
52,drinking_water,-111.8242508,41.7845648
53,toilets,-111.8242592,41.7846112
54,drinking_water,-111.8250508,41.7827331
55,bicycle_parking,-111.8309796,41.761023
56,restaurant,-111.8353395,41.77074
57,fuel,-111.833608,41.760752
58,bicycle_parking,-111.8303396,41.7831954
59,compressed_air,-111.8342459,41.7773978
60,car_wash,-111.834928,41.7774415
61,bench,-111.8074673,41.7743847
62,bench,-111.8075073,41.7740345
63,bench,-111.8074465,41.7745453
64,bench,-111.8057916,41.7754964
65,bench,-111.8082966,41.7748381
66,bench,-111.8063956,41.776773
67,bench,-111.8067333,41.7769288
