,amenity,longitude,latitude
0,fire_station,-82.1621241,27.0664683
1,fire_station,-82.207959,27.073853
2,fire_station,-82.1182539,27.0683026
3,fire_station,-82.234766,27.0458381
4,police,-82.234386,27.0466463
5,fuel,-82.2041142,27.0329486
6,pharmacy,-82.260601,27.046178
7,fuel,-82.1561241,27.0866222
8,fuel,-82.252709,27.0457625
9,fountain,-82.1601345,27.0490625
10,fountain,-82.1610733,27.0479603
11,library,-82.1590028,27.0944834
12,college,-82.1593332,27.0944536
13,fuel,-82.1576502,27.0660903
14,fountain,-82.2135892,27.0614349
15,fountain,-82.2052676,27.0693863
16,fountain,-82.2233882,27.037275
17,fountain,-82.1533845,27.0860286
18,fountain,-82.1525641,27.0864072
19,fountain,-82.153042,27.0845743
20,fountain,-82.1522818,27.0839443
21,fountain,-82.2353852,27.066811
22,fountain,-82.2324406,27.0672051
23,fountain,-82.2377632,27.0695751
24,fountain,-82.2389758,27.070447
25,fountain,-82.2309752,27.0664952
26,fountain,-82.1551415,27.0441787
27,fountain,-82.18533,27.0676879
28,fountain,-82.2228536,27.0542705
29,fountain,-82.219252,27.059031
30,fountain,-82.220623,27.0609723
31,fountain,-82.2164206,27.0609116
32,fountain,-82.2081478,27.0747031
33,doctors,-82.2129428,27.0343689
34,bench,-82.1076039,27.0687098
35,bench,-82.1075701,27.0685546
36,bench,-82.1084741,27.0665454
37,fast_food,-82.1582581,27.069759
38,bench,-82.2403866,27.0556023
39,bench,-82.2404291,27.0552445
40,bench,-82.2408282,27.0550752
41,bench,-82.2405748,27.055591
42,fountain,-82.2403136,27.0555084
43,parking,-82.24085,27.0554089
44,parking,-82.2409582,27.0552215
45,fountain,-82.1085776,27.0672099
46,bench,-82.1075712,27.0683158
47,bench,-82.1076833,27.0681855
48,parking,-82.2409913,27.0554334
49,parking,-82.2410892,27.0552638
50,place_of_worship,-82.0690112,27.033166
51,place_of_worship,-82.0863042,27.0328653
52,place_of_worship,-82.1136728,27.0346219
53,place_of_worship,-82.1127435,27.0345138
54,fountain,-82.0688382,27.0330867
55,fuel,-82.2202688,27.0388038
56,pharmacy,-82.2098633,27.071389
57,fast_food,-82.2499247,27.046776
58,fast_food,-82.2247704,27.0406326
59,cafe,-82.2132186,27.0365292
60,restaurant,-82.2130319,27.0364642
61,fast_food,-82.2126221,27.0363667
62,bank,-82.2139739,27.0367719
63,fast_food,-82.2130791,27.0372077
64,pharmacy,-82.2147486,27.037653
65,fast_food,-82.2161948,27.0373338
66,restaurant,-82.2163836,27.0373969
67,restaurant,-82.2104838,27.0708217
68,fast_food,-82.209544,27.068139
69,restaurant,-82.3211117,27.0481133
70,restaurant,-82.3229957,27.0481744
71,post_office,-82.2102982,27.0698088
72,restaurant,-82.2102993,27.0686413
73,fast_food,-82.2103014,27.0688639
74,restaurant,-82.2104742,27.071045
75,theatre,-82.2253338,27.0738316
76,restaurant,-82.2224585,27.0381704
77,restaurant,-82.2109078,27.0336732
78,bar,-82.2114099,27.0339045
79,restaurant,-82.2115387,27.0339456
80,bench,-82.2548422,27.0791635
81,bicycle_repair_station,-82.2548388,27.0791988
82,fire_station,-82.3366731,27.0486871
83,police,-82.3367711,27.0489828
84,library,-82.2467488,27.0449379
85,fuel,-82.2509042,27.046589
86,toilets,-82.3283925,27.045945
87,bench,-82.3278536,27.0459015
88,shelter,-82.2738589,26.9861279
89,toilets,-82.3272323,27.0464268
90,fountain,-82.3266976,27.0323319
91,fountain,-82.3335577,27.0257995
92,fountain,-82.3324258,27.0276822
93,fountain,-82.3333538,27.0252595
94,fountain,-82.3353231,27.0239956
95,fountain,-82.3348631,27.0238569
96,fountain,-82.3321183,27.0216355
97,fountain,-82.3305424,27.0215793
98,fountain,-82.3278618,27.0223698
99,fountain,-82.3278537,27.0239543
100,fountain,-82.3239061,27.0239168
101,restaurant,-82.1580883,27.0702791
102,restaurant,-82.3281419,27.0463637
103,restaurant,-82.3268197,27.0455861
104,atm,-82.2363346,27.0442258
105,restaurant,-82.2085271,27.0726
106,fast_food,-82.2262218,27.0391915
107,restaurant,-82.2263417,27.0392354
