,amenity,longitude,latitude
0,school,-79.833105,40.5209013
1,school,-79.832671,40.521198
2,place_of_worship,-79.8461609,40.5175681
3,place_of_worship,-79.8426897,40.5160856
4,school,-79.8276123,40.5207068
5,school,-79.8404782,40.5199404
6,library,-79.83311,40.5209
7,police,-79.838989,40.523058
8,restaurant,-79.8425803,40.5180584
9,restaurant,-79.8423938,40.5193477
10,theatre,-79.8428435,40.5156194
11,restaurant,-79.8428312,40.5157302
12,pharmacy,-79.8419072,40.5252098
13,fuel,-79.8420611,40.5261293
14,restaurant,-79.8435908,40.5189531
15,restaurant,-79.8439345,40.5134159
16,restaurant,-79.8438096,40.5161155
