,amenity,longitude,latitude
0,clock,-82.5406321,28.1897297
1,fountain,-82.5415816,28.1893391
2,restaurant,-82.5409518,28.1898685
3,restaurant,-82.5410339,28.1892915
4,fountain,-82.5414023,28.1896947
5,shelter,-82.5787104,28.1840909
6,shelter,-82.5781805,28.1823664
7,fountain,-82.5384198,28.1857656
8,fast_food,-82.5469879,28.1869976
9,fountain,-82.5913187,28.1800493
10,fountain,-82.5414338,28.1837267
11,fountain,-82.5415545,28.1834004
12,fountain,-82.5416055,28.1831687
13,fountain,-82.545968,28.1845252
14,fountain,-82.5571787,28.182248
15,fountain,-82.5653503,28.1824573
16,fountain,-82.568847,28.1809287
17,fountain,-82.5356045,28.1848165
18,fountain,-82.5357145,28.1856085
19,fast_food,-82.5467597,28.1875974
20,fountain,-82.5241715,28.1906057
