,amenity,longitude,latitude
0,place_of_worship,-97.180913,35.3741429
1,place_of_worship,-97.202769,35.3499025
2,place_of_worship,-97.2050331,35.3518957
3,parking,-97.4000646,35.4346929
4,school,-97.341422,35.4070082
5,school,-97.5345817,35.5676944
6,school,-97.5224215,35.4274776
7,school,-97.5836508,35.4356155
8,grave_yard,-97.3533693,35.6089469
9,school,-97.611986,35.5361675
10,school,-97.4703156,35.4883936
11,school,-97.4783709,35.4517278
12,school,-97.5044822,35.4117284
13,school,-97.5003385,35.5056184
14,place_of_worship,-97.2466999,35.6236703
15,school,-97.475271,35.4753307
16,school,-97.3075336,35.5142283
17,school,-97.4686491,35.4992268
18,grave_yard,-97.5297597,35.3600625
19,grave_yard,-97.4144813,35.5367262
20,school,-97.538836,35.4129656
21,place_of_worship,-97.1953065,35.3553446
22,grave_yard,-97.7903235,35.5661638
23,school,-97.4497594,35.4864495
24,school,-97.5689281,35.4239493
25,school,-97.5464275,35.4156166
26,school,-97.583097,35.5822776
27,school,-97.4839272,35.4953378
28,school,-97.423926,35.5417259
29,school,-97.5383721,35.4347828
30,place_of_worship,-97.6702595,35.5726439
31,school,-97.5617055,35.4008944
32,school,-97.5553187,35.5883889
33,school,-97.5885808,35.4357835
34,school,-97.537816,35.3978393
35,school,-97.5908741,35.5008913
36,grave_yard,-97.406974,35.4311624
37,school,-97.2650305,35.3631214
38,grave_yard,-97.2653112,35.6011707
39,clinic,-97.5222609,35.4550604
40,school,-97.478928,35.5803349
41,school,-97.4889276,35.5208924
42,school,-97.530108,35.518244
43,school,-97.5888492,35.5935521
44,place_of_worship,-97.3272802,35.320122
45,school,-97.4755942,35.5406142
46,grave_yard,-97.3397571,35.5522822
47,place_of_worship,-97.3297569,35.5556156
48,school,-97.6894865,35.4345027
49,school,-97.5381003,35.5514917
50,school,-97.4230931,35.5806135
51,school,-97.5925399,35.4386708
52,place_of_worship,-97.1594726,35.3717336
53,grave_yard,-97.431704,35.5358926
54,grave_yard,-97.4511495,35.5942237
55,place_of_worship,-97.5069837,35.5189478
56,place_of_worship,-97.3397578,35.6142247
57,school,-97.4847607,35.5092263
58,school,-97.5394828,35.3995059
59,school,-97.5397619,35.5081143
60,grave_yard,-97.5292042,35.3620069
61,grave_yard,-97.8044885,35.3622813
62,school,-97.3703105,35.3192322
63,school,-97.3422573,35.564504
64,school,-97.491982,35.4239505
65,school,-97.6453203,35.5628328
66,place_of_worship,-97.2692001,35.5947819
67,grave_yard,-97.3172543,35.3767315
68,school,-97.3174277,35.3633459
69,grave_yard,-97.6728215,35.6133861
70,grave_yard,-97.2122508,35.3153454
71,school,-97.3978142,35.5370041
72,school,-97.5415455,35.4502562
73,place_of_worship,-97.3289211,35.3633983
74,school,-97.5303176,35.5364468
75,school,-97.5232262,35.4810593
76,school,-97.557922,35.5545664
77,place_of_worship,-97.7950445,35.449223
78,school,-97.6547633,35.4214481
79,school,-97.5030936,35.440061
80,school,-97.6322626,35.4058933
81,grave_yard,-97.3536444,35.3920084
82,place_of_worship,-97.7281002,35.5958858
83,school,-97.7228221,35.5786643
84,school,-97.6406144,35.6005087
85,school,-97.6372648,35.5892209
86,school,-97.6308759,35.589221
87,place_of_worship,-97.6747655,35.5794983
88,place_of_worship,-97.6749357,35.5688691
89,school,-97.634209,35.5647773
90,school,-97.6303197,35.5392227
91,school,-97.6633755,35.5014456
92,school,-97.6122637,35.5361675
93,school,-97.6197641,35.5575556
94,place_of_worship,-97.5699382,35.6172706
95,school,-97.5392073,35.5908891
96,school,-97.4179809,35.4197716
97,school,-97.4840738,35.4952548
98,school,-97.4717047,35.4945046
99,grave_yard,-97.4072555,35.2920101
100,school,-97.6608747,35.4253368
101,place_of_worship,-97.7275429,35.4492239
102,place_of_worship,-97.7208765,35.4917227
103,school,-97.6514304,35.47228
104,school,-97.5928177,35.4386708
105,school,-97.6106124,35.4991312
106,school,-97.5947629,35.4945025
107,school,-97.5928177,35.4386708
108,school,-97.5120202,35.418082
109,school,-97.5714279,35.3995054
110,place_of_worship,-97.5617055,35.4056166
111,place_of_worship,-97.505315,35.378118
112,place_of_worship,-97.5308702,35.3092304
113,place_of_worship,-97.539204,35.3292299
114,school,-97.5317039,35.3320076
115,school,-97.5133702,35.340341
116,school,-97.5292041,35.3517294
117,school,-97.5311488,35.3722844
118,school,-97.5417046,35.3692289
119,school,-97.546427,35.3733953
120,place_of_worship,-97.5664271,35.3478402
121,place_of_worship,-97.5661493,35.3439514
122,place_of_worship,-97.4319816,35.5189488
123,place_of_worship,-97.4244816,35.5417259
124,grave_yard,-97.4322595,35.5358926
125,school,-97.4786878,35.5155249
126,place_of_worship,-97.49365,35.5253367
127,place_of_worship,-97.4239264,35.5795023
128,grave_yard,-97.4939286,35.6020005
129,place_of_worship,-97.6269858,35.4936687
130,place_of_worship,-97.6280981,35.5919987
131,place_of_worship,-97.3000323,35.4347858
132,place_of_worship,-97.2655866,35.4056204
133,place_of_worship,-97.5202895,35.6377144
134,place_of_worship,-97.5319853,35.6322766
135,place_of_worship,-97.5317075,35.6278324
136,place_of_worship,-97.4512925,35.6108357
137,place_of_worship,-97.5319858,35.6744973
138,place_of_worship,-97.7330988,35.464501
139,place_of_worship,-97.7263887,35.5912214
140,place_of_worship,-97.7000426,35.4786678
141,place_of_worship,-97.715043,35.4942227
142,place_of_worship,-97.7442101,35.4706118
143,school,-97.4574531,35.373064
144,school,-97.5325372,35.3342298
145,school,-97.4780931,35.4500611
146,school,-97.4803162,35.5139484
147,school,-97.4811496,35.5139484
148,school,-97.4786495,35.5139484
149,school,-97.5075392,35.5206144
150,school,-97.6550411,35.4211703
151,school,-97.5844851,35.5083912
152,school,-97.5661507,35.4528375
153,school,-97.4778153,35.4503389
154,school,-97.5653156,35.3211742
155,place_of_worship,-97.5647605,35.3572844
156,place_of_worship,-97.5475377,35.3456183
157,place_of_worship,-97.5125367,35.3297857
158,place_of_worship,-97.5655934,35.3161743
159,place_of_worship,-97.5661493,35.3483957
160,place_of_worship,-97.5664268,35.3233963
161,place_of_worship,-97.2855861,35.3197888
162,place_of_worship,-97.5750395,35.4364489
163,place_of_worship,-97.4442026,35.4064514
164,place_of_worship,-97.53403,35.5003386
165,place_of_worship,-97.5555947,35.4320048
166,place_of_worship,-97.5747616,35.4225604
167,place_of_worship,-97.5772616,35.4211715
168,place_of_worship,-97.5767062,35.4272824
169,place_of_worship,-97.4880939,35.4831159
170,place_of_worship,-97.5158706,35.3631182
171,place_of_worship,-97.4894444,35.4883333
172,place_of_worship,-97.5205939,35.4331165
173,place_of_worship,-97.5625396,35.4620039
174,place_of_worship,-97.5689272,35.3483956
175,place_of_worship,-97.4855936,35.4720049
176,place_of_worship,-97.5075382,35.4478386
177,place_of_worship,-97.5337307,35.5667997
178,place_of_worship,-97.5184366,35.3886017
179,place_of_worship,-97.5408721,35.4261719
180,place_of_worship,-97.4963939,35.5595807
181,place_of_worship,-97.5189273,35.4428385
182,place_of_worship,-97.5303151,35.3470072
183,place_of_worship,-97.5992371,35.4937077
184,place_of_worship,-97.6371715,35.4857646
185,place_of_worship,-97.5547612,35.4253384
186,place_of_worship,-97.4722602,35.4936713
187,place_of_worship,-97.5039265,35.4061729
188,place_of_worship,-97.5964297,35.5008912
189,place_of_worship,-97.4534797,35.4055194
190,place_of_worship,-97.5400391,35.4572822
191,place_of_worship,-97.4822603,35.4803382
192,place_of_worship,-97.4600376,35.4895048
193,place_of_worship,-97.6544863,35.4881128
194,place_of_worship,-97.5327591,35.5657122
195,place_of_worship,-97.5805962,35.5100579
196,place_of_worship,-97.5036491,35.43645
197,place_of_worship,-97.6283746,35.4858911
198,place_of_worship,-97.5180929,35.3631182
199,place_of_worship,-97.6298205,35.4857261
200,place_of_worship,-97.6017074,35.4903359
201,place_of_worship,-97.5561496,35.3911725
202,place_of_worship,-97.5505943,35.412561
203,place_of_worship,-97.5219815,35.3345076
204,place_of_worship,-97.5219827,35.4236722
205,place_of_worship,-97.5183717,35.4339498
206,place_of_worship,-97.5261495,35.4308942
207,place_of_worship,-97.5622614,35.4314492
208,place_of_worship,-97.5153161,35.4395053
209,place_of_worship,-97.5844843,35.4378376
210,place_of_worship,-97.5525389,35.427005
211,place_of_worship,-97.5411499,35.4353384
212,place_of_worship,-97.5839285,35.4256157
213,place_of_worship,-97.6519587,35.5499366
214,place_of_worship,-97.4836495,35.5003377
215,place_of_worship,-97.5605948,35.4331159
216,place_of_worship,-97.5217045,35.3945062
217,place_of_worship,-97.6189299,35.4867246
218,place_of_worship,-97.5475385,35.4056168
219,place_of_worship,-97.5483721,35.4139499
220,place_of_worship,-97.6305976,35.5453336
221,place_of_worship,-97.5042043,35.4114506
222,place_of_worship,-97.488094,35.4947822
223,place_of_worship,-97.4805938,35.4953379
224,place_of_worship,-97.4392036,35.4861719
225,place_of_worship,-97.4708708,35.4545055
226,place_of_worship,-97.5203171,35.5086701
227,place_of_worship,-97.5025624,35.5506348
228,place_of_worship,-97.5833731,35.4381154
229,place_of_worship,-97.5380949,35.4747818
230,place_of_worship,-97.5220542,35.4016023
231,place_of_worship,-97.583004,35.5189229
232,place_of_worship,-97.4411482,35.4917273
233,place_of_worship,-97.5333713,35.3822842
234,place_of_worship,-97.5072604,35.4458941
235,place_of_worship,-97.636083,35.4773867
236,place_of_worship,-97.504577,35.5507399
237,place_of_worship,-97.4217032,35.4931164
238,place_of_worship,-97.5011491,35.4372833
239,place_of_worship,-97.5486499,35.4256163
240,place_of_worship,-97.4467039,35.4931161
241,place_of_worship,-97.4962124,35.5381625
242,place_of_worship,-97.6389313,35.5644994
243,place_of_worship,-97.3358665,35.4136748
244,place_of_worship,-97.4828164,35.5222813
245,place_of_worship,-97.5561499,35.4095054
246,place_of_worship,-97.5567055,35.4078388
247,place_of_worship,-97.5972972,35.5066545
248,place_of_worship,-97.6147631,35.483947
249,place_of_worship,-97.5105935,35.4186725
250,place_of_worship,-97.6570684,35.5765598
251,place_of_worship,-97.633931,35.5517222
252,place_of_worship,-97.5033765,35.5515665
253,place_of_worship,-97.4597598,35.4947825
254,place_of_worship,-97.4937583,35.5056635
255,place_of_worship,-97.6136741,35.5362909
256,place_of_worship,-97.6178189,35.4931134
257,place_of_worship,-97.443926,35.4878385
258,place_of_worship,-97.505871,35.404784
259,place_of_worship,-97.4483695,35.4097846
260,place_of_worship,-97.5950407,35.5011691
261,place_of_worship,-97.3008652,35.3906203
262,place_of_worship,-97.5264274,35.4403385
263,place_of_worship,-97.5292748,35.5122812
264,place_of_worship,-97.5285449,35.5180851
265,place_of_worship,-97.5296621,35.5093488
266,place_of_worship,-97.4594813,35.4389505
267,place_of_worship,-97.5067045,35.4200614
268,place_of_worship,-97.5205823,35.3815266
269,place_of_worship,-97.5792063,35.4342267
270,place_of_worship,-97.4847607,35.5078374
271,place_of_worship,-97.4928161,35.4742271
272,place_of_worship,-97.550039,35.4350604
273,place_of_worship,-97.494076,35.4910097
274,place_of_worship,-97.550039,35.4397825
275,place_of_worship,-97.521925,35.5613709
276,place_of_worship,-97.5264274,35.4403385
277,place_of_worship,-97.5522609,35.4131165
278,place_of_worship,-97.5530947,35.4422824
279,place_of_worship,-97.5014265,35.4153394
280,place_of_worship,-97.5367054,35.4347828
281,place_of_worship,-97.5211505,35.5081147
282,place_of_worship,-97.5530946,35.4339493
283,place_of_worship,-97.5533727,35.4539488
284,place_of_worship,-97.6550417,35.4778353
285,place_of_worship,-97.4892051,35.4911712
286,place_of_worship,-97.4208684,35.4005882
287,place_of_worship,-97.542263,35.5129113
288,place_of_worship,-97.4858717,35.4897823
289,place_of_worship,-97.5667062,35.4483931
290,place_of_worship,-97.3333657,35.3633982
291,place_of_worship,-97.5672612,35.4095052
292,place_of_worship,-97.4994822,35.4239504
293,place_of_worship,-97.4381142,35.4900072
294,place_of_worship,-97.4508707,35.4856162
295,place_of_worship,-97.671154,35.5519993
296,place_of_worship,-97.5075375,35.3945064
297,social_facility,-97.5171857,35.4809587
298,place_of_worship,-97.5325397,35.5183918
299,place_of_worship,-97.5520407,35.4097844
300,place_of_worship,-97.4705929,35.450339
301,place_of_worship,-97.5542056,35.4206163
302,place_of_worship,-97.5086491,35.4289501
303,place_of_worship,-97.5305938,35.4114502
304,place_of_worship,-97.317532,35.3745093
305,place_of_worship,-97.5922633,35.5350568
306,place_of_worship,-97.6404194,35.5850148
307,place_of_worship,-97.5325376,35.3633957
308,place_of_worship,-97.5286495,35.4283942
309,place_of_worship,-97.4930932,35.4278393
310,place_of_worship,-97.5455944,35.428394
311,place_of_worship,-97.4836494,35.4953378
312,place_of_worship,-97.4830556,35.5205556
313,place_of_worship,-97.4595036,35.4892126
314,place_of_worship,-97.5789286,35.4403376
315,place_of_worship,-97.4580931,35.4864494
316,place_of_worship,-97.4942054,35.4995042
317,place_of_worship,-97.4594821,35.490616
318,place_of_worship,-97.4930945,35.5222812
