,amenity,longitude,latitude
0,parking,-81.358087,28.5391072
1,parking_entrance,-81.306937,28.4326648
2,fast_food,-81.4294536,28.4943076
3,fuel,-81.4357601,28.4953279
4,fuel,-81.4581947,28.5052025
5,fuel,-81.4582377,28.5042356
6,bank,-81.4572411,28.504152
7,restaurant,-81.4580425,28.503706
8,restaurant,-81.4580286,28.5033228
9,restaurant,-81.4580216,28.5028071
10,fuel,-81.458562,28.5145396
11,fast_food,-81.4595957,28.5111173
12,fast_food,-81.4596807,28.5114301
13,fuel,-81.4610293,28.5143458
14,fast_food,-81.4616661,28.5133974
15,school,-81.3692363,28.5358355
16,school,-81.3659028,28.5505572
17,school,-81.3947924,28.5372243
18,school,-81.3997925,28.5333357
19,school,-81.3709029,28.5472239
20,school,-81.3920145,28.5413909
21,school,-81.4085031,28.5114581
22,place_of_worship,-81.441016,28.5275766
23,place_of_worship,-81.392848,28.5252803
24,place_of_worship,-81.3747919,28.5516683
25,place_of_worship,-81.4039595,28.5086142
26,place_of_worship,-81.3886812,28.536391
27,place_of_worship,-81.3720143,28.5197249
28,place_of_worship,-81.3711248,28.5414847
29,place_of_worship,-81.3742363,28.5530571
30,place_of_worship,-81.3692362,28.5461129
31,place_of_worship,-81.3928479,28.5447241
32,place_of_worship,-81.3553471,28.5433352
33,place_of_worship,-81.391459,28.5363911
34,place_of_worship,-81.3484025,28.5461128
35,place_of_worship,-81.3650696,28.5294468
36,place_of_worship,-81.3622917,28.544724
37,school,-81.4331266,28.5225028
38,school,-81.4045149,28.5280581
39,school,-81.4264599,28.5188918
40,school,-81.3117136,28.536611
41,school,-81.3075684,28.5369464
42,school,-81.3295131,28.5541681
43,school,-81.309109,28.5461959
44,school,-81.3639584,28.5516683
45,place_of_worship,-81.295457,28.498648
46,place_of_worship,-81.32671,28.555523
47,place_of_worship,-81.3892837,28.5514171
48,place_of_worship,-81.3521732,28.5448174
49,doctors,-81.310054,28.546604
50,place_of_worship,-81.3924679,28.5469648
51,place_of_worship,-81.389359,28.528715
52,place_of_worship,-81.409842,28.541661
53,place_of_worship,-81.3922724,28.5469667
54,place_of_worship,-81.3218603,28.4804202
55,restaurant,-81.3763268,28.5530429
56,place_of_worship,-81.3924133,28.5475429
57,place_of_worship,-81.330589,28.553764
58,place_of_worship,-81.4299804,28.5258618
59,place_of_worship,-81.3890438,28.538547
60,place_of_worship,-81.3891951,28.5392575
61,place_of_worship,-81.3974307,28.5338857
62,place_of_worship,-81.3304147,28.4698291
63,place_of_worship,-81.3891542,28.5365987
64,place_of_worship,-81.391546,28.534262
65,place_of_worship,-81.3925535,28.5384397
66,place_of_worship,-81.3888331,28.5400109
67,place_of_worship,-81.4090684,28.6051191
68,place_of_worship,-81.3934477,28.5506101
69,place_of_worship,-81.388748,28.536332
70,place_of_worship,-81.355765,28.54281
71,place_of_worship,-81.396066,28.542299
72,place_of_worship,-81.372346,28.549219
73,place_of_worship,-81.3909573,28.541698
74,place_of_worship,-81.392934,28.54498
75,place_of_worship,-81.393504,28.547876
76,place_of_worship,-81.3577296,28.5529415
77,place_of_worship,-81.3796012,28.5127554
78,post_office,-81.3641359,28.5518789
79,post_office,-81.3726399,28.511278
80,post_office,-81.3369312,28.5564448
81,post_office,-81.2978132,28.4596634
82,post_office,-81.3975733,28.5367896
83,post_office,-81.4570211,28.5344884
84,school,-81.3903494,28.5258342
85,school,-81.367346,28.545077
86,school,-81.3773531,28.5442974
87,school,-81.3763715,28.548712
88,school,-81.400059,28.533898
89,doctors,-81.3730804,28.5698231
90,hospital,-81.3724209,28.5753182
91,fire_station,-81.3157152,28.4669929
92,fire_station,-81.3766256,28.5205213
93,fire_station,-81.3401875,28.4351438
94,fire_station,-81.2505621,28.4841604
95,fire_station,-81.4695983,28.523613
96,fire_station,-81.4314348,28.5886176
97,fire_station,-81.3318937,28.4264302
98,fire_station,-81.2870282,28.4410096
99,fire_station,-81.3110683,28.4213094
100,library,-81.3073663,28.4810985
101,library,-81.3313859,28.552388
102,police,-81.3058951,28.4314343
103,place_of_worship,-81.4089416,28.5432627
