,amenity,longitude,latitude
0,school,-94.6716473,39.0098873
1,place_of_worship,-94.6688469,38.9466732
2,school,-94.6779756,38.9957474
3,place_of_worship,-94.6616247,38.9686173
4,school,-94.71045,38.9662638
5,school,-94.6266236,38.9566731
6,school,-94.6794029,38.956673
7,school,-94.6357034,38.9412261
8,school,-94.6316237,38.9494509
9,school,-94.6528283,38.9186489
10,school,-94.698975,38.9189041
11,school,-94.6645416,38.9841356
12,school,-94.6790902,38.9561911
13,school,-94.7023309,38.9700591
14,school,-94.71523,38.9150718
15,school,-94.6633319,38.9336076
16,school,-94.6577252,38.9631312
17,place_of_worship,-94.6303,38.9494
18,place_of_worship,-94.662,38.9687
19,place_of_worship,-94.6853035,38.963667
20,place_of_worship,-94.668519,38.8359389
21,place_of_worship,-94.6726007,39.0118208
22,place_of_worship,-94.6663001,38.9792001
23,place_of_worship,-94.6800437,38.9573756
24,place_of_worship,-94.6686,38.804
25,place_of_worship,-94.6853,38.9274
26,place_of_worship,-94.6659,38.9785
27,place_of_worship,-94.723557,38.848824
28,place_of_worship,-94.6627,38.9685
29,place_of_worship,-94.6754,38.9376
30,place_of_worship,-94.6973,38.8391
31,place_of_worship,-94.7065,38.9743
32,place_of_worship,-94.683811,38.8410843
33,place_of_worship,-94.7152,38.928
34,place_of_worship,-94.6669,38.9949
35,place_of_worship,-94.663,39.0123
36,place_of_worship,-94.6685,39.0134
37,place_of_worship,-94.6737,38.9395
38,place_of_worship,-94.7248,38.8953
39,place_of_worship,-94.6823,38.96
40,place_of_worship,-94.6853,38.8251
41,place_of_worship,-94.6827,39.0434
42,place_of_worship,-94.6774,38.9936
43,place_of_worship,-94.7085,38.9711
44,place_of_worship,-94.7152,38.9154
45,place_of_worship,-94.6579,38.9063
46,place_of_worship,-94.6807,39.043
47,place_of_worship,-94.6669,38.9948
48,place_of_worship,-94.6828,38.9998
49,place_of_worship,-94.7066,38.9744
50,place_of_worship,-94.6855,39.0331
51,place_of_worship,-94.6686,38.9466
52,veterinary,-94.6510948,38.9549772
53,veterinary,-94.6665,38.9858
54,post_office,-94.6352441,38.9351699
55,veterinary,-94.6682001,38.8335423
56,veterinary,-94.6866,38.973
57,veterinary,-94.6367,38.9349
58,school,-94.6893,38.9306
59,school,-94.6536056,38.9371758
60,school,-94.7144751,38.9458138
61,school,-94.6674,38.9949
62,school,-94.6496144,38.8883674
63,school,-94.7254451,38.8534277
64,post_office,-94.673977,38.983658
65,school,-94.671553,39.009905
66,school,-94.6536191,38.9373373
67,school,-94.6684341,38.8565755
68,school,-94.6633133,38.9342104
69,school,-94.6855708,38.9972875
70,place_of_worship,-94.697412,38.839079
71,school,-94.6669,38.9948
72,doctors,-94.675815,38.857746
73,nursing_home,-94.651337,38.906898
74,nursing_home,-94.662339,38.93889
75,nursing_home,-94.663336,38.935717
76,courthouse,-94.687,38.9744
77,fire_station,-94.6801801,38.9124923
78,fire_station,-94.6918,38.9747
79,fire_station,-94.6731007,38.9934193
80,library,-94.7277169,38.9241472
81,police,-94.7317372,38.9124463
82,police,-94.6868394,38.9744635
83,police,-94.6856772,38.9973003
84,parking_entrance,-94.7293472,38.9257668
85,parking_entrance,-94.7261042,38.923651
86,parking_entrance,-94.726057,38.9242909
87,parking_entrance,-94.7281522,38.9260382
88,fountain,-94.6453888,38.9074658
89,fountain,-94.6456048,38.9075425
90,fountain,-94.6716763,38.8933862
