,amenity,longitude,latitude
0,place_of_worship,-87.156914,30.5999158
1,fast_food,-87.1759424,30.5910815
2,bench,-87.1366813,30.6049111
3,bench,-87.136674,30.6049633
4,bench,-87.1367303,30.6049678
5,bench,-87.1367327,30.6049148
6,letter_box,-87.1378386,30.6066215
7,letter_box,-87.1378465,30.6064138
8,letter_box,-87.1378365,30.6068527
9,letter_box,-87.1377436,30.6068195
10,letter_box,-87.1377608,30.6061532
11,letter_box,-87.1377519,30.606384
12,letter_box,-87.1378552,30.6059931
13,letter_box,-87.1378342,30.6057903
14,letter_box,-87.1376825,30.6057056
15,letter_box,-87.1374825,30.6057001
16,letter_box,-87.1377632,30.6059285
17,letter_box,-87.1369362,30.6057772
18,letter_box,-87.1369064,30.6058717
19,letter_box,-87.137,30.6059217
20,letter_box,-87.1368983,30.6061091
21,letter_box,-87.137,30.6061133
22,letter_box,-87.1368959,30.6063105
23,letter_box,-87.1369903,30.6063487
24,letter_box,-87.1369846,30.6065708
25,letter_box,-87.1368943,30.6065604
26,letter_box,-87.136879,30.6067805
27,letter_box,-87.136979,30.6067916
28,letter_box,-87.1368806,30.6070013
29,letter_box,-87.1368709,30.6072568
30,letter_box,-87.1369653,30.6072269
31,letter_box,-87.1369613,30.6074686
32,letter_box,-87.136862,30.607472
33,letter_box,-87.136947,30.6079031
34,letter_box,-87.1368519,30.6078996
35,letter_box,-87.1368607,30.6076899
36,letter_box,-87.13696,30.607601
37,letter_box,-87.1368502,30.6081343
38,letter_box,-87.1369358,30.6081606
39,letter_box,-87.1369317,30.6083488
40,letter_box,-87.1368454,30.6083481
41,letter_box,-87.1368325,30.6085717
42,letter_box,-87.1369301,30.6085807
43,letter_box,-87.1369293,30.6087827
44,letter_box,-87.1368213,30.608818
45,letter_box,-87.1368289,30.6090034
46,letter_box,-87.1369173,30.6090274
47,letter_box,-87.1368167,30.6092497
48,letter_box,-87.1369102,30.6092497
49,letter_box,-87.1369078,30.6094379
50,letter_box,-87.1368078,30.6095247
51,letter_box,-87.1368989,30.609667
52,letter_box,-87.1366569,30.6099933
53,letter_box,-87.1365972,30.610078
54,letter_box,-87.1363988,30.6101545
55,letter_box,-87.1364105,30.6099127
56,letter_box,-87.1362927,30.6100904
57,letter_box,-87.1368187,30.6100821
58,letter_box,-87.1370607,30.6100863
59,letter_box,-87.1372816,30.6100947
60,letter_box,-87.1374857,30.6100963
61,letter_box,-87.1377535,30.6102823
62,letter_box,-87.1377552,30.6099567
63,letter_box,-87.1376608,30.6098678
64,letter_box,-87.137756,30.6097561
65,letter_box,-87.1376672,30.6096755
66,letter_box,-87.1377673,30.6095034
67,letter_box,-87.1376721,30.6094797
68,letter_box,-87.1376777,30.6092652
69,letter_box,-87.1377689,30.6093006
70,letter_box,-87.1377786,30.6090562
71,letter_box,-87.1376842,30.6090187
72,letter_box,-87.1377798,30.6088461
73,letter_box,-87.1376872,30.6088157
74,letter_box,-87.1377888,30.6086352
75,letter_box,-87.1376912,30.6086143
76,letter_box,-87.137792,30.608388
77,letter_box,-87.1376968,30.6083686
78,letter_box,-87.1377953,30.6081804
79,letter_box,-87.1377033,30.6081568
80,letter_box,-87.1378001,30.6079506
81,letter_box,-87.1377098,30.6079492
82,letter_box,-87.1378103,30.6077547
83,letter_box,-87.1377183,30.6077052
84,letter_box,-87.1377207,30.6075067
85,letter_box,-87.1378119,30.6075233
86,letter_box,-87.1378224,30.6072921
87,letter_box,-87.1377272,30.6072789
88,letter_box,-87.1378296,30.6070526
89,letter_box,-87.1377353,30.607038
90,waste_disposal,-87.1368824,30.6046255
91,car_wash,-87.1769495,30.5933648
92,cafe,-87.178515,30.5935507
93,public_bookcase,-87.1609509,30.6039317
94,post_office,-87.1607438,30.6032384
