,amenity,longitude,latitude
0,hospital,-74.5102538,40.8388893
1,school,-74.4284867,40.8628771
2,school,-74.4229309,40.8820435
3,school,-74.3948744,40.8828769
4,school,-74.384874,40.8756548
5,school,-74.4404315,40.8603772
6,school,-74.4732105,40.8684326
7,school,-74.3993859,40.8718715
8,school,-74.3923625,40.8506173
9,restaurant,-74.3823107,40.8819354
10,doctors,-74.443328,40.877028
11,restaurant,-74.3779607,40.8618616
12,restaurant,-74.3986338,40.86501
13,shelter,-74.4962718,40.8460816
14,restaurant,-74.472469,40.8507977
15,restaurant,-74.4726031,40.8513415
16,bbq,-74.5008735,40.8313856
17,toilets,-74.4987094,40.8301759
18,police,-74.4315492,40.8719847
19,restaurant,-74.4255387,40.8714766
20,restaurant,-74.425206,40.8714059
21,restaurant,-74.3744828,40.8636675
22,restaurant,-74.3814059,40.8759349
23,parking_entrance,-74.4058824,40.8600706
24,parking_entrance,-74.4059291,40.860089
25,bench,-74.4114404,40.8607394
26,bench,-74.4114308,40.8606856
27,bench,-74.4114186,40.8606341
28,bench,-74.4111324,40.8616731
29,bench,-74.4111819,40.8616015
30,bench,-74.4098073,40.8610756
31,bench,-74.4098494,40.861033
32,bench,-74.4098589,40.8609715
33,bench,-74.4098279,40.8609263
34,bench,-74.4110877,40.8665035
35,bench,-74.4111532,40.8664943
36,bench,-74.4111347,40.8665702
37,parking_entrance,-74.4060052,40.860119
38,fountain,-74.4643823,40.8471103
39,fountain,-74.4634433,40.8469617
40,fountain,-74.4619999,40.8464769
41,fountain,-74.4667602,40.8480818
42,bench,-74.4036691,40.8677076
43,car_rental,-74.3816895,40.8849956
44,restaurant,-74.4559703,40.8412002
45,bench,-74.4988006,40.829852
46,bench,-74.4982353,40.8298813
47,bench,-74.499708,40.8304067
48,bench,-74.5002993,40.8308021
49,restaurant,-74.3981179,40.8649819
50,cafe,-74.41742,40.8940665
51,dentist,-74.3958208,40.8485044
52,post_office,-74.4793325,40.8733631
53,fire_station,-74.4792491,40.8734294
54,bicycle_parking,-74.4993419,40.8301223
55,bench,-74.4943224,40.8357349
56,library,-74.4528379,40.8528766
57,bench,-74.506042,40.8357804
58,bench,-74.5083268,40.8354262
59,bench,-74.5030942,40.8376508
60,bench,-74.5024295,40.8381833
61,bench,-74.5019617,40.8383577
62,bench,-74.5029789,40.8375394
63,bench,-74.5029413,40.8375109
64,bench,-74.5038223,40.8384971
65,restaurant,-74.376871,40.8627856
66,restaurant,-74.3954747,40.8650285
67,post_office,-74.4301151,40.8723636
68,parking_entrance,-74.4526749,40.8705516
69,parking_entrance,-74.4527088,40.8707121
70,restaurant,-74.374502,40.8635129
71,bank,-74.3745908,40.863082
72,fast_food,-74.3770395,40.8627504
73,marketplace,-74.3761954,40.8628923
74,fast_food,-74.352706,40.857735
75,fast_food,-74.352589,40.8577314
76,restaurant,-74.3564696,40.8581461
77,restaurant,-74.3567176,40.8579878
78,restaurant,-74.3589043,40.8587297
79,restaurant,-74.3586872,40.8586873
80,prep_school,-74.3511549,40.8584026
81,restaurant,-74.3523427,40.8583383
82,restaurant,-74.3523252,40.8584567
83,fast_food,-74.34838,40.8561187
84,restaurant,-74.3796776,40.8617207
85,kindergarten,-74.4103025,40.857204
86,fast_food,-74.4102671,40.8570517
87,fast_food,-74.4102563,40.8569998
88,restaurant,-74.4102145,40.8569309
89,restaurant,-74.4101711,40.8567564
90,bank,-74.4101251,40.8565623
91,bench,-74.4253815,40.8636913
92,bench,-74.4256512,40.8638983
93,bbq,-74.3805331,40.8915315
94,bbq,-74.3805043,40.8915381
95,bench,-74.3807041,40.8914317
96,bench,-74.3806277,40.8914545
97,bench,-74.3805733,40.8912705
98,post_office,-74.3833724,40.8768932
99,dentist,-74.3726402,40.8641283
100,doctors,-74.372774,40.8638677
101,social_facility,-74.3735496,40.8653713
102,restaurant,-74.3726649,40.8640751
103,doctors,-74.3726889,40.864026
104,restaurant,-74.3728384,40.8637436
105,restaurant,-74.3744591,40.8633139
106,restaurant,-74.3867276,40.861843
107,fast_food,-74.3865737,40.8618307
108,pharmacy,-74.3834511,40.8761012
109,place_of_worship,-74.3949245,40.8645492
110,place_of_worship,-74.3882218,40.8715238
111,pharmacy,-74.3963728,40.8643052
112,fast_food,-74.3836661,40.8755255
113,restaurant,-74.3834752,40.8764128
114,restaurant,-74.3608071,40.8600713
115,fast_food,-74.3718166,40.8781565
116,shower,-74.3718464,40.8779283
117,bar,-74.3836325,40.8752712
118,restaurant,-74.3831741,40.8769006
119,restaurant,-74.3829947,40.8771377
120,bar,-74.3811626,40.8855896
121,toilets,-74.3795923,40.8759557
122,bench,-74.3791653,40.8748661
