,amenity,longitude,latitude
0,school,-121.1371563,37.4763222
1,place_of_worship,-121.1327117,37.4702113
2,place_of_worship,-121.1324339,37.4707667
3,place_of_worship,-121.1327117,37.4691002
4,place_of_worship,-121.1304893,37.4685446
5,place_of_worship,-121.1341006,37.4699335
6,school,-121.137434,37.4716001
7,post_office,-121.1304894,37.4710446
8,place_of_worship,-121.134934,37.4727112
9,library,-121.1316033,37.4717777
10,townhall,-121.1313228,37.4707668
11,fire_station,-121.1316288,37.4705885
12,restaurant,-121.1413407,37.4656419
13,fuel,-121.1278867,37.470314
14,bank,-121.1301633,37.4718483
15,fast_food,-121.144119,37.4646391
16,fuel,-121.1270177,37.4732872
17,fast_food,-121.142762,37.4640725
18,fast_food,-121.175547,37.466779
19,fast_food,-121.17566,37.4666749
20,bank,-121.1307318,37.4714133
21,post_office,-121.1318959,37.4718526
22,fountain,-121.1413718,37.4640688
23,loading_dock,-121.1434458,37.4620894
24,bank,-121.1297658,37.4712238
25,bank,-121.1300903,37.4710684
26,social_centre,-121.1395708,37.4774958
27,pharmacy,-121.1441789,37.4637358
28,pharmacy,-121.1401073,37.4648959
29,charging_station,-121.1744719,37.4664112
30,parking_space,-121.1309727,37.4730446
31,parking_space,-121.1309032,37.4730645
32,parking_space,-121.1308109,37.4730905
33,parking_space,-121.1307446,37.4731054
34,parking_space,-121.1306488,37.473126
35,parking_space,-121.1304261,37.4731566
36,parking_space,-121.1302752,37.4731658
37,parking_space,-121.1302102,37.4731676
38,parking_space,-121.1300436,37.4731648
39,parking_space,-121.1306344,37.4732699
40,parking_space,-121.1304888,37.4732925
41,parking_space,-121.1305655,37.4732809
42,parking_space,-121.1305969,37.4732762
43,parking_space,-121.1305271,37.4732867
44,parking_space,-121.1303876,37.4733014
45,parking_space,-121.1303503,37.4733046
46,parking_space,-121.1304244,37.4732982
47,parking_space,-121.1304566,37.4732953
48,waste_disposal,-121.1304786,37.4737013
49,weighbridge,-121.1648521,37.4659662
50,fuel,-121.1645597,37.4660598
51,fuel,-121.1648923,37.4650912
