,amenity,longitude,latitude
0,trailer_park,-112.0118135,33.4753214
1,trailer_park,-112.0251488,33.6678178
2,trailer_park,-111.9895905,33.4642107
3,trailer_park,-112.0376489,33.6108742
4,trailer_park,-112.0545943,33.6425401
5,trailer_park,-112.0118135,33.4761547
6,trailer_park,-112.1490413,33.4525957
7,trailer_park,-112.2057083,33.4550428
8,trailer_park,-112.1204277,33.4508767
9,trailer_park,-112.1283185,33.4881436
10,bench,-111.97971,33.3695569
11,marketplace,-111.9981363,33.446986
12,parking_entrance,-112.0131629,33.4376211
13,toilets,-112.0668006,33.5983388
14,school,-112.0829625,33.5255173
15,school,-112.0882056,33.5405974
16,school,-112.0915377,33.4336551
17,school,-112.0559812,33.4469884
18,school,-112.1268328,33.5047509
19,school,-112.1420954,33.478376
20,school,-112.0440362,33.4347665
21,school,-112.109154,33.4797492
22,school,-112.0593144,33.4336554
23,school,-112.0349856,33.4029502
24,school,-112.0232029,33.4883765
25,school,-112.0595923,33.4361553
26,school,-112.0423697,33.450044
27,school,-112.0762607,33.5333753
28,school,-112.0918172,33.5755967
29,school,-112.1156862,33.436345
30,school,-112.1270946,33.4480991
31,grave_yard,-112.0901489,33.4453216
32,school,-112.0971451,33.4943662
33,school,-112.0883925,33.3544613
34,school,-112.1700936,33.434101
35,school,-112.100877,33.5612253
36,school,-112.1289286,33.6029889
37,school,-112.115548,33.5308832
38,school,-112.0309812,33.5042095
39,school,-112.0620936,33.5422641
40,school,-112.0557032,33.4300444
41,school,-112.0687589,33.4106003
42,school,-112.0665384,33.5636526
43,school,-112.0207756,33.5038283
44,school,-112.1088216,33.5102725
45,school,-112.0487591,33.4703213
46,school,-112.0989086,33.4995447
47,school,-112.2108494,33.4993394
48,school,-112.1007048,33.4461548
49,school,-111.9473675,33.4986545
50,school,-112.1037603,33.4297662
51,school,-111.972546,33.4735599
52,school,-112.1415398,33.4778205
53,school,-112.0195928,33.631985
54,school,-112.1019103,33.5631987
55,school,-112.0687589,33.410878
56,place_of_worship,-112.0187568,33.3711571
57,post_office,-112.0742599,33.4544109
58,post_office,-112.0636248,33.5053248
59,post_office,-112.173003,33.5005402
60,post_office,-112.1182062,33.5083755
61,post_office,-112.0673697,33.3925451
62,place_of_worship,-112.0216986,33.2933696
63,place_of_worship,-112.074707,33.5295353
64,place_of_worship,-112.1144784,33.549303
65,place_of_worship,-112.0982422,33.4997483
66,place_of_worship,-112.0937742,33.4947435
67,place_of_worship,-112.0648694,33.4705234
68,place_of_worship,-112.0523529,33.4769855
69,place_of_worship,-112.0709472,33.4642197
70,place_of_worship,-112.0472395,33.4496816
