,amenity,longitude,latitude
0,place_of_worship,-96.7363867,33.0720643
1,place_of_worship,-96.6711067,33.0148431
2,place_of_worship,-96.7516152,33.1113566
3,place_of_worship,-96.7559488,33.0401094
4,place_of_worship,-96.6523091,33.0374342
5,place_of_worship,-96.7622215,33.0190102
6,place_of_worship,-96.7483322,33.0215101
7,place_of_worship,-96.6672175,33.0256762
8,place_of_worship,-96.7499988,33.0215101
9,hospital,-96.7691985,33.021349
10,toilets,-96.8485493,33.0472235
11,restaurant,-96.7086769,33.0683916
12,restaurant,-96.7888038,33.0273929
13,toilets,-96.7455096,33.0629299
14,shelter,-96.7477057,33.0653021
15,drinking_water,-96.7476553,33.0654157
16,bank,-96.7340284,33.1026196
17,fast_food,-96.7343234,33.1004468
18,restaurant,-96.7018674,33.0404971
19,restaurant,-96.7003477,33.0432121
20,fountain,-96.7949152,33.0506958
21,restaurant,-96.7949892,33.0510927
22,restaurant,-96.7953779,33.0507524
23,restaurant,-96.793942,33.044228
24,fountain,-96.8121427,33.0333891
25,restaurant,-96.7088977,33.0553516
26,university,-96.8313108,33.0394461
27,place_of_worship,-96.6482476,33.0431999
28,post_box,-96.7508838,33.0413594
29,post_box,-96.7508246,33.0413553
30,post_box,-96.770255,33.086236
31,post_box,-96.7701926,33.086236
32,post_box,-96.6979146,33.0237228
33,post_box,-96.6979226,33.0237228
34,post_box,-96.6979293,33.0237228
35,post_box,-96.6979346,33.0237233
36,post_box,-96.6816686,33.0159011
37,post_box,-96.7695693,33.0431858
38,post_box,-96.7695148,33.0431874
39,parking_entrance,-96.8192445,33.0868034
40,pub,-96.7003192,33.019489
41,restaurant,-96.7484539,33.0725312
42,restaurant,-96.710619,33.0570569
43,restaurant,-96.7096746,33.0297303
44,restaurant,-96.732646,33.059797
45,restaurant,-96.7649294,33.0001758
46,restaurant,-96.7315742,33.0597988
47,restaurant,-96.7008232,33.0684238
48,restaurant,-96.7499771,33.0581042
49,restaurant,-96.647404,33.032784
50,restaurant,-96.6957483,33.0579878
51,restaurant,-96.770807,33.0298501
52,restaurant,-96.7692843,33.0423808
53,fast_food,-96.6963716,33.0542627
54,fast_food,-96.6849812,33.0184571
55,restaurant,-96.7979725,33.0641192
56,fast_food,-96.7976208,33.064081
57,restaurant,-96.8211343,33.0774584
58,cafe,-96.820812,33.0774684
59,restaurant,-96.820308,33.0774615
60,fast_food,-96.8203715,33.0783947
61,fast_food,-96.819619,33.0774658
62,restaurant,-96.8278974,33.0447551
63,fast_food,-96.8198936,33.0784092
64,restaurant,-96.8198697,33.0774664
65,post_office,-96.8205533,33.0774623
66,restaurant,-96.8202079,33.0783926
67,doctors,-96.7662498,33.0167498
68,place_of_worship,-96.7774746,33.0703133
69,fast_food,-96.7753103,33.0705649
70,social_facility,-96.7797507,33.0701134
71,kindergarten,-96.7781674,33.0701062
72,dentist,-96.7794883,33.0700751
73,fuel,-96.7716753,33.0722625
74,fast_food,-96.8375359,33.0280813
75,fast_food,-96.8310586,33.0269459
76,place_of_worship,-96.6745111,33.0449796
77,fuel,-96.7097149,33.0569756
78,fountain,-96.8529684,33.0746894
79,bicycle_repair_station,-96.774531,33.063595
80,marketplace,-96.7544482,33.039788
81,social_facility,-96.7419162,33.0080647
82,bench,-96.7763411,33.0604915
83,fountain,-96.7796765,33.1005816
84,fast_food,-96.7093934,33.0132718
85,bank,-96.7182671,33.0201484
86,place_of_worship,-96.7339042,33.0509688
87,restaurant,-96.7110486,33.0278024
88,cafe,-96.711297,33.0277681
89,makerspace,-96.7112747,33.0278331
90,bench,-96.8547932,33.0526407
91,bench,-96.8553344,33.0502214
92,fountain,-96.7890306,33.0394163
93,bench,-96.7067592,33.0287607
94,bench,-96.7122476,33.0283331
95,fountain,-96.8189515,33.0884504
96,fountain,-96.8185679,33.0888348
97,fountain,-96.8209792,33.0895471
98,fast_food,-96.7926213,33.0275232
99,fast_food,-96.7924171,33.0275121
100,fast_food,-96.7925191,33.0275171
101,restaurant,-96.7927293,33.0275237
102,fast_food,-96.7716281,33.0729822
103,fast_food,-96.77239,33.0849298
104,bank,-96.7726378,33.0841796
105,fast_food,-96.7737972,33.0712217
106,drinking_water,-96.8489257,33.0469651
107,parking_entrance,-96.8209464,33.0768541
108,parking_entrance,-96.8200852,33.0786225
109,parking_entrance,-96.8207615,33.0788911
110,fuel,-96.6987251,33.0352077
111,fast_food,-96.8419843,33.0269066
112,fountain,-96.6604997,33.0329543
113,fountain,-96.7330649,33.0313179
114,fountain,-96.7330834,33.0304784
115,restaurant,-96.6816844,33.0058213
116,restaurant,-96.6814882,33.0058213
117,cafe,-96.733343,33.0189239
118,post_office,-96.7332582,33.0189079
119,restaurant,-96.7359459,33.0188853
120,restaurant,-96.7356769,33.018918
121,restaurant,-96.7341905,33.0172591
122,cafe,-96.7319998,33.0405004
123,restaurant,-96.7319205,33.040255
124,fountain,-96.7025786,33.0199462
125,fountain,-96.702459,33.0202836
126,restaurant,-96.7043868,33.0202787
127,shelter,-96.7470945,33.0656389
128,toilets,-96.7472775,33.0660201
129,shelter,-96.7548294,33.0798711
130,restaurant,-96.7673921,33.0181393
131,fast_food,-96.7677303,33.0096055
132,fountain,-96.8025059,33.0916764
133,parking_entrance,-96.8268332,33.0812056
134,fountain,-96.6774774,33.0500027
135,doctors,-96.7671747,33.0206018
136,bank,-96.6957901,33.057984
137,toilets,-96.7115142,33.0229887
138,fast_food,-96.7126398,33.0195526
139,dojo,-96.7117223,33.0278357
140,place_of_worship,-96.6483991,33.0390131
141,parking_entrance,-96.8263655,33.0818024
142,parking_entrance,-96.8253296,33.0835455
143,parking_entrance,-96.8260918,33.0790759
144,parking_entrance,-96.8250607,33.0813811
145,parking_entrance,-96.8253745,33.0787823
146,fast_food,-96.6653783,33.0150236
147,restaurant,-96.6652957,33.015164
148,veterinary,-96.6653055,33.0157327
149,restaurant,-96.6995607,33.0197663
150,social_facility,-96.7692813,33.0214991
151,restaurant,-96.7072821,33.0114742
152,restaurant,-96.7003473,33.0197744
153,bicycle_repair_station,-96.77625,33.0644481
154,fast_food,-96.7074858,33.0150408
155,parking_entrance,-96.8338019,33.0827795
156,hospital,-96.7899585,33.0147813
157,restaurant,-96.7088317,33.0098576
158,cafe,-96.7688835,33.0292881
159,fast_food,-96.7710816,33.0258624
160,cafe,-96.6990713,33.0192324
161,fast_food,-96.7110632,33.0191923
162,fast_food,-96.7494864,33.0188594
163,fuel,-96.7966845,33.060383
164,fountain,-96.851483,33.062018
165,fountain,-96.7531116,33.0799938
166,bench,-96.7778842,33.0471041
167,bench,-96.777909,33.0471232
168,ice_cream,-96.7529091,33.0393102
169,bank,-96.7681012,33.055573
170,restaurant,-96.8040988,33.0956211
171,restaurant,-96.8033752,33.0955673
172,fast_food,-96.8046021,33.0948666
173,restaurant,-96.7003848,33.0182296
174,bar,-96.7004004,33.0181251
175,restaurant,-96.6996062,33.0195531
176,restaurant,-96.6990904,33.0189758
177,restaurant,-96.6816413,33.0195831
178,parking_entrance,-96.8165775,33.0806624
179,fast_food,-96.7958856,33.0191292
180,restaurant,-96.693834,33.0594165
181,cafe,-96.6942929,33.0585308
182,restaurant,-96.6923021,33.0664335
183,restaurant,-96.6942435,33.0676418
184,restaurant,-96.7691666,33.0579489
185,restaurant,-96.768877,33.0579561
186,restaurant,-96.768756,33.0579561
187,place_of_worship,-96.7683838,33.0579575
188,pharmacy,-96.7325348,33.058077
189,pharmacy,-96.7341961,33.116463
190,hospital,-96.7938154,33.0413529
191,restaurant,-96.7962851,33.0995291
192,restaurant,-96.7687847,33.0284079
193,restaurant,-96.7707202,33.0713689
194,fast_food,-96.7093984,33.0133721
195,restaurant,-96.6638198,33.0147244
196,cinema,-96.8216915,33.0767065
197,parking_entrance,-96.8156797,33.0806636
198,parking_entrance,-96.8165738,33.0796645
199,car_rental,-96.819213,33.0908831
200,restaurant,-96.8189766,33.0909633
201,restaurant,-96.8198872,33.0906892
202,restaurant,-96.8205238,33.0901777
203,cafe,-96.821039,33.0899136
