,amenity,longitude,latitude
0,place_of_worship,-80.0980991,26.2764693
1,school,-80.1325448,26.2361931
2,place_of_worship,-80.0979126,26.2814905
3,school,-80.1457787,26.242032
4,school,-80.103655,26.2148049
5,school,-80.1103218,26.2725806
6,school,-80.1094884,26.2364708
7,school,-80.1094884,26.2386929
8,school,-80.1622679,26.2439706
9,grave_yard,-80.1247667,26.2614699
10,place_of_worship,-80.1203222,26.2420262
11,place_of_worship,-80.1311558,26.2364709
12,place_of_worship,-80.1653236,26.2370265
13,place_of_worship,-80.1519898,26.2336932
14,place_of_worship,-80.1442117,26.2536924
15,place_of_worship,-80.1286557,26.2381375
16,place_of_worship,-80.1597678,26.2373042
17,place_of_worship,-80.1333781,26.2373041
18,place_of_worship,-80.151712,26.2353598
19,place_of_worship,-80.1469896,26.2370265
20,place_of_worship,-80.1231,26.2320266
21,place_of_worship,-80.1589345,26.2336932
22,place_of_worship,-80.1333781,26.2353598
23,place_of_worship,-80.1222667,26.2342487
24,place_of_worship,-80.126989,26.2375819
25,place_of_worship,-80.1331003,26.2211936
26,place_of_worship,-80.1456007,26.2406374
27,place_of_worship,-80.15949,26.2350821
28,school,-80.1072661,26.2725806
29,school,-80.098217,26.2785732
30,school,-80.098139,26.2815689
31,school,-80.1331002,26.2739695
32,school,-80.1142108,26.2364708
33,school,-80.1092106,26.2323043
34,school,-80.1228223,26.2323043
35,school,-80.1033771,26.2378597
36,school,-80.1322474,26.2100873
37,school,-80.1094444,26.2361111
38,school,-80.1347222,26.2263889
39,school,-80.1547222,26.2525
40,school,-80.105,26.2291667
41,school,-80.1038889,26.2311111
42,post_office,-80.117766,26.232248
43,post_office,-80.154496,26.232051
44,post_office,-80.1040702,26.2370552
45,kindergarten,-80.1047222,26.23
46,doctors,-80.135,26.2233333
47,fire_station,-80.1248428,26.2308586
48,library,-80.1107598,26.2321273
49,library,-80.1414339,26.2600811
50,police,-80.1250112,26.2307136
51,police,-80.1235384,26.2265936
52,police,-80.1253721,26.2258974
53,fast_food,-80.0993789,26.258225
54,fuel,-80.1032005,26.23197
55,restaurant,-80.1238698,26.2107268
56,school,-80.1217347,26.2103754
57,fuel,-80.1234781,26.210758
58,fuel,-80.1234299,26.2113669
59,fuel,-80.1228961,26.2107316
60,school,-80.1243284,26.2107482
61,bank,-80.1227459,26.2115231
62,restaurant,-80.106467,26.2152051
63,post_box,-80.1224621,26.209936
64,post_box,-80.1245113,26.2108938
65,cafe,-80.0998007,26.2548613
66,fuel,-80.1402185,26.2608255
67,fast_food,-80.1526779,26.2597244
68,fast_food,-80.1644377,26.2438355
69,fast_food,-80.102533,26.2329888
70,fast_food,-80.0999615,26.2609729
71,fast_food,-80.1598921,26.2448651
72,fast_food,-80.1560833,26.230555
73,fast_food,-80.157242,26.230478
74,bank,-80.157183,26.2299198
75,parking_entrance,-80.1507059,26.2240895
76,fountain,-80.1021906,26.2458249
77,shower,-80.0891976,26.233051
78,fountain,-80.0935492,26.2511473
79,bar,-80.0977863,26.2313012
80,fast_food,-80.161798,26.231527
81,fast_food,-80.1211969,26.2311912
82,post_box,-80.1540954,26.2315645
83,restaurant,-80.1582693,26.2316658
84,fuel,-80.1483714,26.2740665
85,fuel,-80.1004057,26.2504466
86,fountain,-80.1344985,26.2147458
87,fuel,-80.1315162,26.2746788
88,fast_food,-80.1276073,26.2599928
89,fast_food,-80.127606,26.2601371
90,fuel,-80.1004765,26.2498209
91,fuel,-80.1514986,26.2739894
92,fuel,-80.1644818,26.2594557
93,fuel,-80.1509165,26.2607414
94,fuel,-80.1411439,26.2599203
95,bar,-80.1557802,26.2698366
96,car_rental,-80.1514046,26.2607365
97,fuel,-80.151296,26.2596481
98,fuel,-80.126861,26.2602795
99,fast_food,-80.1323354,26.2745414
100,pharmacy,-80.1351585,26.274171
101,fast_food,-80.1370226,26.2742816
102,bank,-80.1362434,26.2743875
103,bank,-80.1526719,26.2739028
104,fountain,-80.1355843,26.2707986
105,fountain,-80.169189,26.234413
106,parking_entrance,-80.150667,26.2234003
107,fuel,-80.1183638,26.2318517
108,shelter,-80.1151814,26.2365431
109,doctors,-80.1221533,26.2128067
110,clinic,-80.0975975,26.2773408
