,amenity,longitude,latitude
0,place_of_worship,-90.4448096,30.4396374
1,place_of_worship,-90.4336982,30.4399152
2,place_of_worship,-90.437865,30.4385263
3,place_of_worship,-90.4311981,30.4335264
4,place_of_worship,-90.4375871,30.427971
5,school,-90.4367272,30.437959
6,place_of_worship,-90.4506431,30.4293599
7,place_of_worship,-90.441754,30.4332487
8,school,-90.4439762,30.4332487
9,post_office,-90.4428651,30.4396374
10,school,-90.4435476,30.432995
11,school,-90.4448211,30.438965
12,fire_station,-90.4421668,30.4403664
13,fire_station,-90.4329446,30.4401328
14,police,-90.4421312,30.4402659
15,townhall,-90.4423267,30.4403326
16,fast_food,-90.453634,30.4381117
17,fuel,-90.4137915,30.4440716
18,post_office,-90.4406186,30.4412461
19,fast_food,-90.4529647,30.4373198
20,fast_food,-90.4527242,30.4373198
21,fast_food,-90.4546927,30.4382636
22,fast_food,-90.4558267,30.4390931
23,fast_food,-90.4568232,30.4392582
24,fuel,-90.4555665,30.4383567
25,fast_food,-90.4560672,30.4419838
26,place_of_worship,-90.4563779,30.4579327
