,amenity,longitude,latitude
0,vending_machine,-122.769579,45.543859
1,parking,-122.6964228,45.5420191
2,parking,-122.6967597,45.5426304
3,bicycle_parking,-122.6773373,45.6029936
4,fast_food,-122.6910835,45.5232208
5,fast_food,-122.5790287,45.4977586
6,fuel,-122.6033788,45.4976897
7,restaurant,-122.6192847,45.5049882
8,cafe,-122.6155605,45.5054248
9,restaurant,-122.697231,45.5234628
10,cafe,-122.6988675,45.5231344
11,bank,-122.699781,45.523444
12,bank,-122.698241,45.523818
13,restaurant,-122.6983708,45.5274057
14,cafe,-122.6983848,45.5282249
15,restaurant,-122.6984254,45.5293387
16,restaurant,-122.6984984,45.5321503
17,cafe,-122.698544,45.5327992
18,restaurant,-122.6985728,45.5332357
19,restaurant,-122.698605,45.5334678
20,restaurant,-122.698613,45.5336298
21,pub,-122.698594,45.5349315
22,pharmacy,-122.698862,45.5322297
23,pub,-122.6987196,45.5279444
24,restaurant,-122.6987129,45.5277772
25,drinking_water,-122.6900902,45.5219958
26,toilets,-122.6692778,45.4752139
27,drinking_water,-122.6794924,45.5192651
28,restaurant,-122.6796118,45.5176281
29,bank,-122.6803444,45.5151688
30,fast_food,-122.6806121,45.514409
31,clock,-122.6821889,45.5117673
32,bicycle_parking,-122.6846263,45.510825
33,drinking_water,-122.6784941,45.5128143
34,drinking_water,-122.6787192,45.5123767
35,restaurant,-122.6781975,45.5118468
36,restaurant,-122.6752026,45.5131119
37,restaurant,-122.6783966,45.5263112
38,school,-122.5860445,45.516558
39,kindergarten,-122.6030098,45.5420083
40,school,-122.5262172,45.5313288
41,school,-122.6322222,45.5105556
42,school,-122.61,45.5708333
43,studio,-122.631849,45.4807992
44,courthouse,-122.5946382,45.5315823
45,place_of_worship,-122.570882,45.5531983
46,kindergarten,-122.6234924,45.5165922
47,school,-122.7076687,45.5366164
48,school,-122.5479443,45.5529805
49,school,-122.5683333,45.5063889
50,kindergarten,-122.7052658,45.482164
51,kindergarten,-122.7054703,45.4837079
52,school,-122.6293427,45.5425745
53,place_of_worship,-122.5940983,45.5026791
54,place_of_worship,-122.6871355,45.5821154
55,place_of_worship,-122.6551057,45.5690947
56,place_of_worship,-122.4983573,45.5176967
57,place_of_worship,-122.5148148,45.5230762
58,place_of_worship,-122.6352444,45.5666521
59,place_of_worship,-122.6896667,45.5621748
60,place_of_worship,-122.5856453,45.5165341
61,place_of_worship,-122.6750966,45.5662458
62,place_of_worship,-122.6833136,45.5121101
63,place_of_worship,-122.5940967,45.5031654
64,place_of_worship,-122.673667,45.5233225
65,place_of_worship,-122.550914,45.4906298
66,place_of_worship,-122.6529593,45.5509391
67,place_of_worship,-122.6759042,45.5766268
68,place_of_worship,-122.5481631,45.5529853
69,place_of_worship,-122.5281168,45.5033072
70,place_of_worship,-122.5629187,45.5056153
71,school,-122.5595527,45.5556693
72,school,-122.5263162,45.5366996
73,school,-122.6430376,45.5260208
74,school,-122.5792284,45.5689755
75,place_of_worship,-122.6355556,45.5713889
76,library,-122.6211734,45.537627
77,fire_station,-122.574043,45.5547688
78,library,-122.6824461,45.5157211
79,place_of_worship,-122.6456449,45.5252727
