,amenity,longitude,latitude
0,place_of_worship,-122.2124659,37.3757736
1,place_of_worship,-122.2305283,37.3822303
2,place_of_worship,-122.2338554,37.3838289
3,place_of_worship,-122.2346693,37.3837057
4,library,-122.2298959,37.3819277
5,townhall,-122.2287914,37.382015
6,bench,-122.2197319,37.3600311
7,bench,-122.2093535,37.352795
8,bench,-122.2042527,37.3490293
9,fuel,-122.2088625,37.3720096
10,drinking_water,-122.208415,37.3721193
11,bench,-122.2459809,37.3601965
12,bench,-122.2452031,37.3642288
13,drinking_water,-122.2074458,37.3726707
14,bench,-122.229408,37.3623787
15,bench,-122.2450393,37.3637961
16,theatre,-122.2139417,37.3760654
17,cafe,-122.2123305,37.3760388
18,toilets,-122.223437,37.3751781
19,drinking_water,-122.2229169,37.3755755
20,bench,-122.2456315,37.3648812
21,bench,-122.2236149,37.3696514
22,bench,-122.2233551,37.3733667
23,restaurant,-122.2323691,37.3832966
24,bicycle_repair_station,-122.2084041,37.3721106
25,bench,-122.210296,37.3766322
26,bench,-122.2148736,37.3561686
27,bench,-122.2103618,37.3540139
28,bicycle_parking,-122.2294367,37.381446
29,drinking_water,-122.2297213,37.3816249
30,post_box,-122.2319223,37.3838179
31,veterinary,-122.2320394,37.3836834
