,amenity,longitude,latitude
0,place_of_worship,-76.4018896,36.8715371
1,post_office,-76.3997557,36.8674777
2,post_office,-76.3647378,36.8122889
3,place_of_worship,-76.3326331,36.8004712
4,place_of_worship,-76.3141163,36.8212597
5,place_of_worship,-76.3049729,36.8379334
6,place_of_worship,-76.3338234,36.799318
7,place_of_worship,-76.3502212,36.8334854
8,place_of_worship,-76.3035522,36.8337591
9,place_of_worship,-76.3119402,36.8418905
10,place_of_worship,-76.3896664,36.8218153
11,place_of_worship,-76.3497374,36.8653924
12,place_of_worship,-76.3816107,36.8234818
13,place_of_worship,-76.3532722,36.8201535
14,place_of_worship,-76.3407758,36.8332038
15,place_of_worship,-76.3368917,36.8323725
16,place_of_worship,-76.3577211,36.8657037
17,place_of_worship,-76.3479985,36.8648702
18,place_of_worship,-76.3004981,36.827374
19,place_of_worship,-76.3868885,36.8101485
20,school,-76.390552,36.8187416
21,school,-76.3797706,36.8549524
22,school,-76.3801219,36.8138864
23,school,-76.3780938,36.8505949
24,school,-76.3229,36.80566
25,school,-76.3004272,36.8365838
26,school,-76.3790389,36.8688528
27,school,-76.3437518,36.7918592
28,studio,-76.2992112,36.8292235
29,fire_station,-76.2998,36.833514
30,police,-76.3005361,36.8339497
31,police,-76.3001526,36.8334967
32,fountain,-76.3934035,36.8813321
33,fountain,-76.3937074,36.8815167
34,fast_food,-76.3006553,36.8351956
35,cafe,-76.2994993,36.835505
36,social_facility,-76.3205207,36.8340202
37,social_facility,-76.3085349,36.8279179
38,charging_station,-76.3020155,36.8349295
39,restaurant,-76.3130667,36.8094888
40,ferry_terminal,-76.2960798,36.838853
41,ferry_terminal,-76.2961284,36.8351418
42,clinic,-76.3202096,36.8340545
43,grave_yard,-76.3708819,36.8504185
44,place_of_worship,-76.3066626,36.8341103
45,restaurant,-76.3025024,36.8351471
46,cafe,-76.327718,36.8345193
47,car_wash,-76.3300464,36.8350625
48,fountain,-76.4162322,36.8691447
49,bench,-76.3681622,36.8341645
50,bench,-76.3711005,36.8345455
51,bench,-76.3706151,36.8344006
52,bench,-76.3669364,36.8334989
53,bench,-76.3672301,36.8338306
54,bench,-76.3676955,36.8339959
55,bench,-76.3686503,36.834245
56,bench,-76.3691573,36.8343222
57,bench,-76.3696522,36.8343909
58,compressed_air,-76.3388322,36.828376
59,compressed_air,-76.3395068,36.8285381
60,toilets,-76.339834,36.8281313
61,restaurant,-76.3774214,36.8771968
62,parking_entrance,-76.2968798,36.8367861
63,parking_entrance,-76.2962923,36.8330276
64,parking_entrance,-76.2962282,36.8328843
65,parking_entrance,-76.2970055,36.8323496
66,parking_entrance,-76.2972672,36.8333262
67,parking_entrance,-76.2969434,36.8333361
68,bench,-76.3049633,36.8414307
69,bench,-76.3049268,36.8416995
70,bench,-76.305147,36.8419367
71,bench,-76.305202,36.8419429
72,bench,-76.305312,36.8412404
73,bench,-76.305257,36.841235
74,cafe,-76.3052134,36.8388416
75,waste_basket,-76.3032215,36.8380669
76,bench,-76.3031116,36.8381815
77,water_point,-76.3030777,36.8382423
78,bench,-76.3027265,36.8381693
79,bench,-76.3026688,36.8381706
80,waste_basket,-76.3029342,36.83812
81,bench,-76.3031411,36.8381195
82,bench,-76.3032133,36.8382288
83,bench,-76.3022622,36.8402982
84,restaurant,-76.2980804,36.8413402
85,bench,-76.2996922,36.8403665
86,waste_basket,-76.3028485,36.8405654
87,bench,-76.3002613,36.8404114
88,bench,-76.3025597,36.8405493
89,bench,-76.3008387,36.840446
90,bench,-76.301412,36.8404804
91,bench,-76.3019872,36.8405149
92,bench,-76.30249,36.8403152
93,bench,-76.3024534,36.8401864
94,bench,-76.3024772,36.8401856
95,bench,-76.3020253,36.8402935
96,bench,-76.3018996,36.840288
97,bench,-76.3017896,36.8402397
98,bench,-76.3015809,36.8402695
99,bench,-76.3012263,36.8402066
100,waste_basket,-76.2991416,36.8402499
101,fast_food,-76.3379558,36.8262473
102,fast_food,-76.3382455,36.8260643
103,fountain,-76.3347405,36.8442772
104,place_of_worship,-76.2999804,36.8256671
105,theatre,-76.3689011,36.8322345
106,fast_food,-76.3960134,36.8599356
107,fast_food,-76.3959391,36.8599299
108,pharmacy,-76.3971099,36.8601521
109,college,-76.417072,36.8691135
110,pharmacy,-76.3424639,36.8325887
111,pharmacy,-76.3965228,36.8615172
112,pharmacy,-76.3950482,36.8601182
113,fast_food,-76.3280801,36.7934055
114,ice_cream,-76.327423,36.7937265
115,restaurant,-76.3272239,36.7938506
116,restaurant,-76.3278039,36.7980054
117,restaurant,-76.3278919,36.7978498
118,fast_food,-76.3295623,36.7969305
119,fast_food,-76.3300118,36.796894
120,parking_entrance,-76.2985515,36.8340029
121,parking_entrance,-76.2998102,36.8339746
122,parking_entrance,-76.2989791,36.8323479
123,parking_entrance,-76.2982473,36.8327427
124,loading_dock,-76.327369,36.7997174
125,loading_dock,-76.3285406,36.7979378
126,loading_dock,-76.3291881,36.7976833
127,loading_dock,-76.3293235,36.7976325
128,shelter,-76.3582721,36.8846721
129,shelter,-76.358227,36.8849334
130,shelter,-76.3577975,36.8850228
131,fountain,-76.3618053,36.8619017
132,fountain,-76.3577525,36.8629262
133,fountain,-76.3573005,36.8646751
134,fountain,-76.3563673,36.8608008
135,fountain,-76.3564424,36.8604102
136,fountain,-76.356189,36.8616474
137,fountain,-76.3562037,36.8615921
138,fountain,-76.3562104,36.8615047
139,fountain,-76.3590945,36.8609153
140,fountain,-76.3586814,36.8608821
141,fountain,-76.3433166,36.821205
142,fountain,-76.3766522,36.8064114
143,fountain,-76.3548703,36.8644316
144,bench,-76.2958237,36.8370385
145,bench,-76.2959201,36.8370325
146,bench,-76.295941,36.8370428
147,bench,-76.2958078,36.8371248
148,bench,-76.2957829,36.8373045
149,bench,-76.2968439,36.8369346
150,parking_entrance,-76.296879,36.8368146
151,pharmacy,-76.3820923,36.8045623
152,pharmacy,-76.3831785,36.804151
153,fuel,-76.3847047,36.8040511
154,fountain,-76.4005262,36.8817527
155,fountain,-76.3997752,36.882435
156,fountain,-76.3990135,36.8831901
157,fountain,-76.3392853,36.7936776
158,parking_entrance,-76.3061532,36.8441097
159,fountain,-76.3485239,36.8021212
160,fountain,-76.3486822,36.8032788
161,fountain,-76.3471131,36.8032402
162,fountain,-76.3498033,36.8013137
163,fountain,-76.3474966,36.8039907
164,fountain,-76.3455779,36.8056781
165,fountain,-76.344438,36.8061355
166,fountain,-76.3244166,36.8008906
167,fountain,-76.3221796,36.8039564
168,fountain,-76.3225576,36.809132
169,fountain,-76.3222545,36.8113492
170,fountain,-76.3197922,36.8111452
171,fountain,-76.3130465,36.8338919
172,toilets,-76.3956953,36.8930379
173,fountain,-76.3928049,36.8712495
174,fountain,-76.3885168,36.8720222
175,fountain,-76.3564841,36.8696789
176,fountain,-76.3597403,36.8800767
177,clinic,-76.3715535,36.8093645
178,restaurant,-76.3717473,36.8093005
179,fast_food,-76.3575255,36.8100316
180,fast_food,-76.357676,36.8099772
181,fast_food,-76.3587438,36.8119114
182,restaurant,-76.357134,36.8109744
183,post_box,-76.3533671,36.8122395
184,fast_food,-76.3561889,36.8100424
185,restaurant,-76.356132,36.8100753
