,amenity,longitude,latitude
0,school,-74.6973413,40.3420459
1,place_of_worship,-74.7015487,40.3762174
2,grave_yard,-74.6598806,40.3539958
3,school,-74.6808006,40.3344944
4,school,-74.6532041,40.3564983
5,school,-74.6898826,40.3626029
6,school,-74.6849832,40.3487271
7,place_of_worship,-74.6664034,40.3623226
8,school,-74.6645085,40.3583924
9,school,-74.6378512,40.3638392
10,place_of_worship,-74.6646029,40.3473292
11,school,-74.6657141,40.3409405
12,school,-74.6365259,40.3548469
13,school,-74.6632141,40.3606624
14,school,-74.6460481,40.3725065
15,school,-74.6571265,40.3693285
16,public_building,-74.6663889,40.3475
17,townhall,-74.6658656,40.348173
18,fast_food,-74.6518832,40.3521568
19,restaurant,-74.6508617,40.3525147
20,fast_food,-74.6517479,40.3522007
21,pub,-74.6515457,40.3523818
22,restaurant,-74.6521546,40.3521242
23,cafe,-74.6511995,40.3523833
24,restaurant,-74.6510893,40.3524512
25,restaurant,-74.6626535,40.3497099
26,restaurant,-74.6512352,40.3521629
27,restaurant,-74.6566561,40.3507523
28,restaurant,-74.6625991,40.3495705
29,parking,-74.6478761,40.355806
30,police,-74.6649259,40.3606812
31,police,-74.6656566,40.3482794
32,townhall,-74.6650183,40.3604166
33,parking_entrance,-74.657768,40.3411154
34,parking_entrance,-74.6579427,40.3410695
35,parking_entrance,-74.658483,40.3422656
36,fountain,-74.6548715,40.3487306
37,cafe,-74.6601565,40.3501429
38,cinema,-74.65746,40.3505562
39,pub,-74.6603386,40.3506226
40,bank,-74.6550765,40.3512189
41,bank,-74.6600184,40.3497851
42,cafe,-74.6594551,40.3499267
43,bank,-74.6604981,40.349672
44,restaurant,-74.6617373,40.3505386
45,parking,-74.6612308,40.3510974
46,bank,-74.662964,40.3489545
47,cafe,-74.6608571,40.3506185
48,toilets,-74.6710955,40.3579853
49,toilets,-74.6873544,40.3443523
50,restaurant,-74.6598063,40.3501239
51,restaurant,-74.6510851,40.3627726
52,restaurant,-74.6502453,40.3629302
53,doctors,-74.6505068,40.3632868
54,restaurant,-74.6560262,40.3510997
55,fast_food,-74.6597115,40.3511201
56,bicycle_parking,-74.6577966,40.3491318
