,amenity,longitude,latitude
0,school,-91.3945943,39.9219904
1,grave_yard,-91.3945942,39.9094904
2,school,-91.392372,39.966435
3,school,-91.4037613,39.9397682
4,school,-91.4020946,39.9244904
5,school,-91.3503287,39.9388979
6,place_of_worship,-91.3959832,39.9211571
7,place_of_worship,-91.3857051,39.9267127
8,place_of_worship,-91.3901497,39.950046
9,place_of_worship,-91.3757555,39.9338047
10,place_of_worship,-91.3579261,39.9397683
11,place_of_worship,-91.3570366,39.9278841
12,place_of_worship,-91.4013091,39.93839
13,place_of_worship,-91.3928996,39.9324636
14,place_of_worship,-91.3907053,39.9197682
15,place_of_worship,-91.3773713,39.941435
16,place_of_worship,-91.3873717,39.9139349
17,place_of_worship,-91.392372,39.9139349
18,place_of_worship,-91.4034835,39.9403238
19,place_of_worship,-91.4051503,39.9344904
20,place_of_worship,-91.3945943,39.9222682
21,place_of_worship,-91.4079282,39.9419904
22,place_of_worship,-91.3804271,39.9506017
23,place_of_worship,-91.3720933,39.9394905
24,place_of_worship,-91.396261,39.930046
25,place_of_worship,-91.4037613,39.9431016
26,place_of_worship,-91.3995945,39.9269904
27,place_of_worship,-91.3784825,39.9069904
28,place_of_worship,-91.4001501,39.9431016
29,place_of_worship,-91.3979278,39.9269904
30,place_of_worship,-91.4007057,39.9186571
31,place_of_worship,-91.3829272,39.9233793
32,place_of_worship,-91.4037613,39.9133792
33,place_of_worship,-91.3893163,39.9206016
34,place_of_worship,-91.3621439,39.9250484
35,place_of_worship,-91.4012612,39.9269904
36,place_of_worship,-91.4101505,39.9419904
37,place_of_worship,-91.4020582,39.9365762
38,grave_yard,-91.3558486,39.9320924
39,place_of_worship,-91.340356,39.9295084
40,place_of_worship,-91.3415498,39.9344783
41,fuel,-91.3866434,39.9358354
42,toilets,-91.3877467,39.9620603
43,bench,-91.3876452,39.9596418
44,bbq,-91.3877431,39.9621227
45,drinking_water,-91.3876913,39.9623158
46,bar,-91.4147898,39.9343879
47,restaurant,-91.4147613,39.9331104
48,restaurant,-91.4120813,39.9330687
49,restaurant,-91.3384797,39.9383815
50,parking,-91.4143555,39.9427421
51,fast_food,-91.375937,39.935053
52,bar,-91.4081376,39.9395352
53,bar,-91.4084892,39.9455804
54,bar,-91.396325,39.9517745
55,bar,-91.3842139,39.9455917
56,bar,-91.3968001,39.9469252
57,bar,-91.3884978,39.9138077
58,bar,-91.406622,39.9212649
59,bar,-91.4042296,39.9383568
60,cafe,-91.4085991,39.9383637
61,cafe,-91.4081734,39.9393216
62,cafe,-91.4084892,39.9455804
63,restaurant,-91.3594911,39.9343061
64,cafe,-91.3657669,39.9356026
65,shelter,-91.3523297,39.9531567
66,shelter,-91.3528288,39.9528862
67,loading_dock,-91.3314969,39.9387026
68,loading_dock,-91.3330795,39.9387114
69,fast_food,-91.3652106,39.9363074
70,bench,-91.3641565,39.9369555
71,bar,-91.41025,39.932745
72,cafe,-91.4062019,39.9333447
73,bar,-91.4077335,39.9323215
74,restaurant,-91.4056628,39.93176
75,fast_food,-91.3947219,39.9359395
76,restaurant,-91.4069193,39.9330999
77,restaurant,-91.3622177,39.937174
78,clinic,-91.3604718,39.9355235
79,restaurant,-91.3723367,39.9356692
80,ice_cream,-91.38743,39.92661
