,amenity,longitude,latitude
0,school,-121.2985612,38.5796281
1,school,-121.2957834,38.5999054
2,school,-121.3013391,38.6032386
3,school,-121.2793941,38.6071274
4,school,-121.3241174,38.5660173
5,school,-121.3132837,38.571295
6,place_of_worship,-121.3013391,38.5904612
7,place_of_worship,-121.3038392,38.5968498
8,place_of_worship,-121.3263477,38.5584078
9,school,-121.2760607,38.6012943
10,place_of_worship,-121.3041169,38.5746282
11,place_of_worship,-121.3299509,38.5637951
12,place_of_worship,-121.2988391,38.6040719
13,place_of_worship,-121.2946723,38.6074052
14,place_of_worship,-121.2930055,38.6085162
15,place_of_worship,-121.2966168,38.605183
16,place_of_worship,-121.288561,38.6129606
17,place_of_worship,-121.2871721,38.6132383
18,place_of_worship,-121.2902263,38.6023772
19,place_of_worship,-121.2891166,38.6043497
20,place_of_worship,-121.2902277,38.6024053
21,place_of_worship,-121.2871721,38.6054608
22,place_of_worship,-121.3003716,38.6025898
23,school,-121.3189993,38.5819959
24,school,-121.2999501,38.5787948
25,post_office,-121.280783,38.5993498
26,school,-121.278065,38.5943509
27,school,-121.3341785,38.5614299
28,fire_station,-121.2954501,38.5930783
29,fire_station,-121.2710605,38.5874058
30,police,-121.3060614,38.5746282
31,fuel,-121.268844,38.6150645
32,fast_food,-121.2699445,38.6150946
33,fuel,-121.2694536,38.615804
34,fast_food,-121.2688555,38.6177464
35,fast_food,-121.3356247,38.5615226
36,fast_food,-121.2882741,38.5880194
37,restaurant,-121.2886657,38.5878559
38,parking,-121.2925825,38.6247383
39,parking,-121.2900344,38.6207526
40,parking,-121.2828397,38.61968
41,school,-121.3168545,38.5645085
42,bbq,-121.2950096,38.6003303
43,bbq,-121.2952161,38.6003429
44,bbq,-121.2926506,38.601392
45,bench,-121.2926452,38.6013794
46,post_box,-121.29745,38.5687595
47,parking,-121.2993682,38.5661569
48,parking,-121.2994914,38.5668113
49,restaurant,-121.3041,38.574132
50,pharmacy,-121.283474,38.5816058
51,cafe,-121.2845186,38.5842569
52,fuel,-121.2660282,38.5904955
53,fast_food,-121.2659342,38.5895908
54,car_rental,-121.2592761,38.5767387
55,restaurant,-121.2686161,38.6210552
56,restaurant,-121.2712245,38.6176428
57,fast_food,-121.2719697,38.6138495
58,ice_cream,-121.2678687,38.6207629
59,restaurant,-121.2709366,38.6176871
60,cafe,-121.2705325,38.6132923
61,bicycle_repair_station,-121.2698258,38.6322955
62,fast_food,-121.303603,38.5892666
63,fast_food,-121.303451,38.5892177
64,fast_food,-121.2724742,38.6045553
65,bank,-121.2931049,38.5944086
66,fuel,-121.2965403,38.5927097
67,fuel,-121.2716343,38.6049253
68,casino,-121.2972052,38.5923466
69,fast_food,-121.2688422,38.6199407
70,fuel,-121.319985,38.5810427
71,veterinary,-121.268419,38.6216535
72,fuel,-121.2911382,38.6107749
73,restaurant,-121.2686242,38.6208687
74,drinking_water,-121.3096248,38.6024964
75,cafe,-121.2660118,38.5888578
76,fast_food,-121.3355619,38.5574916
77,cafe,-121.3346107,38.5587389
78,fast_food,-121.2869513,38.5953711
79,fast_food,-121.2691763,38.616375
80,bicycle_parking,-121.2844169,38.5893923
81,school,-121.2332764,38.544545
82,restaurant,-121.3356047,38.5635744
83,restaurant,-121.2690896,38.6173149
84,fast_food,-121.2688916,38.6174077
85,fast_food,-121.2687889,38.6175372
86,fast_food,-121.2690107,38.6170282
87,restaurant,-121.2690177,38.6169041
88,fast_food,-121.2692372,38.61676
89,fast_food,-121.2705208,38.6133618
90,restaurant,-121.270337,38.6140653
91,fast_food,-121.2733675,38.6173121
92,fast_food,-121.2839161,38.5839348
93,restaurant,-121.2839845,38.583918
94,restaurant,-121.2841924,38.5838488
95,restaurant,-121.2843277,38.5842974
96,restaurant,-121.2841547,38.5843354
97,ice_cream,-121.2839529,38.5843734
98,restaurant,-121.2836271,38.584427
99,restaurant,-121.2833185,38.5844893
100,fast_food,-121.2843478,38.5856765
101,restaurant,-121.2853533,38.5854527
102,restaurant,-121.2854425,38.585294
103,restaurant,-121.2853414,38.5850549
104,parking,-121.3308348,38.5741053
105,parking,-121.3316207,38.574185
106,parking,-121.3297378,38.5734972
107,parking,-121.3297458,38.5729771
108,fuel,-121.287363,38.5934193
109,bus_station,-121.3113409,38.5847612
110,bus_station,-121.2902136,38.5950732
111,bus_station,-121.2829478,38.5986687
112,fast_food,-121.3343747,38.5577982
113,veterinary,-121.3031426,38.5738047
114,place_of_worship,-121.3050965,38.5738746
115,fast_food,-121.2661857,38.5977842
116,fast_food,-121.3026958,38.5897467
117,restaurant,-121.2672441,38.6225208
118,restaurant,-121.2676987,38.6212403
119,fast_food,-121.2679132,38.6206822
120,restaurant,-121.2686982,38.6203909
121,drinking_water,-121.3194554,38.5666866
122,car_wash,-121.2707759,38.6155962
123,car_wash,-121.2714179,38.6050929
124,fast_food,-121.2699015,38.6177088
125,fast_food,-121.307739,38.5872059
126,dentist,-121.3071692,38.5873583
127,post_box,-121.3046489,38.5895182
128,restaurant,-121.3049972,38.5894549
129,bank,-121.2434162,38.557576
130,cafe,-121.2434453,38.5582338
131,fast_food,-121.2434135,38.5580249
132,fast_food,-121.2432865,38.5570058
133,fuel,-121.2436623,38.5587386
134,fast_food,-121.2447095,38.5568533
135,vending_machine,-121.2437421,38.556058
136,vending_machine,-121.2436991,38.5560575
137,car_wash,-121.2660468,38.5931288
138,car_wash,-121.266398,38.590346
