,amenity,longitude,latitude
0,place_of_worship,-94.4418965,38.9783398
1,school,-94.4810642,38.9955617
2,school,-94.4388409,39.0286169
3,place_of_worship,-94.4535448,38.978045
4,place_of_worship,-94.4778878,39.0068333
5,place_of_worship,-94.4679329,39.0268916
6,place_of_worship,-94.46844,39.0158
7,place_of_worship,-94.4750126,38.9655719
8,place_of_worship,-94.478619,38.9651654
9,place_of_worship,-94.4800052,38.9732875
10,place_of_worship,-94.482648,38.9965995
11,place_of_worship,-94.4442007,38.9824613
12,place_of_worship,-94.472524,39.00525
13,place_of_worship,-94.483806,38.9803301
14,school,-94.4568945,39.0153618
15,place_of_worship,-94.4411802,38.9784122
16,post_office,-94.4572936,39.0079815
17,fuel,-94.46518,38.9647676
18,fast_food,-94.4424817,39.0264936
19,school,-94.4816416,39.0259368
20,bank,-94.4762778,38.9945798
21,atm,-94.4760243,38.9944005
22,dentist,-94.4694757,38.9927411
23,fast_food,-94.4695454,38.9927995
24,restaurant,-94.4696192,38.9928349
25,pharmacy,-94.4695644,38.9938762
26,bench,-94.4759471,39.0161676
27,bench,-94.4759229,39.0161937
28,loading_dock,-94.4588989,38.9833437
29,loading_dock,-94.4585738,38.9836318
30,pharmacy,-94.4782019,38.996691
31,fuel,-94.4791943,38.9985567
32,fast_food,-94.4640472,38.9851355
33,veterinary,-94.4930084,38.9660149
34,waste_basket,-94.4478816,38.9922911
35,bicycle_parking,-94.447928,38.9923138
36,toilets,-94.4478995,38.9922805
37,bench,-94.4478577,38.9922805
38,fire_station,-94.4640063,38.9841098
39,community_centre,-94.4607849,38.9820976
40,clinic,-94.4821601,38.996903
