,amenity,longitude,latitude
0,trailer_park,-122.1971873,37.4877154
1,trailer_park,-122.1946168,37.4871953
2,place_of_worship,-122.2606623,37.4745018
3,school,-122.243855,37.4877151
4,school,-122.2375942,37.4792907
5,school,-122.2604901,37.4740757
6,place_of_worship,-122.237466,37.4791043
7,post_office,-122.2277437,37.457716
8,place_of_worship,-122.2283333,37.4713889
9,place_of_worship,-122.2288889,37.4761111
10,place_of_worship,-122.2363889,37.4763889
11,place_of_worship,-122.2208333,37.4736111
12,place_of_worship,-122.2358333,37.4755556
13,place_of_worship,-122.2411111,37.4572222
14,fire_station,-122.254166,37.4652778
15,fire_station,-122.2394096,37.4749366
16,library,-122.2431104,37.4664994
17,fast_food,-122.23009,37.4834968
18,bank,-122.232472,37.4844179
19,place_of_worship,-122.2609024,37.4541926
20,atm,-122.260982,37.5235288
21,parking_entrance,-122.2549253,37.5220894
22,cafe,-122.231114,37.4850094
23,fast_food,-122.2308924,37.4848721
24,cinema,-122.2289372,37.4861964
25,restaurant,-122.226346,37.4843412
26,fast_food,-122.2289272,37.4858052
27,bicycle_parking,-122.2291645,37.4855278
28,bicycle_parking,-122.2303328,37.4853995
29,dentist,-122.25694,37.529515
30,cafe,-122.2299405,37.4863291
31,bank,-122.2522912,37.5214632
32,bank,-122.2525487,37.5219776
33,restaurant,-122.2515811,37.5223522
34,restaurant,-122.2515391,37.5221487
35,prep_school,-122.2517006,37.522637
36,cafe,-122.2516445,37.5224826
37,dentist,-122.252007,37.5235778
38,restaurant,-122.2515457,37.521923
39,post_office,-122.251986,37.5235102
40,cafe,-122.2517604,37.5227027
41,doctors,-122.2524965,37.5237129
42,restaurant,-122.251669,37.5225519
43,clinic,-122.2517942,37.5227737
44,restaurant,-122.2348645,37.4954149
45,atm,-122.2229236,37.4777985
46,post_box,-122.2237601,37.479614
47,post_box,-122.2210218,37.4867698
48,veterinary,-122.2205415,37.4867608
49,restaurant,-122.2200817,37.4870563
50,place_of_worship,-122.2203666,37.4870508
51,restaurant,-122.2228714,37.48691
52,nightclub,-122.2229517,37.4869168
53,restaurant,-122.2231125,37.4869073
54,fast_food,-122.2233489,37.4868809
55,fast_food,-122.2246065,37.4912247
56,dancing_school,-122.2248563,37.4907748
57,fast_food,-122.2249937,37.4904577
58,cafe,-122.2251329,37.4903925
59,cafe,-122.2582845,37.5235245
60,toilets,-122.2679318,37.5293693
61,school,-122.246437,37.5433258
62,parking_entrance,-122.2546208,37.524513
63,parking_entrance,-122.2548301,37.5244977
64,parking_entrance,-122.253591,37.5245651
65,parking_entrance,-122.269881,37.5304307
66,parking_entrance,-122.269783,37.5306143
67,restaurant,-122.230871,37.4852026
68,fast_food,-122.2309301,37.4851601
69,fast_food,-122.232435,37.4846025
70,cafe,-122.2325408,37.4845049
71,restaurant,-122.2321264,37.4848885
72,post_office,-122.2322516,37.4847789
73,fast_food,-122.2320638,37.4849399
74,theatre,-122.2296235,37.4863508
75,fast_food,-122.2291499,37.4815156
76,ice_cream,-122.227545,37.4807821
77,prep_school,-122.227351,37.4806418
78,fast_food,-122.227624,37.4808426
79,nightclub,-122.2261511,37.4793526
80,dentist,-122.2307364,37.4850574
81,cafe,-122.2320743,37.5425839
82,restaurant,-122.224505,37.4781701
83,restaurant,-122.2253266,37.478735
84,restaurant,-122.2248904,37.4784488
85,fast_food,-122.2233755,37.4769298
86,fast_food,-122.2236866,37.470749
87,doctors,-122.2232277,37.4688251
88,restaurant,-122.2230203,37.4693707
89,restaurant,-122.2230022,37.4692303
90,bar,-122.2229662,37.4692991
91,dentist,-122.2184822,37.4737972
92,restaurant,-122.2184261,37.4737608
93,restaurant,-122.2164629,37.4746843
94,restaurant,-122.216922,37.4739471
95,restaurant,-122.226001,37.4847062
96,restaurant,-122.226881,37.4843104
97,restaurant,-122.2260346,37.48491
98,cafe,-122.226423,37.486043
99,restaurant,-122.226103,37.4860027
100,bar,-122.226965,37.4864594
101,restaurant,-122.2272418,37.4867084
102,fast_food,-122.2272448,37.4863082
103,restaurant,-122.2272384,37.4864424
104,pub,-122.2271518,37.4867135
105,restaurant,-122.2268922,37.4867284
106,parking_entrance,-122.2274238,37.4869909
107,restaurant,-122.2278278,37.4866909
108,cafe,-122.2276128,37.4866985
109,fast_food,-122.2277768,37.4866926
110,restaurant,-122.2280248,37.4866833
111,restaurant,-122.2279538,37.4866867
112,fast_food,-122.2278908,37.4866892
113,restaurant,-122.2289417,37.4859853
