,amenity,longitude,latitude
0,school,-77.5444676,34.89221
1,school,-77.5405568,34.8988642
2,police,-77.5479298,34.8966163
3,library,-77.5480528,34.8976537
4,fountain,-77.5481172,34.896733
5,restaurant,-77.547064,34.8925588
6,fast_food,-77.5470773,34.8924236
7,fast_food,-77.5470799,34.8923559
8,fast_food,-77.556792,34.9051292
9,fast_food,-77.5488746,34.8869859
10,fuel,-77.5488338,34.8865517
11,fuel,-77.5541746,34.9023868
12,fast_food,-77.5482543,34.8920202
13,fast_food,-77.548264,34.8937203
14,restaurant,-77.5503424,34.8992356
15,fast_food,-77.5509289,34.9002603
16,cafe,-77.5525038,34.9015443
17,car_wash,-77.5555289,34.903353
18,restaurant,-77.557053,34.9036011
