,amenity,longitude,latitude
0,bank,-122.6828038,45.8155805
1,restaurant,-122.6829434,45.8155635
2,fast_food,-122.6843791,45.8155923
3,restaurant,-122.6839694,45.8155888
4,veterinary,-122.6833322,45.8155558
5,restaurant,-122.6835165,45.8155499
6,dentist,-122.6830855,45.8155617
7,cafe,-122.6901752,45.8154361
8,bank,-122.6898855,45.8154423
9,restaurant,-122.7459608,45.8166377
10,theatre,-122.7464959,45.8151669
11,post_box,-122.746374,45.8166498
12,cafe,-122.7443757,45.8154982
13,community_centre,-122.7459108,45.8170338
14,cafe,-122.7462821,45.815776
15,toilets,-122.749384,45.8168262
16,atm,-122.6897505,45.8152168
17,atm,-122.7460152,45.8154828
18,post_box,-122.6891731,45.8156691
19,bench,-122.7322713,45.8065886
20,bench,-122.733656,45.807257
21,cafe,-122.7018286,45.8150214
22,charging_station,-122.7015073,45.8146354
23,pharmacy,-122.7018252,45.8143793
24,fast_food,-122.7012287,45.813981
25,dentist,-122.7017121,45.8154015
26,pub,-122.7006573,45.8140457
27,bench,-122.711287,45.8186075
28,bench,-122.7112077,45.8184595
29,bench,-122.7142865,45.8190229
30,fast_food,-122.7014397,45.8154014
31,fast_food,-122.7035925,45.8154139
32,bench,-122.7302196,45.8053583
33,public_bookcase,-122.7272413,45.8208727
34,public_bookcase,-122.7138804,45.8163663
35,public_bookcase,-122.7030528,45.8219675
36,polling_station,-122.741705,45.8159532
37,public_bookcase,-122.7289059,45.8025534
38,letter_box,-122.703652,45.8033718
39,restaurant,-122.7046824,45.814723
40,letter_box,-122.7015546,45.8144519
41,bar,-122.7040813,45.8140272
42,polling_station,-122.6830745,45.8175729
43,charging_station,-122.6830906,45.8177685
44,veterinary,-122.7037536,45.8131174
45,fast_food,-122.7458331,45.8166393
46,compressed_air,-122.682075,45.8152852
47,parcel_locker,-122.681537,45.8156762
48,fuel,-122.6916223,45.8203828
49,dentist,-122.6950842,45.8163025
