,amenity,longitude,latitude
0,school,-73.6387405,40.6631582
1,school,-73.6488889,40.6627778
2,school,-73.6464917,40.6601882
3,place_of_worship,-73.6505556,40.6508333
4,place_of_worship,-73.6475384,40.6591879
5,place_of_worship,-73.6463127,40.6596324
6,place_of_worship,-73.646275,40.6566371
7,place_of_worship,-73.6227234,40.6710554
8,post_office,-73.646327,40.6561319
9,arts_centre,-73.6257656,40.6870179
10,cafe,-73.6450795,40.6568909
11,restaurant,-73.6453589,40.6570875
12,restaurant,-73.6456878,40.658609
13,parking,-73.6459041,40.6610255
14,post_box,-73.6499191,40.6529141
15,fire_station,-73.6496798,40.6554277
16,post_box,-73.6483861,40.6625991
17,post_box,-73.6485758,40.66397
18,restaurant,-73.6417465,40.6574023
19,restaurant,-73.6454686,40.6563318
20,cinema,-73.6453966,40.6567873
21,post_box,-73.6420944,40.6565692
22,clinic,-73.6469322,40.6565238
23,restaurant,-73.6470991,40.6565411
24,clock,-73.6452047,40.6576052
25,restaurant,-73.6489127,40.6576678
26,restaurant,-73.6455133,40.6560721
27,restaurant,-73.6451349,40.6564338
28,ice_cream,-73.6451196,40.6565574
29,restaurant,-73.6453797,40.6569767
30,nightclub,-73.645047,40.6570422
31,bank,-73.6428599,40.6560631
32,place_of_worship,-73.6275081,40.6853827
33,theatre,-73.6276203,40.6861516
34,post_box,-73.651733,40.6639609
35,bicycle_parking,-73.6264587,40.6865236
36,post_box,-73.6259779,40.6862036
37,bicycle_parking,-73.6271405,40.6866469
38,post_box,-73.6264494,40.6836439
39,restaurant,-73.6293359,40.6602291
40,post_box,-73.6467408,40.6621847
41,fuel,-73.6404778,40.6566807
42,restaurant,-73.6476343,40.6577207
43,restaurant,-73.6373483,40.6571852
44,fast_food,-73.6314382,40.6568508
45,recycling,-73.6554737,40.6572867
46,post_box,-73.6378064,40.6652811
47,cafe,-73.6449481,40.657602
48,bicycle_parking,-73.6479217,40.6576577
49,restaurant,-73.6440465,40.6575724
50,bicycle_parking,-73.6450974,40.6582221
51,restaurant,-73.6453791,40.6558087
52,drinking_water,-73.6404116,40.6572437
53,bicycle_parking,-73.6449,40.6582
54,restaurant,-73.6455489,40.6586055
55,taxi,-73.6457194,40.6582851
56,restaurant,-73.6477868,40.65642
57,restaurant,-73.6465503,40.6570771
58,restaurant,-73.647314,40.6573676
59,post_box,-73.6361264,40.6735648
60,post_box,-73.6424662,40.6509142
61,bench,-73.6263293,40.6572175
62,restaurant,-73.6437448,40.6571484
63,ice_cream,-73.6456107,40.6560918
64,restaurant,-73.6451554,40.6560329
65,restaurant,-73.6450255,40.6560191
66,restaurant,-73.6447673,40.6562258
67,restaurant,-73.6451548,40.6563195
68,ice_cream,-73.6453952,40.6566411
69,bicycle_parking,-73.6454769,40.65827
70,post_box,-73.6410619,40.6558183
71,post_box,-73.6482721,40.6555962
72,post_box,-73.6511799,40.6548352
73,bicycle_parking,-73.6474082,40.6583507
74,post_box,-73.6476844,40.6583812
75,restaurant,-73.6476559,40.6581653
76,restaurant,-73.6476739,40.6579629
77,pub,-73.647978,40.6581339
78,restaurant,-73.6479246,40.6578206
79,dojo,-73.647926,40.6577626
80,pharmacy,-73.6482426,40.6571533
81,atm,-73.6478509,40.6568126
82,post_box,-73.6478427,40.6570489
83,events_venue,-73.6475779,40.6572241
84,restaurant,-73.6475459,40.6570196
85,restaurant,-73.6475435,40.6569771
86,events_venue,-73.6475051,40.6566997
87,bench,-73.6533583,40.6548032
88,post_box,-73.6536437,40.6527079
