,amenity,longitude,latitude
0,cinema,-118.372489,33.7719409
1,post_office,-118.365293,33.7691682
2,restaurant,-118.3683937,33.7692964
3,cafe,-118.3763738,33.7739467
4,fast_food,-118.3751955,33.7748203
5,restaurant,-118.3750689,33.7743697
6,library,-118.3710922,33.7699454
7,pharmacy,-118.36734,33.7694572
8,restaurant,-118.370639,33.7701928
9,parking_entrance,-118.372945,33.771182
10,parking_entrance,-118.374571,33.7722918
11,fast_food,-118.3715289,33.7721634
12,restaurant,-118.374312,33.7727014
13,cafe,-118.3760454,33.7747792
14,parking_entrance,-118.375186,33.7722087
15,fast_food,-118.366892,33.7694054
16,parking_entrance,-118.372493,33.7707307
17,parking_entrance,-118.3749023,33.7718133
18,parking_entrance,-118.374056,33.7712339
19,parking_entrance,-118.32491,33.7758607
20,parking_entrance,-118.324687,33.7760988
21,parking_entrance,-118.3246066,33.7765147
22,post_box,-118.366197,33.7697981
23,post_box,-118.3657125,33.7690125
24,parking_entrance,-118.3710233,33.77092
25,bench,-118.353105,33.7927438
26,post_depot,-118.376317,33.7746954
27,fast_food,-118.3774711,33.7750409
28,fast_food,-118.375841,33.776122
29,restaurant,-118.373896,33.7720451
30,restaurant,-118.373743,33.7719256
31,restaurant,-118.374261,33.7722842
32,restaurant,-118.374181,33.7722561
33,fast_food,-118.373468,33.7727323
34,charging_station,-118.374047,33.7717666
35,toilets,-118.376822,33.7746621
36,parking_entrance,-118.3717877,33.771186
37,parking_entrance,-118.3719158,33.7710468
38,fast_food,-118.37302,33.7714103
39,restaurant,-118.3732066,33.7720109
40,prep_school,-118.373634,33.7727218
41,clinic,-118.3735807,33.7727051
42,clinic,-118.375116,33.772525
43,parking_entrance,-118.375217,33.7721757
44,parking_entrance,-118.375144,33.7722522
45,parking_entrance,-118.37464,33.7723394
46,parking_entrance,-118.3730267,33.7712367
47,parking_entrance,-118.3709375,33.7718011
48,cafe,-118.3768938,33.7743268
49,theatre,-118.3270631,33.7718816
50,toilets,-118.327178,33.7722438
51,theatre,-118.3268734,33.772164
52,bench,-118.3349439,33.7670512
53,bench,-118.3357521,33.7672905
54,bench,-118.334134,33.7683357
55,bench,-118.3334124,33.7685474
56,bench,-118.332524,33.7693612
57,bench,-118.330612,33.7695501
58,bench,-118.33002,33.7696551
59,bench,-118.3290084,33.7698248
60,bench,-118.328981,33.769821
61,bench,-118.3334665,33.7685006
62,bench,-118.3266337,33.7716044
63,drinking_water,-118.3261671,33.7713234
64,waste_basket,-118.3273034,33.7703245
65,bench,-118.3261786,33.7710174
66,bench,-118.3261693,33.7710302
67,bench,-118.326445,33.7707727
68,bench,-118.3264595,33.7707898
69,public_bookcase,-118.3269602,33.772336
70,shelter,-118.326184,33.7706607
71,bench,-118.3262701,33.7711187
72,vending_machine,-118.3289445,33.7697902
73,doctors,-118.373757,33.7718836
74,fast_food,-118.3754468,33.7742176
75,fast_food,-118.3751556,33.7743348
76,bank,-118.3761086,33.7747509
77,fast_food,-118.375727,33.7761329
78,restaurant,-118.376239,33.775936
79,fast_food,-118.3762872,33.7760717
80,post_office,-118.3763244,33.7746537
81,ice_cream,-118.3769501,33.7749057
82,charging_station,-118.377541,33.7755188
83,fast_food,-118.3752634,33.7750566
84,bicycle_parking,-118.3751447,33.7732512
85,parking_entrance,-118.3744331,33.7721984
86,dojo,-118.3736955,33.7722443
87,prep_school,-118.3685925,33.7693468
88,cafe,-118.3719864,33.7706848
89,clinic,-118.3717629,33.7713766
90,parking_entrance,-118.3704741,33.7705585
91,library_dropoff,-118.371217,33.7704614
92,parking_entrance,-118.3756112,33.7741605
93,parking_entrance,-118.3757302,33.7743435
94,bicycle_parking,-118.3757396,33.7743467
95,parking_entrance,-118.375486,33.7740358
96,parking_entrance,-118.3753764,33.7740807
97,parking_entrance,-118.375278,33.7741209
98,fast_food,-118.3676979,33.7695153
99,fountain,-118.364413,33.7687413
100,fountain,-118.3824059,33.7666586
101,fountain,-118.3825748,33.7676654
102,vending_machine,-118.3811067,33.7663341
103,fountain,-118.3827567,33.7669692
104,waste_basket,-118.3818832,33.7665814
105,parking_entrance,-118.3762678,33.7721973
