,amenity,longitude,latitude
0,school,-81.4591219,30.0859196
1,place_of_worship,-81.5434182,29.9932989
2,place_of_worship,-81.5053594,29.9058004
3,place_of_worship,-81.5373064,29.968577
4,place_of_worship,-81.4564674,29.8552458
5,place_of_worship,-81.6512849,30.0723124
6,place_of_worship,-81.6431569,30.0787055
7,place_of_worship,-81.6267572,30.1005193
8,place_of_worship,-81.4620199,29.6769147
9,place_of_worship,-81.3011791,29.6585831
10,place_of_worship,-81.33606,29.8151688
11,place_of_worship,-81.4597976,29.6780258
12,place_of_worship,-81.5900479,29.9949797
13,place_of_worship,-81.5533737,29.919025
14,place_of_worship,-81.6264343,30.1128234
15,place_of_worship,-81.4715396,29.7767693
16,school,-81.3289621,29.887191
17,school,-81.3373206,29.9063249
18,place_of_worship,-81.3178507,29.9016354
19,place_of_worship,-81.3428521,29.9163572
20,place_of_worship,-81.3136948,29.9016821
21,place_of_worship,-81.3343507,29.9155825
22,post_office,-81.382527,30.194845
23,place_of_worship,-81.5281343,30.1010819
24,place_of_worship,-81.6564618,30.0645988
25,post_office,-81.6233078,30.1236703
26,school,-81.6357527,30.0853727
27,place_of_worship,-81.6276437,30.097587
28,library,-81.5088922,29.7114401
29,library,-81.385246,30.22455
30,library,-81.625632,30.107035
31,police,-81.3379935,29.9403321
32,police,-81.509032,29.7116863
33,shower,-81.2522884,29.7685218
34,shower,-81.2522562,29.7684473
35,parking,-81.2520845,29.670581
36,parking,-81.259026,29.6690615
37,fire_station,-81.3864506,30.22545
38,pharmacy,-81.3193494,29.7997255
39,parking,-81.2569606,29.6675497
40,bench,-81.3398604,30.0201789
41,bench,-81.3414096,30.0209516
42,bench,-81.3360319,30.0214408
43,bench,-81.3378245,30.0224019
44,bench,-81.3425897,30.0241032
45,bus_station,-81.3158922,29.8989612
46,bank,-81.3121543,29.8920647
47,ice_cream,-81.2667558,29.8561136
48,bar,-81.2945764,29.8933945
49,restaurant,-81.2952148,29.8929759
50,pub,-81.3135412,29.8944522
51,cafe,-81.3128419,29.8947002
52,restaurant,-81.3135963,29.8934591
53,ice_cream,-81.2721131,29.8286544
54,fast_food,-81.2719611,29.8281221
55,restaurant,-81.2719841,29.8282081
56,restaurant,-81.2709383,29.8298667
57,cafe,-81.272148,29.8287382
58,pub,-81.3111958,29.8920407
59,fast_food,-81.3130059,29.8939545
60,restaurant,-81.3128555,29.894768
61,dojo,-81.4505324,30.0779981
