,amenity,longitude,latitude
0,place_of_worship,-86.3015068,41.4774247
1,library,-86.3438985,41.5925468
2,place_of_worship,-86.1540507,41.7363538
3,place_of_worship,-86.214769,41.6316216
4,place_of_worship,-86.1571712,41.4957798
5,place_of_worship,-86.0983353,41.5358816
6,place_of_worship,-86.2916741,41.5647695
7,school,-86.2773406,41.7037984
8,place_of_worship,-86.2441734,41.7347703
9,place_of_worship,-86.0797233,41.4933815
10,place_of_worship,-86.3063967,41.5494915
11,place_of_worship,-86.350268,41.485877
12,place_of_worship,-86.2676026,41.5521868
13,school,-86.0997249,41.6086596
14,place_of_worship,-86.2631933,41.5711308
15,place_of_worship,-86.3484955,41.5071277
16,school,-86.1829699,41.6597355
17,school,-86.280897,41.639252
18,place_of_worship,-86.4330698,41.6822683
19,place_of_worship,-86.0626599,41.7363858
20,school,-86.1827828,41.6556038
21,place_of_worship,-86.2522092,41.6122718
22,place_of_worship,-86.1236142,41.5939372
23,place_of_worship,-86.2244497,41.5569923
24,place_of_worship,-86.1395562,41.6728843
25,place_of_worship,-86.1044468,41.5647706
26,place_of_worship,-86.087681,41.7554178
27,school,-86.0752814,41.664318
28,pharmacy,-86.3089703,41.6729129
29,pub,-86.3224327,41.6698334
30,restaurant,-86.2329406,41.6291394
31,restaurant,-86.231403,41.6292006
32,restaurant,-86.2295919,41.628923
33,restaurant,-86.2338861,41.6276308
34,fast_food,-86.2302494,41.6289257
35,pharmacy,-86.2355732,41.6288478
36,restaurant,-86.2148615,41.6654954
37,restaurant,-86.2160477,41.6980314
38,bank,-86.2283324,41.6291543
39,fast_food,-86.2357263,41.6275216
40,fast_food,-86.1921429,41.6806762
41,fast_food,-86.1957565,41.6824146
42,fountain,-86.2516128,41.7027288
43,fountain,-86.2516238,41.702124
44,fuel,-86.2312771,41.6297381
45,fast_food,-86.2315532,41.6303085
46,fuel,-86.2343035,41.6291464
47,library,-86.2514592,41.6733487
48,post_box,-86.2512181,41.6494774
49,post_box,-86.249945,41.6718876
50,pharmacy,-86.2502387,41.6847446
51,restaurant,-86.244435,41.6753976
52,shelter,-86.223495,41.660687
53,toilets,-86.1657947,41.6688693
54,fountain,-86.2503625,41.6781349
55,bank,-86.2499065,41.6766825
56,bank,-86.2515319,41.6761075
57,fuel,-86.194656,41.6805966
58,townhall,-86.1725735,41.6604809
59,library,-86.1787756,41.6605693
60,bank,-86.1795642,41.6603529
61,bank,-86.1789795,41.6614269
62,pharmacy,-86.1801963,41.6625089
63,bank,-86.1803535,41.6668702
64,pharmacy,-86.1809757,41.6665376
65,place_of_worship,-86.1231332,41.6521267
66,fuel,-86.1573146,41.6625228
67,post_box,-86.2521817,41.6340366
68,dentist,-86.1908235,41.7089361
69,restaurant,-86.1846265,41.6799743
70,fast_food,-86.1807278,41.7102691
71,fast_food,-86.1862624,41.7122836
72,fast_food,-86.1899162,41.6806828
73,restaurant,-86.1835013,41.6994817
74,restaurant,-86.1831087,41.6980981
75,bench,-86.4919182,41.6690521
76,bench,-86.4922634,41.6690816
77,bench,-86.4922082,41.6692577
78,fast_food,-86.2348103,41.6925586
79,restaurant,-86.2352192,41.6920501
80,fast_food,-86.2358119,41.6918354
81,library,-86.1927607,41.6777249
82,fountain,-86.1932382,41.6780195
83,fountain,-86.1922995,41.6780715
84,fast_food,-86.1893845,41.6807493
85,fast_food,-86.1961311,41.682227
86,sanitary_dump_station,-86.3695233,41.5563338
87,water_point,-86.3687017,41.5573369
88,bar,-86.3672372,41.7205402
89,restaurant,-86.1972745,41.6811754
90,restaurant,-86.2345233,41.6925613
91,pub,-86.235795,41.6925587
92,bar,-86.2350935,41.6913437
93,restaurant,-86.1938872,41.6797951
94,fuel,-86.1755397,41.6277491
95,fuel,-86.2160774,41.6298368
96,fuel,-86.1966285,41.6556164
97,fuel,-86.3216728,41.6714914
98,fuel,-86.3111668,41.6715225
99,fuel,-86.2854605,41.720541
100,fuel,-86.2387252,41.6780087
101,fuel,-86.2170893,41.7015339
102,fuel,-86.2168995,41.6993341
103,fuel,-86.1863978,41.6801179
104,fuel,-86.1879157,41.6952129
105,fuel,-86.1814596,41.6915046
106,fuel,-86.1574042,41.6801081
107,fuel,-86.1589028,41.6984435
108,post_office,-86.2351653,41.7057104
109,police,-86.2349823,41.7056717
110,fast_food,-86.2358491,41.6920394
111,restaurant,-86.2352213,41.6921387
112,fast_food,-86.2352195,41.6922033
113,bank,-86.2358199,41.6913517
114,restaurant,-86.1895547,41.6610823
115,place_of_worship,-86.2403974,41.7030251
116,shelter,-86.2936162,41.6765743
117,vending_machine,-86.2874069,41.6782942
118,vending_machine,-86.287415,41.6782842
119,toilets,-86.287482,41.6783252
120,toilets,-86.2874485,41.6783202
121,drinking_water,-86.2874217,41.6782711
122,fuel,-86.1163816,41.7533043
123,restaurant,-86.2513471,41.677892
124,charging_station,-86.2512143,41.6778655
125,fuel,-86.2563685,41.6277167
126,fast_food,-86.1101562,41.6843129
127,fuel,-86.1200447,41.6737709
128,parking,-86.2762921,41.6635568
129,charging_station,-86.2318999,41.6959812
130,charging_station,-86.2318309,41.6959817
131,cafe,-86.2349253,41.6925581
132,fast_food,-86.2511245,41.7248579
133,townhall,-86.0801403,41.6634787
134,police,-86.079974,41.6635188
135,restaurant,-86.1808279,41.7194028
136,parking_entrance,-86.2355644,41.6969249
137,bar,-86.1747977,41.7297316
138,bar,-86.2501254,41.67536
139,bicycle_repair_station,-86.2486506,41.6765762
140,cafe,-86.1870457,41.7123925
141,parking_entrance,-86.2181122,41.6652709
142,ice_cream,-86.2240014,41.694633
143,fast_food,-86.2242563,41.6946305
144,pharmacy,-86.2186947,41.7006237
145,post_office,-86.2188843,41.7002867
146,restaurant,-86.2175981,41.6989485
147,restaurant,-86.2505589,41.6738134
148,cafe,-86.2501287,41.6755951
149,fast_food,-86.2214449,41.697777
150,restaurant,-86.2212677,41.6977799
151,restaurant,-86.1911666,41.694444
152,restaurant,-86.1918835,41.695548
153,cafe,-86.2422488,41.6752631
154,childcare,-86.2337375,41.6793855
155,restaurant,-86.2522299,41.6781875
156,restaurant,-86.2522146,41.6773806
157,pub,-86.2522151,41.6772994
158,fast_food,-86.2510425,41.6765313
159,cafe,-86.2505829,41.6765332
160,bank,-86.2505856,41.6766437
161,bar,-86.2506088,41.6772445
162,restaurant,-86.2506088,41.677197
163,restaurant,-86.2509802,41.6776001
164,bar,-86.2510376,41.6748982
165,restaurant,-86.2505699,41.6751818
166,restaurant,-86.2505764,41.675373
167,restaurant,-86.25058,41.6755781
168,restaurant,-86.2501265,41.675468
169,fast_food,-86.2501246,41.6752772
170,cafe,-86.2501262,41.6751937
171,bar,-86.2496552,41.6738283
172,social_facility,-86.2505448,41.6744712
173,restaurant,-86.2505493,41.674629
174,bank,-86.2501072,41.6747495
175,pub,-86.2526466,41.6728046
176,pub,-86.2501004,41.6738278
177,nightclub,-86.2521582,41.6738685
178,music_school,-86.2505185,41.672507
179,bank,-86.2495296,41.6735164
180,bar,-86.2434571,41.6752433
181,bar,-86.2421474,41.6752559
182,restaurant,-86.1981161,41.6953236
183,fast_food,-86.1978079,41.6953311
184,restaurant,-86.1970796,41.694367
185,fast_food,-86.1973451,41.694367
186,dentist,-86.1974439,41.6894683
187,dentist,-86.1948209,41.6830149
188,restaurant,-86.1935308,41.6830203
189,music_school,-86.1935345,41.6833478
190,place_of_worship,-86.1935357,41.6834337
191,community_centre,-86.1932486,41.6834772
192,restaurant,-86.1932474,41.6834084
193,restaurant,-86.1927544,41.682521
194,dojo,-86.1972899,41.6820746
195,restaurant,-86.197287,41.6816947
196,bar,-86.2202818,41.6975094
197,bar,-86.2215586,41.6972768
198,cafe,-86.2218434,41.6975094
199,post_box,-86.2136786,41.6948657
200,training,-86.2358143,41.6922151
201,fast_food,-86.2158116,41.6660156
202,community_centre,-86.2239814,41.665643
203,childcare,-86.2240888,41.6656465
204,restaurant,-86.2246196,41.6656501
205,dojo,-86.2248204,41.6656508
206,fountain,-86.22025,41.6625508
207,cafe,-86.180851,41.6605575
208,restaurant,-86.1808456,41.6609805
209,restaurant,-86.1808797,41.6627084
210,restaurant,-86.1808811,41.6628985
211,restaurant,-86.1804279,41.6622987
212,restaurant,-86.1804185,41.6617761
213,restaurant,-86.1804185,41.661587
214,restaurant,-86.1804199,41.6612616
215,bar,-86.1801409,41.6612633
216,pub,-86.179877,41.6612637
217,pub,-86.1800134,41.6609708
218,clock,-86.1801514,41.6610299
219,dentist,-86.1814476,41.6602635
220,dentist,-86.2183887,41.6941241
221,restaurant,-86.2169584,41.6980254
222,dentist,-86.1868735,41.6980876
223,fast_food,-86.2151586,41.6995857
224,restaurant,-86.1888968,41.6982385
225,loading_dock,-86.2856042,41.7272436
226,loading_dock,-86.2936645,41.7283347
227,loading_dock,-86.2936698,41.7269599
228,pub,-86.2445822,41.679306
229,restaurant,-86.1836417,41.7246532
230,loading_dock,-86.2586162,41.6262919
231,loading_dock,-86.2586147,41.6258937
232,drinking_water,-86.2402871,41.6882416
233,charging_station,-86.1886076,41.7173138
234,drinking_water,-86.2499832,41.6311162
235,pharmacy,-86.2159175,41.6940435
236,bench,-86.2102051,41.6609927
237,bench,-86.2098369,41.6608398
238,restaurant,-86.2147014,41.6656151
239,place_of_worship,-86.2143793,41.665617
240,restaurant,-86.2141001,41.6655951
241,school,-86.2129277,41.6656
242,place_of_worship,-86.21284,41.6656
243,fast_food,-86.1777076,41.7133492
244,fast_food,-86.1106154,41.7511435
245,vending_machine,-86.1122493,41.7529946
246,vending_machine,-86.1187638,41.7516493
