,amenity,longitude,latitude
0,bicycle_parking,-90.2617836,38.6436154
1,school,-90.2265011,38.6208847
2,social_facility,-90.231192,38.6784638
3,school,-90.2428909,38.577552
4,hospital,-90.2390457,38.6229713
5,hospital,-90.2392793,38.6214405
6,school,-90.3126705,38.5962456
7,school,-90.3045593,38.6072743
8,school,-90.2356682,38.616996
9,place_of_worship,-90.2831692,38.6781069
10,school,-90.2762879,38.6635177
11,school,-90.2928921,38.6256074
12,school,-90.2445566,38.6964398
13,school,-90.2353903,38.616996
14,place_of_worship,-90.2567792,38.7064398
15,school,-90.2762254,38.5625524
16,school,-90.2740023,38.6708846
17,school,-90.2853916,38.6611626
18,place_of_worship,-90.27178,38.6761623
19,place_of_worship,-90.2576126,38.6967177
20,place_of_worship,-90.2937255,38.6256074
21,school,-90.2528908,38.6303294
22,school,-90.2273342,38.6522734
23,school,-90.2087223,38.666162
24,place_of_worship,-90.2326117,38.7106062
25,school,-90.2089272,38.6659929
26,place_of_worship,-90.2498345,38.7042176
27,place_of_worship,-90.2328895,38.7150506
28,place_of_worship,-90.2115242,38.6566524
29,place_of_worship,-90.2178896,38.6361623
30,place_of_worship,-90.1926109,38.6372732
31,place_of_worship,-90.2059937,38.6420083
32,school,-90.238544,38.6612436
33,place_of_worship,-90.262588,38.5932103
34,school,-90.2653919,38.5442192
35,school,-90.2901144,38.6106076
36,place_of_worship,-90.3103928,38.6183853
37,school,-90.3128929,38.6094965
38,place_of_worship,-90.2429015,38.6113348
39,place_of_worship,-90.2395856,38.5797103
40,school,-90.2357731,38.5801045
41,school,-90.236224,38.5733853
42,nursing_home,-90.240009,38.5632936
43,place_of_worship,-90.2312238,38.5833851
44,place_of_worship,-90.2201121,38.6044959
45,place_of_worship,-90.2759259,38.5749379
46,place_of_worship,-90.2264,38.6114
47,place_of_worship,-90.2529,38.6202
48,place_of_worship,-90.2401099,38.681777
49,place_of_worship,-90.262,38.6609
50,place_of_worship,-90.2495,38.6204
51,place_of_worship,-90.2274,38.582
52,place_of_worship,-90.2663425,38.5848515
53,place_of_worship,-90.2302414,38.7143857
54,place_of_worship,-90.2702,38.6537
55,place_of_worship,-90.2449,38.5844
56,place_of_worship,-90.2267,38.5963
57,place_of_worship,-90.2398,38.5731
58,place_of_worship,-90.297031,38.6054555
59,place_of_worship,-90.2648,38.6096
60,place_of_worship,-90.224244,38.650255
61,place_of_worship,-90.2506,38.7081
62,place_of_worship,-90.2496607,38.7073457
63,place_of_worship,-90.249,38.5745
64,place_of_worship,-90.2198,38.6697
65,place_of_worship,-90.2698,38.652
66,place_of_worship,-90.3017826,38.5942141
67,place_of_worship,-90.2725,38.668
68,place_of_worship,-90.2756,38.6251
69,place_of_worship,-90.2725323,38.6836067
70,place_of_worship,-90.1979737,38.6305335
71,place_of_worship,-90.2252956,38.6461297
72,place_of_worship,-90.229,38.7108
73,place_of_worship,-90.243581,38.5994587
74,place_of_worship,-90.249359,38.7025314
75,place_of_worship,-90.2493,38.7025
76,place_of_worship,-90.3068,38.6178
77,place_of_worship,-90.2328,38.5916
78,place_of_worship,-90.2760063,38.5748939
79,place_of_worship,-90.2365,38.6458
80,place_of_worship,-90.2831,38.678
81,place_of_worship,-90.2891,38.5931
82,place_of_worship,-90.2503,38.706
83,place_of_worship,-90.2595,38.6998
84,place_of_worship,-90.1934544,38.650138
85,place_of_worship,-90.253,38.7104
86,place_of_worship,-90.2489,38.7031
87,place_of_worship,-90.2551,38.6485
88,place_of_worship,-90.2485838,38.575701
89,place_of_worship,-90.3078,38.6009
90,place_of_worship,-90.2387,38.5727
91,place_of_worship,-90.2562,38.625
92,place_of_worship,-90.2565,38.6259
93,place_of_worship,-90.2246136,38.5983797
94,place_of_worship,-90.243425,38.659652
95,place_of_worship,-90.3074,38.6251
96,place_of_worship,-90.2545,38.5563
97,place_of_worship,-90.2727946,38.6688316
98,place_of_worship,-90.2319,38.662
99,place_of_worship,-90.2995,38.608
100,place_of_worship,-90.2603,38.5512
101,place_of_worship,-90.2596,38.6256
102,place_of_worship,-90.236014,38.716416
103,place_of_worship,-90.243371,38.5739186
104,place_of_worship,-90.2457,38.7174
105,place_of_worship,-90.2527362,38.6600241
106,place_of_worship,-90.2552,38.6167
107,place_of_worship,-90.2330759,38.6870298
108,place_of_worship,-90.2321,38.7104
109,place_of_worship,-90.2846,38.6523
110,place_of_worship,-90.279,38.6743
111,place_of_worship,-90.235443,38.6571628
112,place_of_worship,-90.2562,38.7066
113,place_of_worship,-90.2147224,38.5939614
114,place_of_worship,-90.2145321,38.5943877
115,place_of_worship,-90.3117,38.5984
116,place_of_worship,-90.2500598,38.7079265
117,place_of_worship,-90.2714,38.6688
118,place_of_worship,-90.2379,38.6872
119,place_of_worship,-90.2106029,38.6084115
120,place_of_worship,-90.2337,38.7155
121,school,-90.269353,38.691967
122,school,-90.293116,38.6254
123,school,-90.2789329,38.6011599
124,school,-90.2309523,38.6165055
125,school,-90.2782,38.5644
126,school,-90.2768,38.6739
127,school,-90.2563105,38.6091039
128,hospital,-90.275933,38.653886
129,clinic,-90.2400844,38.6232559
130,clinic,-90.2375733,38.6221039
131,hospital,-90.2635516,38.6376806
132,post_office,-90.2293506,38.7147334
133,post_office,-90.2115249,38.668811
134,post_office,-90.27,38.5905
135,post_office,-90.1971598,38.6295328
136,post_office,-90.1907973,38.6269469
137,post_office,-90.2006,38.6073
138,post_office,-90.2426133,38.5992773
139,school,-90.2422136,38.5782458
140,school,-90.2574,38.6643
141,school,-90.2720934,38.6289163
142,school,-90.2385,38.6185
143,school,-90.2549488,38.6744026
144,school,-90.263345,38.6153941
145,school,-90.3144,38.6095
146,clinic,-90.2402261,38.615592
147,kindergarten,-90.2529,38.6154
148,kindergarten,-90.2561812,38.6250712
149,courthouse,-90.2350845,38.6439334
150,toilets,-90.2774515,38.6442774
151,fountain,-90.2916222,38.6427489
152,fountain,-90.291133,38.6424606
153,fountain,-90.2913733,38.642226
154,fountain,-90.291605,38.6419914
155,fountain,-90.2920084,38.6412003
156,fountain,-90.2929268,38.6417433
157,fountain,-90.2920857,38.6422729
158,fountain,-90.2918539,38.6425143
159,toilets,-90.2852021,38.635743
160,toilets,-90.2972784,38.6344826
161,restaurant,-90.2902551,38.6354426
162,restaurant,-90.2920318,38.634367
163,restaurant,-90.2904761,38.634817
164,restaurant,-90.2892509,38.6368141
165,toilets,-90.2797649,38.6327133
166,toilets,-90.3029247,38.5708413
167,restaurant,-90.3015789,38.655502
168,cafe,-90.26892,38.580263
169,cafe,-90.3004479,38.6495713
170,pub,-90.2095285,38.6297291
171,restaurant,-90.2122649,38.6297815
172,restaurant,-90.2125332,38.6310017
173,clock,-90.2123559,38.5974595
174,bar,-90.1998292,38.6081742
175,drinking_water,-90.2621927,38.6095816
176,parking,-90.2624261,38.6409948
177,toilets,-90.2700261,38.6273548
178,drinking_water,-90.2695534,38.6278761
179,toilets,-90.2696139,38.6279229
180,fast_food,-90.2426914,38.6014659
181,pub,-90.2465018,38.599658
182,restaurant,-90.2426605,38.6016618
183,bar,-90.2476696,38.5940996
184,restaurant,-90.2479828,38.5919409
185,pub,-90.2398697,38.6022666
186,restaurant,-90.2476256,38.5921845
187,bar,-90.2691433,38.603998
188,restaurant,-90.2814069,38.6301116
189,bar,-90.2503604,38.6163823
190,pub,-90.2512321,38.6107902
191,waste_basket,-90.2514046,38.6114029
192,school,-90.2555128,38.6200582
193,bar,-90.2555584,38.6193331
194,restaurant,-90.2553854,38.6193656
195,restaurant,-90.2605513,38.6484744
196,pub,-90.2610203,38.649112
197,bar,-90.2614881,38.6403194
198,place_of_worship,-90.2055001,38.6311722
199,restaurant,-90.1980777,38.6322073
200,restaurant,-90.194476,38.6314111
201,restaurant,-90.1933933,38.6311935
202,restaurant,-90.1958917,38.6314274
203,bar,-90.1974906,38.6317512
204,cafe,-90.1942524,38.630381
205,pub,-90.1992257,38.6321547
206,restaurant,-90.1981774,38.6318671
207,cafe,-90.1994053,38.6321801
208,restaurant,-90.1984999,38.6309895
209,restaurant,-90.1980658,38.6318427
210,cafe,-90.2286084,38.6367406
211,cinema,-90.2311677,38.6378958
212,restaurant,-90.228793,38.6368266
213,restaurant,-90.2311142,38.6385391
214,restaurant,-90.2316019,38.6386655
215,restaurant,-90.2316674,38.6385632
216,restaurant,-90.2539569,38.627231
217,bbq,-90.2481306,38.6157613
218,restaurant,-90.2674701,38.6164434
219,drinking_water,-90.25904,38.61329
220,post_box,-90.2239811,38.605381
221,parking_entrance,-90.2191515,38.6308762
222,parking_entrance,-90.219412,38.6309347
223,parking_entrance,-90.2188165,38.630801
224,parking_entrance,-90.2060357,38.6261593
225,parking_entrance,-90.2342027,38.631847
226,parking_entrance,-90.2271917,38.6358788
227,parking_entrance,-90.2260083,38.6352017
228,fuel,-90.2254496,38.6350217
229,toilets,-90.201865,38.6618081
230,fuel,-90.1980971,38.6613306
231,bank,-90.210936,38.668611
232,fuel,-90.2033829,38.6737908
233,fast_food,-90.2027043,38.673415
234,fuel,-90.2025998,38.6732601
235,bank,-90.2116897,38.6689691
236,shelter,-90.2149633,38.6648665
237,parking,-90.2332097,38.6232663
238,parking_entrance,-90.2402919,38.6213313
239,parking,-90.2402612,38.6217826
240,parking_entrance,-90.2402496,38.6222448
241,parking_entrance,-90.240115,38.6222171
242,toilets,-90.2389397,38.6138802
243,pub,-90.225791,38.637929
244,bar,-90.225694,38.5934179
245,animal_shelter,-90.2370883,38.5945869
246,restaurant,-90.2363606,38.5947899
247,pub,-90.2188428,38.5923339
248,university,-90.2981444,38.6574276
249,restaurant,-90.2931215,38.5845507
250,restaurant,-90.2823514,38.5786778
251,restaurant,-90.2182038,38.6065388
252,fast_food,-90.2935995,38.579517
253,restaurant,-90.2939683,38.5797781
254,toilets,-90.29192,38.634814
255,restaurant,-90.1948448,38.6290615
