,amenity,longitude,latitude
0,place_of_worship,-92.1334984,37.8247628
1,restaurant,-92.1412226,37.8220376
2,restaurant,-92.1470677,37.8242816
3,restaurant,-92.1452626,37.8255042
4,restaurant,-92.1450266,37.8261525
5,fast_food,-92.1491066,37.8239614
6,restaurant,-92.1484387,37.8240864
7,restaurant,-92.145849,37.8270651
8,restaurant,-92.1572685,37.8259804
9,post_office,-92.1563002,37.8252548
10,loading_dock,-92.1515285,37.8257305
11,loading_dock,-92.1517321,37.8244886
12,fast_food,-92.1565349,37.8252516
13,fast_food,-92.143744,37.8256893
14,fuel,-92.1450023,37.826772
15,bank,-92.1437856,37.8094531
16,fuel,-92.1412389,37.8157143
