,amenity,longitude,latitude
0,school,-100.4834282,31.4623831
1,place_of_worship,-100.4128696,31.4471061
2,school,-100.4592607,31.4787717
3,school,-100.4287039,31.4857164
4,place_of_worship,-100.4242593,31.4809942
5,school,-100.4517605,31.4926604
6,place_of_worship,-100.4170367,31.4676613
7,school,-100.428736,31.4528089
8,school,-100.4142585,31.4396063
9,school,-100.4466837,31.4713401
10,school,-100.4575938,31.4729386
11,school,-100.4070364,31.4823832
12,school,-100.4473159,31.5021046
13,school,-100.4775944,31.4479391
14,social_facility,-100.4312427,31.4775707
15,place_of_worship,-100.4706497,31.443217
16,school,-100.4350927,31.4421061
17,school,-100.4395374,31.4437727
18,school,-100.4535511,31.4505278
19,school,-100.445371,31.4479393
20,school,-100.4717611,31.4762717
21,school,-100.4298148,31.4526615
22,school,-100.4139778,31.4400055
23,school,-100.4599307,31.4328858
24,school,-100.4539828,31.4998824
25,school,-100.4081476,31.4818277
26,school,-100.4425935,31.5040491
27,school,-100.4484271,31.5021046
28,school,-100.4768128,31.4485287
29,school,-100.4534269,31.4509947
30,school,-100.4042582,31.4468285
31,school,-100.458705,31.4787718
32,school,-100.4298151,31.4854386
33,school,-100.4517602,31.4601611
34,school,-100.452316,31.4926604
35,school,-100.4362207,31.4681906
36,school,-100.4462043,31.4484948
37,place_of_worship,-100.4506494,31.5018269
38,place_of_worship,-100.4553712,31.4293285
39,place_of_worship,-100.4884656,31.447906
40,place_of_worship,-100.4434137,31.4755981
41,place_of_worship,-100.4567605,31.4726608
42,place_of_worship,-100.4460912,31.450875
43,place_of_worship,-100.418737,31.4677989
44,place_of_worship,-100.4475935,31.4732165
45,place_of_worship,-100.4189812,31.4665502
46,place_of_worship,-100.4528717,31.5009935
47,place_of_worship,-100.4859279,31.4173842
48,place_of_worship,-100.4467602,31.4776608
49,place_of_worship,-100.4381486,31.459328
50,place_of_worship,-100.451542,31.4760385
51,place_of_worship,-100.4345372,31.4415506
52,place_of_worship,-100.4431489,31.4796052
53,place_of_worship,-100.4512046,31.4659943
54,place_of_worship,-100.4720202,31.4507004
55,place_of_worship,-100.4803725,31.4662719
56,place_of_worship,-100.4542766,31.4809055
57,place_of_worship,-100.4131475,31.4473839
58,place_of_worship,-100.4384266,31.4876606
59,place_of_worship,-100.4781502,31.4665497
60,place_of_worship,-100.4400962,31.4734517
61,place_of_worship,-100.4378708,31.4648833
62,place_of_worship,-100.4501874,31.4772645
63,place_of_worship,-100.4567605,31.4751608
64,place_of_worship,-100.4775944,31.4471057
65,place_of_worship,-100.4550938,31.4765496
66,place_of_worship,-100.4474836,31.4398445
67,place_of_worship,-100.4445377,31.4534947
68,place_of_worship,-100.3941976,31.4797448
69,place_of_worship,-100.4348149,31.4473838
70,place_of_worship,-100.4542053,31.4560779
71,place_of_worship,-100.4537049,31.4893272
72,place_of_worship,-100.4562049,31.4718275
