,amenity,longitude,latitude
0,restaurant,-98.6622226,29.5495853
1,restaurant,-98.6648827,29.5543142
2,fast_food,-98.6653805,29.5494236
3,parking,-98.4817805,29.4633473
4,school,-98.5275179,29.4168999
5,school,-98.5036283,29.4052337
6,place_of_worship,-98.5405745,29.5277294
7,place_of_worship,-98.4439047,29.4099559
8,school,-98.5583522,29.4257885
9,school,-98.5641856,29.4274551
10,school,-98.5052958,29.5380068
11,school,-98.5208511,29.4074558
12,school,-98.5852975,29.4655094
13,school,-98.4139039,29.4071783
14,school,-98.5125175,29.4121778
15,school,-98.5380739,29.433566
16,school,-98.5825194,29.4232886
17,school,-98.4886283,29.4546763
18,school,-98.4377934,29.411067
19,school,-98.5169623,29.4413435
20,place_of_worship,-98.4702951,29.5985603
21,school,-98.4025149,29.4416216
22,school,-98.5305739,29.4680093
23,school,-98.4211263,29.4138448
24,school,-98.5152955,29.4357882
25,school,-98.4900172,29.4602317
26,school,-98.403039,29.4144371
27,school,-98.5508518,29.3971783
28,school,-98.5711302,29.4321771
29,school,-98.4970531,29.4763594
30,school,-98.500017,29.3816234
31,school,-98.5230738,29.4774533
32,school,-98.4910755,29.4254279
33,school,-98.4672387,29.439677
34,school,-98.4815039,29.3986031
35,school,-98.5472409,29.4696758
36,school,-98.4352939,29.506897
37,school,-98.4777942,29.3835678
38,school,-98.4060216,29.4946062
39,school,-98.4311265,29.3977342
40,school,-98.5330404,29.4279177
41,school,-98.5186292,29.4780089
42,school,-98.4872386,29.3499579
43,school,-98.3844583,29.297738
44,school,-98.4216817,29.3627355
45,place_of_worship,-98.4958499,29.3346806
46,school,-98.4927943,29.3307919
47,school,-98.5342105,29.359888
48,school,-98.4617983,29.3363287
49,place_of_worship,-98.451175,29.3182024
50,school,-98.5274418,29.372793
51,school,-98.5516849,29.3602352
52,place_of_worship,-98.5572437,29.3490465
53,school,-98.5458515,29.3677349
54,school,-98.4991834,29.3385693
55,doctors,-98.4809303,29.4273209
56,place_of_worship,-98.5415439,29.3463364
57,school,-98.4354172,29.4943671
58,place_of_worship,-98.5152955,29.4352326
59,school,-98.5825165,29.4242964
60,school,-98.5125175,29.4119001
61,school,-98.4691832,29.4316217
62,school,-98.503316,29.4045582
63,school,-98.431127,29.4896753
64,school,-98.4311265,29.3982898
65,school,-98.402701,29.4420922
66,school,-98.4880721,29.3502357
67,school,-98.5525182,29.3602352
68,school,-98.4736277,29.4232887
69,school,-98.4877943,29.3491246
70,school,-98.4222375,29.413567
71,school,-98.5159655,29.5069171
72,school,-98.48264,29.6069258
73,school,-98.3502975,29.5960537
74,school,-98.4133484,29.4071783
75,school,-98.3988817,29.4012821
76,school,-98.486406,29.4543987
77,school,-98.4931994,29.3309076
78,school,-98.4805718,29.3430138
79,school,-98.5000179,29.5371734
80,school,-98.5827504,29.4241186
81,school,-98.5605744,29.4185665
82,school,-98.5644634,29.4277329
83,school,-98.528629,29.4171776
84,school,-98.4391824,29.4113448
85,school,-98.4857634,29.3703388
86,school,-98.4033487,29.510508
87,school,-98.5180736,29.4780089
88,school,-98.555574,29.3691238
89,school,-98.4431763,29.488772
90,school,-98.5314075,29.5182853
91,place_of_worship,-98.5225182,29.4774533
92,place_of_worship,-98.4680722,29.4399547
93,place_of_worship,-98.43562,29.5059586
94,place_of_worship,-98.5370287,29.4125775
95,place_of_worship,-98.5030728,29.4096779
96,place_of_worship,-98.5325181,29.4343993
97,place_of_worship,-98.5466854,29.4691203
98,place_of_worship,-98.5830581,29.4432416
99,place_of_worship,-98.421895,29.3620921
100,place_of_worship,-98.5116852,29.6207817
101,place_of_worship,-98.5666858,29.4577319
102,place_of_worship,-98.5577965,29.4155111
103,place_of_worship,-98.4914062,29.4580096
104,place_of_worship,-98.5151808,29.4198493
105,place_of_worship,-98.4836281,29.4530098
106,place_of_worship,-98.5183499,29.4278709
107,place_of_worship,-98.5144622,29.4349548
108,place_of_worship,-98.5280735,29.4160666
109,place_of_worship,-98.5127955,29.449121
110,place_of_worship,-98.4696655,29.5018653
111,place_of_worship,-98.402237,29.4132893
112,place_of_worship,-98.5516847,29.3310695
113,place_of_worship,-98.5570412,29.3488915
114,place_of_worship,-98.6002386,29.4661249
115,place_of_worship,-98.4714048,29.3180147
116,place_of_worship,-98.5800193,29.4193999
117,place_of_worship,-98.5020972,29.4073987
118,place_of_worship,-98.5491851,29.3971783
119,place_of_worship,-98.4974549,29.4763942
120,place_of_worship,-98.5458515,29.3674571
121,place_of_worship,-98.5547409,29.429955
122,place_of_worship,-98.5000167,29.3388471
123,place_of_worship,-98.5858528,29.4157889
124,place_of_worship,-98.3925145,29.4091228
125,place_of_worship,-98.4127928,29.4077339
126,place_of_worship,-98.5239071,29.4818977
127,place_of_worship,-98.590853,29.4321771
128,place_of_worship,-98.6571825,29.4095179
129,place_of_worship,-98.4827942,29.3516245
130,place_of_worship,-98.575575,29.4613429
131,place_of_worship,-98.5277961,29.4863419
132,place_of_worship,-98.3937477,29.4143389
133,place_of_worship,-98.4375157,29.4149557
134,place_of_worship,-98.5833528,29.4282885
135,place_of_worship,-98.4239042,29.411067
136,place_of_worship,-98.4896702,29.4566138
137,place_of_worship,-98.442325,29.5267677
138,place_of_worship,-98.4364046,29.4202334
139,place_of_worship,-98.5114067,29.4696758
140,place_of_worship,-98.5614079,29.4624539
141,place_of_worship,-98.5416847,29.3632907
142,place_of_worship,-98.4714062,29.5974492
143,place_of_worship,-98.5862058,29.4783066
144,place_of_worship,-98.4250153,29.411067
145,place_of_worship,-98.5153992,29.4385481
146,place_of_worship,-98.4216819,29.4105116
147,place_of_worship,-98.6280216,29.5083923
148,place_of_worship,-98.4077931,29.4838423
149,place_of_worship,-98.5489076,29.451621
150,place_of_worship,-98.6355761,29.3705125
151,place_of_worship,-98.4761271,29.3185701
152,place_of_worship,-98.3791814,29.5338406
153,place_of_worship,-98.5830749,29.4171776
154,place_of_worship,-98.5183981,29.4398101
155,place_of_worship,-98.5861306,29.4255108
156,place_of_worship,-98.5580744,29.4277329
157,place_of_worship,-98.3866812,29.4346774
158,place_of_worship,-98.5764083,29.4574541
159,place_of_worship,-98.4369601,29.4024562
160,place_of_worship,-98.4941842,29.4780089
161,place_of_worship,-98.4400156,29.4016229
162,place_of_worship,-98.5261294,29.480231
163,place_of_worship,-98.5344627,29.4430101
164,place_of_worship,-98.4266821,29.4149558
165,place_of_worship,-98.5255736,29.4427323
166,place_of_worship,-98.5386292,29.4096779
167,place_of_worship,-98.5517917,29.3932656
168,place_of_worship,-98.5297403,29.4321771
169,place_of_worship,-98.5086286,29.434677
170,place_of_worship,-98.503906,29.3894009
171,place_of_worship,-98.5325175,29.3285696
172,place_of_worship,-98.5036279,29.3427359
173,place_of_worship,-98.5507621,29.4341355
174,place_of_worship,-98.4861278,29.4002339
175,place_of_worship,-98.3931044,29.4983427
