,amenity,longitude,latitude
0,fuel,-117.215852,32.8670766
1,bicycle_parking,-117.2308401,32.8684082
2,fast_food,-117.2321777,32.8657668
3,place_of_worship,-117.2061424,32.870877
4,bank,-117.2233539,32.8618668
5,restaurant,-117.2246938,32.8623226
6,restaurant,-117.2246904,32.8620457
7,fuel,-117.2041575,32.8548259
8,fuel,-117.204072,32.8543944
9,fuel,-117.2049467,32.8542675
10,post_box,-117.1905561,32.8267285
11,post_box,-117.1847797,32.820879
12,restaurant,-117.1837793,32.8213897
13,fuel,-117.1843763,32.8227832
14,post_box,-117.218528,32.8694131
15,cafe,-117.2247153,32.8627747
16,pharmacy,-117.2024822,32.8539243
17,fast_food,-117.2004664,32.8538449
18,fuel,-117.1950836,32.8342381
19,fuel,-117.1944828,32.8342381
20,restaurant,-117.1738615,32.8336437
21,fuel,-117.1950936,32.8348112
22,fast_food,-117.2243029,32.8626604
23,restaurant,-117.2244316,32.8626893
24,cafe,-117.2244745,32.8627253
25,post_office,-117.224079,32.8625162
26,dentist,-117.2246172,32.8625247
27,veterinary,-117.224636,32.8624751
28,bank,-117.231669,32.8682983
29,bank,-117.232093,32.8681983
30,cafe,-117.2310331,32.8694062
31,restaurant,-117.232496,32.8693375
32,car_sharing,-117.2335593,32.8767402
33,restaurant,-117.1563121,32.7127302
34,parking,-117.1973067,32.8327337
35,restaurant,-117.1626707,32.7105552
36,recycling,-117.155173,32.7494658
37,post_box,-117.14738,32.744279
38,post_box,-117.1503297,32.7496575
39,parking,-117.1598073,32.7471645
40,bicycle_parking,-117.2175291,32.8727884
41,bicycle_parking,-117.2335241,32.8807337
42,bicycle_parking,-117.2342021,32.8817212
43,bicycle_parking,-117.2337815,32.8818581
44,bicycle_parking,-117.2333097,32.8818054
45,bicycle_parking,-117.2364938,32.8801931
46,bicycle_parking,-117.237292,32.8782469
47,atm,-117.168505,32.7228844
48,restaurant,-117.1685031,32.7247806
49,fast_food,-117.172319,32.7297809
50,bench,-117.1517672,32.7312604
51,bench,-117.1514638,32.7312635
52,parking,-117.1612103,32.7476565
53,taxi,-117.1603464,32.7466208
54,parking,-117.1616301,32.7475213
55,place_of_worship,-117.2768602,32.8429596
56,fast_food,-117.1612824,32.7472
57,restaurant,-117.1612285,32.7472
58,restaurant,-117.1611159,32.7472008
59,toilets,-117.170152,32.708911
60,atm,-117.202454,32.8916242
61,restaurant,-117.1070615,32.723789
62,bar,-117.15478,32.7482502
63,waste_basket,-117.0690016,32.7606149
64,parking,-117.1023489,32.7500162
65,parking_entrance,-117.1630151,32.7153845
66,restaurant,-117.1557561,32.7145812
67,school,-117.1355881,32.7650502
68,school,-117.1188889,32.7613889
69,school,-116.9711403,32.5679599
70,school,-117.1078084,32.6981079
71,school,-117.1626698,32.7221734
72,school,-117.107563,32.7510417
73,school,-117.2383698,32.7478277
74,school,-117.0753215,32.7528925
75,school,-117.2383698,32.7931044
76,school,-117.2330413,32.7329127
77,school,-117.0594734,32.7139411
78,school,-117.1247535,32.6867192
79,school,-117.1641469,32.7485269
80,school,-117.0186264,32.7992338
81,school,-117.1934259,32.7503361
82,school,-117.1345463,32.7587862
83,school,-117.1692005,32.7800496
