,amenity,longitude,latitude
0,toilets,-121.7620925,37.2342195
1,cafe,-121.881816,37.3337802
2,bicycle_parking,-121.8807222,37.3342762
3,toilets,-121.8965999,37.3423967
4,parking,-121.9076289,37.3460639
5,toilets,-121.9092627,37.3443884
6,parking,-121.9076102,37.3427197
7,toilets,-121.8483007,37.3926535
8,fuel,-121.879584,37.3411416
9,post_box,-121.9033329,37.3593131
10,post_box,-121.9076845,37.36518
11,post_box,-121.9173345,37.3808295
12,community_centre,-121.9241775,37.333421
13,theatre,-121.9232526,37.332756
14,parking,-121.8697564,37.3302814
15,parking,-121.868982,37.3300673
16,parking,-121.8687932,37.3306064
17,parking,-121.868604,37.3310432
18,toilets,-121.9291729,37.3322744
19,toilets,-121.9281069,37.3313316
20,fountain,-121.9282345,37.3320979
21,fuel,-121.8806554,37.3406292
22,restaurant,-121.915736,37.3652932
23,cafe,-121.8025095,37.2359424
24,cafe,-121.9139782,37.3233149
25,parking_entrance,-121.943327,37.3263372
26,parking_entrance,-121.9117455,37.3207282
27,parking_entrance,-121.9125046,37.317937
28,parking_entrance,-121.9127208,37.3179376
29,school,-121.9366228,37.272721
30,community_centre,-121.9420188,37.2569059
31,school,-121.8818993,37.3293859
32,school,-121.8776588,37.3509584
33,studio,-121.8845316,37.3360775
34,place_of_worship,-121.8960675,37.4035508
35,place_of_worship,-121.8452204,37.4022232
36,place_of_worship,-121.8669,37.4191057
37,place_of_worship,-121.8288425,37.3779954
38,place_of_worship,-122.0207928,37.3004983
39,post_office,-121.9030109,37.3110532
40,place_of_worship,-121.9077336,37.3307749
41,place_of_worship,-121.8968998,37.3249417
42,place_of_worship,-121.9068358,37.3306198
43,place_of_worship,-121.880233,37.358274
44,place_of_worship,-121.9227332,37.2618878
45,place_of_worship,-121.9241222,37.2618878
46,place_of_worship,-121.8901402,37.2659824
47,place_of_worship,-121.9229094,37.2792841
48,place_of_worship,-121.9021773,37.2896648
49,place_of_worship,-121.8918992,37.2910538
50,place_of_worship,-121.9121775,37.2804985
51,place_of_worship,-121.9282892,37.2813318
52,place_of_worship,-121.9191225,37.2949426
53,place_of_worship,-121.9282892,37.2813318
54,place_of_worship,-121.9496792,37.3063313
55,place_of_worship,-121.9491236,37.3018869
56,place_of_worship,-121.9655233,37.3017757
57,place_of_worship,-121.9816249,37.3082758
58,place_of_worship,-121.8799367,37.2490231
59,place_of_worship,-121.8574823,37.2228084
60,place_of_worship,-121.8738245,37.228932
61,place_of_worship,-121.8866219,37.3429968
62,place_of_worship,-121.867059,37.2231266
63,school,-121.8902566,37.3979693
64,library,-121.8697466,37.2213583
65,library,-121.979341,37.3023728
66,theatre,-121.8831438,37.3352979
67,theatre,-121.8848582,37.3361101
68,bench,-121.8537807,37.3634093
69,bench,-121.8540639,37.363457
70,toilets,-121.8918237,37.3353467
71,loading_dock,-121.9062841,37.3388849
72,bicycle_parking,-121.9308337,37.294955
73,parking_entrance,-121.9247116,37.3152604
74,drinking_water,-121.9029096,37.3406748
75,drinking_water,-121.898911,37.3352063
76,post_box,-121.9208261,37.3235608
77,post_box,-121.9157875,37.310273
78,waste_container,-121.9138884,37.3071374
79,bench,-121.9146889,37.3061427
80,waste_basket,-121.9166544,37.3040468
81,bench,-121.920491,37.3012066
82,vending_machine,-121.9167059,37.3041082
83,vending_machine,-121.9206026,37.3012544
84,waste_basket,-121.9205597,37.3011656
85,toilets,-121.6820523,37.1722546
86,cinema,-121.989977,37.2886024
87,clinic,-121.9924889,37.2901237
88,fast_food,-121.9918263,37.2906349
89,fast_food,-121.990859,37.290092
90,fast_food,-121.9907117,37.2899359
91,restaurant,-121.99048,37.2898221
92,fast_food,-121.97552,37.29424
93,parking,-121.7525424,37.2274582
94,telephone,-121.7620423,37.2341496
95,fast_food,-121.80338,37.2359689
96,cafe,-121.992054,37.2904684
97,fast_food,-121.992139,37.2903796
98,pharmacy,-121.830208,37.2500575
99,car_wash,-121.8322291,37.2529095
100,restaurant,-121.8311236,37.2492974
101,fast_food,-121.8323023,37.2670425
102,toilets,-121.7751066,37.1473938
103,toilets,-121.8608529,37.3750807
104,fuel,-121.873726,37.3739373
105,fast_food,-121.8734487,37.3728832
106,cafe,-121.873013,37.3732006
107,restaurant,-121.8732533,37.372841
108,fast_food,-121.8730258,37.3725079
109,fast_food,-121.8730976,37.3731474
110,fast_food,-121.862102,37.3861032
111,fuel,-121.843068,37.3695588
112,fuel,-121.8263274,37.3508882
113,fuel,-121.897737,37.2552697
114,restaurant,-121.8969388,37.2557752
115,restaurant,-121.8978096,37.2571718
116,parking_entrance,-121.9341036,37.3276206
117,parking_entrance,-121.9345334,37.3275813
118,toilets,-121.8168144,37.3935179
119,toilets,-121.8119952,37.3941325
120,toilets,-121.7959348,37.4007588
121,toilets,-121.8017156,37.3959091
122,toilets,-121.7996349,37.3964134
123,toilets,-121.7968992,37.3977676
124,telephone,-121.8251824,37.395542
125,telephone,-121.8020477,37.3965713
126,telephone,-121.7965267,37.399828
127,restaurant,-122.011965,37.3088867
128,restaurant,-122.031882,37.3068136
129,school,-122.031698,37.3068131
130,cafe,-121.9236899,37.3981046
131,fuel,-121.950209,37.297537
132,fast_food,-121.9057807,37.2698548
133,fast_food,-121.8934334,37.2749666
134,cafe,-121.8931759,37.2748023
135,cafe,-121.913213,37.2928602
136,atm,-121.9509859,37.4126339
137,fountain,-121.9038131,37.3406609
138,drinking_water,-121.9021836,37.3400294
139,bench,-121.902175,37.3395722
140,fast_food,-121.90384,37.3402818
141,bicycle_parking,-121.9039431,37.340316
142,bicycle_parking,-121.9047757,37.3391013
143,bicycle_parking,-121.9035926,37.3280496
144,bicycle_parking,-121.9036628,37.329134
145,bicycle_parking,-121.8886819,37.3357105
146,cafe,-121.915974,37.3651212
147,bank,-121.9029894,37.3533164
148,fast_food,-121.903379,37.3538502
149,restaurant,-121.9053536,37.3565948
150,fast_food,-121.905091,37.3561931
151,cafe,-121.9129544,37.3683563
152,fast_food,-121.916755,37.3706763
153,cafe,-121.917214,37.3709053
154,restaurant,-121.9171386,37.3708815
155,restaurant,-121.91705,37.3708623
156,fast_food,-121.916963,37.3708073
157,fast_food,-121.916814,37.3707197
158,dentist,-121.916872,37.3707687
159,restaurant,-121.945979,37.4108982
160,fast_food,-121.9458666,37.4108323
161,restaurant,-121.9458103,37.4107993
162,restaurant,-121.9455854,37.4106675
163,place_of_worship,-121.8574738,37.2226922
164,bicycle_parking,-121.887875,37.3345484
165,bicycle_parking,-121.8879535,37.3347049
166,bicycle_parking,-121.8872312,37.334289
167,bar,-121.893193,37.333872
168,bar,-121.8923731,37.3330037
169,bicycle_parking,-121.9130568,37.3325955
170,bicycle_parking,-121.9132848,37.3327832
171,bicycle_parking,-121.9137743,37.3332012
172,bicycle_parking,-121.9132044,37.3323898
173,bicycle_parking,-121.9137046,37.3328067
174,cafe,-121.9126049,37.3323161
175,bicycle_parking,-121.9127725,37.3323715
176,cafe,-121.888412,37.3373902
177,bicycle_parking,-121.9125595,37.3233309
178,bicycle_parking,-121.8877094,37.3351463
179,bicycle_parking,-121.8879964,37.3350184
180,bicycle_parking,-121.8879186,37.3346622
181,bicycle_parking,-121.886784,37.335334
182,bicycle_parking,-121.8865158,37.3354705
183,bicycle_parking,-121.8861752,37.3356262
184,bicycle_parking,-121.8857809,37.335688
185,bicycle_parking,-121.8869208,37.3355131
186,bicycle_parking,-121.88713,37.3355494
187,bicycle_parking,-121.8874224,37.3352828
188,bicycle_parking,-121.8813472,37.335656
189,bicycle_parking,-121.8881917,37.3345935
190,bicycle_parking,-121.8886986,37.3344356
191,bicycle_parking,-121.8886933,37.3346596
192,bicycle_parking,-121.8890554,37.3344954
193,bicycle_parking,-121.890088,37.3352503
194,bicycle_parking,-121.8801777,37.333636
195,bicycle_parking,-121.8940484,37.3521183
196,bicycle_parking,-121.8944991,37.3518989
197,bicycle_parking,-121.8938553,37.3523506
198,bicycle_parking,-121.8936488,37.3523037
199,bicycle_parking,-121.8935442,37.3523549
200,bicycle_parking,-121.8839736,37.3392035
201,bicycle_parking,-121.8837241,37.3393229
202,bicycle_parking,-121.8834344,37.3394487
203,bicycle_parking,-121.8832333,37.3395447
204,post_box,-121.8499707,37.2737362
205,restaurant,-121.9127143,37.3316397
206,place_of_worship,-121.8344435,37.2525253
207,restaurant,-121.9898,37.288819
208,place_of_worship,-121.8893203,37.2918578
209,parking,-121.8849695,37.3294477
210,bar,-121.888453,37.33062
211,restaurant,-121.888844,37.332288
212,restaurant,-121.9041807,37.2328268
213,toilets,-121.6330451,37.1650829
214,cafe,-121.8041588,37.2362443
215,fast_food,-121.8041919,37.2365531
216,cafe,-121.9283,37.3950017
217,restaurant,-121.8769014,37.3361739
218,fast_food,-121.8770879,37.3363857
219,cafe,-121.9417677,37.4064203
220,fast_food,-121.9416711,37.4064714
221,pharmacy,-121.7981669,37.3255333
222,cafe,-121.8918411,37.3066483
223,dentist,-121.8589805,37.3037055
224,fast_food,-121.8618865,37.3038106
225,dentist,-121.862365,37.3042519
226,bank,-121.8621102,37.3040054
227,fast_food,-121.8635508,37.3053921
228,fast_food,-121.863352,37.3052129
229,restaurant,-121.8746927,37.2934906
230,fast_food,-121.8745817,37.293442
231,fast_food,-121.9497749,37.3094503
232,atm,-121.884578,37.2297141
233,bank,-121.884576,37.229794
234,restaurant,-121.884812,37.2297365
235,fuel,-121.8849326,37.2284672
236,cafe,-121.8618324,37.2198164
237,atm,-121.8628878,37.2204727
238,cafe,-121.8619182,37.2198548
239,restaurant,-121.8885794,37.246523
240,fast_food,-121.8857727,37.2469602
241,restaurant,-121.8449444,37.2502404
242,restaurant,-121.838172,37.2816164
243,fast_food,-121.8915349,37.259245
244,restaurant,-121.877582,37.2620865
245,fast_food,-121.9309835,37.294669
246,bank,-121.931221,37.2947053
247,restaurant,-121.9782384,37.3050116
